Zona,MAPE,MAPE(%),MAE,RMSE,R2
001_ZW Parque Ingenio.csv,0.4498199137925005,44.981991379250054,1327976.9307818734,1983875.4192978938,0.25168543275528266
002_ZW Canchas Panamericanas.csv,0.41181681608806503,41.1816816088065,1083430.8728790407,1608187.5951402606,-0.4334799448896034
003_ZW Parque del Perro.csv,0.44664376646621157,44.66437664662116,846070.2521036526,1397987.9495635,0.30396692348260346
004_ZW Parque San Nicolas.csv,0.3426886791769691,34.26886791769691,3444276.190935422,4760835.227236917,-0.5427087321337432
005_ZW Parque Barrio Obrero.csv,0.41927501597247474,41.92750159724747,2958084.2959527764,4306189.273876246,0.7797237538535542
006_ZW Parque Vallado.csv,122.43563798453177,12243.563798453177,1358231.3762039756,2574179.640908695,-0.07620436204623782
007_ZW Parque Pizamos.csv,0.38415575886009884,38.41557588600988,1508778.7831594187,2453335.359164171,-0.03403744064816361
008_ZW Parque Alfonso Lopez.csv,0.5165569769447831,51.655697694478306,2965540.742043779,4101861.760483564,0.316955319164109
009_ZW Polideportivo Los Almendros.csv,0.8029389292072241,80.29389292072241,733097.6585033024,1029610.5229228578,-0.2733093816908907
010_ZW Parque Antonio Nariño.csv,0.2562570753786881,25.62570753786881,1020303.3209965805,1338423.9121387727,0.556344679257039
011_ZW Parque Santa Rosa Poblado.csv,2.736383053700199,273.6383053700199,2815252.5329304324,3779826.6966958884,-0.9417585696488824
012_ZW Polideportivo Los Naranjos.csv,0.97134414727053,97.134414727053,1004552.8606820179,1817081.0144066955,0.6780821196684153
013_ZW Parque Llano Verde.csv,0.34505020754917637,34.50502075491764,1114526.9953391817,1493702.8526985047,-0.5465594362720623
014_ZW Centro Cultural Alto Jordan.csv,0.6653621181658251,66.53621181658251,4790032.98233854,7099422.625923284,-0.49950014358921613
015_ZW Centro Cultural Comuna 13.csv,0.7960835971844364,79.60835971844364,4001503.649191341,6275713.171114859,-0.49769234975500143
016_ZW Conjunto Habitacional Ramali.csv,0.5398202492627754,53.98202492627754,4484168.94537484,7774164.911559668,0.22441939013290269
017_ZW Conjunto Habitacional Rio Cauca.csv,0.32674537190375386,32.67453719037539,6339627.807090885,8322413.878338965,0.4545438534797511
018_ZW Parque Las Banderas.csv,45.10641139027676,4510.641139027676,1542799.903739675,2374781.3528827494,-0.6792421888962061
019_ZW Parque Skate Board.csv,0.3257695945169481,32.57695945169481,3045539.235849286,4259649.4442967465,-0.3001116096708252
020_ZW Parque Petecuy1.csv,203.58649612495407,20358.649612495406,2067687.4902863994,3314093.133812915,0.07161903438757289
021_ZW Parque Alfonso Barberena.csv,0.20903927127289956,20.903927127289958,1185695.3992423806,1592742.1243547073,0.665178547990523
022_ZW Polideportivo Los Farallones.csv,0.9637972718877229,96.37972718877229,1140940.870299017,1984997.5627966735,0.2833458530698578
023_ZW Parque Los Guerreros.csv,0.42989646877547605,42.98964687754761,1347607.9525127204,1980104.2294575688,0.09830683626418724
024_ZW Museo La Tertulia.csv,0.8614643401942589,86.14643401942588,561201.2496721132,929712.985428135,0.14428410009450643
025_ZW Parque San Marino.csv,0.5364298678354,53.64298678354,3391252.516122096,6745308.589306612,0.09452189967306945
026_ZW Parque La Flora.csv,0.32200799138252745,32.20079913825275,1361958.6228578873,2032656.7048313261,0.4284119596961984
027_ZW Parque Alfonso Bonilla Aragón.csv,0.7015128662728303,70.15128662728303,1526422.9117097207,2151253.362625025,0.17748567316959174
028_ZW Parque Yo Amo a Siloé.csv,0.26035489418524876,26.035489418524875,5472664.3784283055,7117735.436131698,-0.2890569558570777
029_ZW Centro Cultural Vista Hermosa.csv,22675.353518375512,2267535.351837551,2255632.035920833,3190681.882257419,-0.3085173521322089
030_ZW Parque Mutis.csv,0.3766729563889484,37.667295638894835,2272049.397426809,3350884.691534843,0.33348634905794916
031_ZW Cancha Los Azules.csv,0.4165865704856438,41.65865704856438,3803638.7534007556,5660287.093143363,0.2261224576497184
032_ZW Parque La Orqueta.csv,0.5287293187191456,52.87293187191457,3924775.489036953,5314441.667408598,0.10999105316821556
033_ZW Plaza Alameda.csv,0.7039883182636495,70.39883182636495,1086050.273593557,1632904.1491516451,0.329973542901396
034_ZW Parque Villa Colombia.csv,0.6680627866493601,66.80627866493602,2401129.9400006207,3143170.0712388246,-1.283262452693867
035_ZW Parque Colseguros.csv,0.1821061068073928,18.21061068073928,1140477.7394084847,1532530.9676156533,0.6458817230154484
036_ZW Parque India Elena.csv,0.32615999398869244,32.61599939886924,2976666.7616566564,4188720.784361122,-0.1650820075528281
037_ZW Parque Tequendama.csv,0.36349898929284225,36.34989892928422,2600613.792385591,3200386.0822302205,0.08700586634439933
038_ZW Parque Sector Amarillo Skate Park.csv,0.4779330653317204,47.79330653317204,1762203.480559138,2615737.5242252816,-0.1220635571061075
039_ZW Biblioteca Daniel Guillard.csv,0.3002158952343447,30.02158952343447,1717881.6021799522,2255045.32309847,0.6585670713699929
040_ZW Polideportivo Torres Comfandi.csv,0.7219589251973536,72.19589251973537,2779657.506601778,4035525.602411181,-0.3080623892365637
041_ZW Parque Junin.csv,0.4860223906271362,48.60223906271362,1483162.1887833993,1950493.7531808293,0.7515498884860183
042_ZW Parque Mariano Ramos.csv,0.3489574815696744,34.895748156967436,1676335.5309160608,2228959.8447314007,-0.18002868021104645
043_ZW Polideportivo Ricardo Balcazar.csv,0.32272294357431336,32.272294357431335,2105974.6298793904,3005988.6405878747,0.10299612314584516
044_ZW Polideportivo San Benito.csv,0.5927418965414508,59.27418965414508,4134434.4910736103,6890256.049122606,0.03715284754598369
045_ZW Parque Santa Anita.csv,0.579644833377702,57.964483337770204,1909654.983986867,2304166.502911139,-1.4178460256956402
046_ZW Sebastian Belalcazar.csv,0.7224977839120891,72.2497783912089,1627095.0475645626,2052613.6828030667,-1.2329866210874316
047_ZW Parque del Mico.csv,0.31500277646196595,31.500277646196594,1390721.7370538649,2073076.5527316087,0.5211577170384081
048_ZW Parque Cien Palos.csv,0.2769409701966773,27.69409701966773,1590750.5964313431,2259457.6011983366,0.6300184344299969
049_ZW Cerro 3 Cruces.csv,1.0020958624900873,100.20958624900874,2302318.0076531805,3344384.7504496304,-0.058644742419043716
050_ZW Parque Calima.csv,0.873846827258133,87.3846827258133,1502881.7920203065,2405172.910673489,0.5312547647917985
051_ZW Parque La Merced.csv,1.1065557281815661,110.65557281815661,1040039.5123497804,1611199.6474389178,-0.4842909801639954
052_ZW Puente de Colores.csv,0.6175185034315462,61.75185034315462,2111088.9723046096,3302307.0626562494,-0.5942296680906709
053_ZW Polideportivo Laureano Gomez.csv,0.640856413767249,64.0856413767249,3943966.772350303,5259481.428530575,-1.1369237200317692
054_ZW El Diamante.csv,1.9766528405718722,197.66528405718722,1054471.067208049,1628829.741707924,-0.0654593658429663
055_ZW Polideportivo Petecuy.csv,0.8349890553254103,83.49890553254103,2839577.5216297153,3501935.1411458207,-1.8691064990523523
056_ZW Comuna 16.csv,1.1741836919568924,117.41836919568924,390209.17645771307,626658.825563717,-0.5739976156010103
057_La Castilla.csv,98.7102502793946,9871.02502793946,1026396.9939791207,1774698.1612865159,-0.34659451573794
058_La Elvira.csv,1.0826178933934694,108.26178933934693,1750350.1957077559,3731279.8114307844,0.007812747941473241
059_El Saladito.csv,46.206029064423454,4620.602906442346,998509.9673411563,1445664.5204859665,0.3759337186178926
060_Felidia.csv,0.41280434072917077,41.280434072917075,727612.6034797818,935531.068860935,0.3306918327849375
061_La Leonera.csv,27.447391749358765,2744.7391749358767,670416.7564804123,948733.8339167958,0.3407532682338493
