Zona,Modelo,MAPE_Base,MAPE_Optimizado,MAPE(%)_Base,MAPE(%)_Optimizado,MAE_Base,MAE_Optimizado,RMSE_Base,RMSE_Optimizado,R2_Base,R2_Optimizado
001_ZW Parque Ingenio.csv,SVR,0.712,0.572,71.161,57.15,1376903.71,1290883.227,1892834.724,1885762.389,0.324,0.329
002_ZW Canchas Panamericanas.csv,SVR,0.257,0.201,25.651,20.09,527971.587,492710.993,790979.381,703985.021,0.65,0.723
003_ZW Parque del Perro.csv,SVR,0.28,0.25,28.007,24.971,764597.403,670806.725,1207243.204,1040975.366,0.557,0.671
004_ZW Parque San Nicolas.csv,SVR,0.201,0.248,20.068,24.824,2156611.824,2369533.617,3111512.117,2977825.417,0.368,0.421
005_ZW Parque Barrio Obrero.csv,SVR,0.227,0.182,22.696,18.185,3523599.64,2884864.981,4463208.497,3812845.54,0.632,0.731
007_ZW Parque Pizamos.csv,SVR,0.2,0.127,19.992,12.74,763789.98,496281.555,1234977.102,715902.271,0.707,0.902
008_ZW Parque Alfonso Lopez.csv,SVR,0.299,0.342,29.919,34.215,2221269.463,2425073.655,2691978.904,2903867.193,0.65,0.593
010_ZW Parque Antonio Nariño.csv,SVR,0.153,0.143,15.308,14.289,668388.642,607155.536,911511.68,818523.463,0.798,0.837
011_ZW Parque Santa Rosa Poblado.csv,SVR,1.484,2.705,148.365,270.505,2430204.21,1689193.012,3604595.325,2652367.894,-0.821,0.014
012_ZW Polideportivo Los Naranjos.csv,SVR,0.938,1.156,93.809,115.634,1640986.927,1274646.685,2581847.933,2181583.528,0.306,0.504
013_ZW Parque Llano Verde.csv,SVR,0.219,0.222,21.937,22.187,715467.745,709705.265,914250.962,906071.126,0.432,0.442
015_ZW Centro Cultural Comuna 13.csv,SVR,0.421,0.241,42.077,24.098,1542226.589,1226147.857,2433996.936,1872428.615,0.791,0.876
016_ZW Conjunto Habitacional Ramali.csv,SVR,0.307,0.28,30.723,27.951,4163448.617,3674423.731,7153936.316,5534315.265,0.4,0.641
019_ZW Parque Skate Board.csv,SVR,0.553,0.394,55.258,39.443,5076665.427,3603823.867,5850341.097,4572400.954,-1.532,-0.546
