FECHA.CONEXION,AREA,NOMBRE.ZONA,COMUNA,MODEL,NUMERO.CONEXIONES,USAGE.KB,PORCENTAJE.USO,es_festivo,tipo_dia,dia_semana,LATITUD,LONGITUD
2024-01-01,URBANA,010_ZW Parque Antonio Nariño,16,MR76,31,5614,"0,6",True,Festivo,Lunes,341.577,-7.650.848
2024-01-02,URBANA,010_ZW Parque Antonio Nariño,16,MR76,23,132583,"15,7",False,Laboral,Martes,341.577,-7.650.848
2024-01-03,URBANA,010_ZW Parque Antonio Nariño,16,MR76,22,1042349,86,False,Laboral,Miércoles,341.577,-7.650.848
2024-01-04,URBANA,010_ZW Parque Antonio Nariño,16,MR76,26,707692,67,False,Laboral,Jueves,341.577,-7.650.848
2024-01-05,URBANA,010_ZW Parque Antonio Nariño,16,MR76,25,2305339,"212,6",False,Laboral,Viernes,341.577,-7.650.848
2024-01-06,URBANA,010_ZW Parque Antonio Nariño,16,MR76,30,1338957,"174,6",False,Fin de Semana,Sábado,341.577,-7.650.848
2024-01-07,URBANA,010_ZW Parque Antonio Nariño,16,MR76,19,686467,"68,4",False,Fin de Semana,Domingo,341.577,-7.650.848
2024-01-08,URBANA,010_ZW Parque Antonio Nariño,16,MR76,26,681507,"43,2",True,Festivo,Lunes,341.577,-7.650.848
2024-01-09,URBANA,010_ZW Parque Antonio Nariño,16,MR76,26,6684457,"515,8",False,Laboral,Martes,341.577,-7.650.848
2024-01-10,URBANA,010_ZW Parque Antonio Nariño,16,MR76,17,1683702,"139,6",False,Laboral,Miércoles,341.577,-7.650.848
2024-01-11,URBANA,010_ZW Parque Antonio Nariño,16,MR76,24,1613919,150,False,Laboral,Jueves,341.577,-7.650.848
2024-01-12,URBANA,010_ZW Parque Antonio Nariño,16,MR76,29,433376,"37,3",False,Laboral,Viernes,341.577,-7.650.848
2024-01-13,URBANA,010_ZW Parque Antonio Nariño,16,MR76,27,108373,12,False,Fin de Semana,Sábado,341.577,-7.650.848
2024-01-14,URBANA,010_ZW Parque Antonio Nariño,16,MR76,23,1832832,"231,6",False,Fin de Semana,Domingo,341.577,-7.650.848
2024-01-15,URBANA,010_ZW Parque Antonio Nariño,16,MR76,18,1813679,"262,2",False,Laboral,Lunes,341.577,-7.650.848
2024-01-16,URBANA,010_ZW Parque Antonio Nariño,16,MR76,23,2085057,"243,8",False,Laboral,Martes,341.577,-7.650.848
2024-01-17,URBANA,010_ZW Parque Antonio Nariño,16,MR76,20,1244834,"124,5",False,Laboral,Miércoles,341.577,-7.650.848
2024-01-18,URBANA,010_ZW Parque Antonio Nariño,16,MR76,31,2847055,"237,3",False,Laboral,Jueves,341.577,-7.650.848
2024-01-19,URBANA,010_ZW Parque Antonio Nariño,16,MR76,30,2026978,132,False,Laboral,Viernes,341.577,-7.650.848
2024-01-20,URBANA,010_ZW Parque Antonio Nariño,16,MR76,35,246820,"19,1",False,Fin de Semana,Sábado,341.577,-7.650.848
2024-01-21,URBANA,010_ZW Parque Antonio Nariño,16,MR76,25,23687,"1,8",False,Fin de Semana,Domingo,341.577,-7.650.848
2024-01-22,URBANA,010_ZW Parque Antonio Nariño,16,MR76,24,3195,"0,3",False,Laboral,Lunes,341.577,-7.650.848
2024-01-23,URBANA,010_ZW Parque Antonio Nariño,16,MR76,28,7121,"0,7",False,Laboral,Martes,341.577,-7.650.848
2024-01-24,URBANA,010_ZW Parque Antonio Nariño,16,MR76,28,970364,"77,6",False,Laboral,Miércoles,341.577,-7.650.848
