FECHA.CONEXION,AREA,NOMBRE.ZONA,COMUNA,MODEL,NUMERO.CONEXIONES,USAGE.KB,PORCENTAJE.USO,es_festivo,tipo_dia,dia_semana,LATITUD,LONGITUD
2024-01-01,URBANA,047_ZW Parque del Mico,11,MR76,19,2103589,"240,6",True,Festivo,Lunes,3.424.473,-765.146.042
2024-01-02,URBANA,047_ZW Parque del Mico,11,MR76,20,2866104,"340,4",False,Laboral,Martes,3.424.473,-765.146.042
2024-01-03,URBANA,047_ZW Parque del Mico,11,MR76,20,1170624,"96,6",False,Laboral,Miércoles,3.424.473,-765.146.042
2024-01-04,URBANA,047_ZW Parque del Mico,11,MR76,19,568784,"53,8",False,Laboral,Jueves,3.424.473,-765.146.042
2024-01-05,URBANA,047_ZW Parque del Mico,11,MR76,16,13073,"1,2",False,Laboral,Viernes,3.424.473,-765.146.042
2024-01-06,URBANA,047_ZW Parque del Mico,11,MR76,16,14991,2,False,Fin de Semana,Sábado,3.424.473,-765.146.042
2024-01-07,URBANA,047_ZW Parque del Mico,11,MR76,20,5359,"0,5",False,Fin de Semana,Domingo,3.424.473,-765.146.042
2024-01-08,URBANA,047_ZW Parque del Mico,11,MR76,20,7334,"0,5",True,Festivo,Lunes,3.424.473,-765.146.042
2024-01-09,URBANA,047_ZW Parque del Mico,11,MR76,21,7090,"0,5",False,Laboral,Martes,3.424.473,-765.146.042
2024-01-10,URBANA,047_ZW Parque del Mico,11,MR76,16,3038,"0,3",False,Laboral,Miércoles,3.424.473,-765.146.042
2024-01-11,URBANA,047_ZW Parque del Mico,11,MR76,15,2110,"0,2",False,Laboral,Jueves,3.424.473,-765.146.042
2024-01-12,URBANA,047_ZW Parque del Mico,11,MR76,19,2370,"0,2",False,Laboral,Viernes,3.424.473,-765.146.042
2024-01-13,URBANA,047_ZW Parque del Mico,11,MR76,19,15095,"1,7",False,Fin de Semana,Sábado,3.424.473,-765.146.042
2024-01-14,URBANA,047_ZW Parque del Mico,11,MR76,13,1771,"0,2",False,Fin de Semana,Domingo,3.424.473,-765.146.042
2024-01-15,URBANA,047_ZW Parque del Mico,11,MR76,15,2290,"0,3",False,Laboral,Lunes,3.424.473,-765.146.042
2024-01-16,URBANA,047_ZW Parque del Mico,11,MR76,6,863,"0,1",False,Laboral,Martes,3.424.473,-765.146.042
2024-01-17,URBANA,047_ZW Parque del Mico,11,MR76,11,2449,"0,2",False,Laboral,Miércoles,3.424.473,-765.146.042
2024-01-18,URBANA,047_ZW Parque del Mico,11,MR76,12,561,0,False,Laboral,Jueves,3.424.473,-765.146.042
2024-01-19,URBANA,047_ZW Parque del Mico,11,MR76,15,2734,"0,2",False,Laboral,Viernes,3.424.473,-765.146.042
2024-01-20,URBANA,047_ZW Parque del Mico,11,MR76,10,1069,"0,1",False,Fin de Semana,Sábado,3.424.473,-765.146.042
2024-01-21,URBANA,047_ZW Parque del Mico,11,MR76,8,343,0,False,Fin de Semana,Domingo,3.424.473,-765.146.042
2024-01-22,URBANA,047_ZW Parque del Mico,11,MR76,17,1972,"0,2",False,Laboral,Lunes,3.424.473,-765.146.042
2024-01-23,URBANA,047_ZW Parque del Mico,11,MR76,15,7306,"0,7",False,Laboral,Martes,3.424.473,-765.146.042
2024-01-24,URBANA,047_ZW Parque del Mico,11,MR76,21,2141,"0,2",False,Laboral,Miércoles,3.424.473,-765.146.042
2024-01-25,URBANA,047_ZW Parque del Mico,11,MR76,11,1266,"0,1",False,Laboral,Jueves,3.424.473,-765.146.042
2024-01-26,URBANA,047_ZW Parque del Mico,11,MR76,13,417,0,False,Laboral,Viernes,3.424.473,-765.146.042
2024-01-27,URBANA,047_ZW Parque del Mico,11,MR76,12,1238,"0,1",False,Fin de Semana,Sábado,3.424.473,-765.146.042
2024-01-28,URBANA,047_ZW Parque del Mico,11,MR76,18,5739,"0,6",False,Fin de Semana,Domingo,3.424.473,-765.146.042
2024-01-29,URBANA,047_ZW Parque del Mico,11,MR76,14,2672,"0,2",False,Laboral,Lunes,3.424.473,-765.146.042
