FECHA.CONEXION,AREA,NOMBRE.ZONA,COMUNA,MODEL,NUMERO.CONEXIONES,USAGE.KB,PORCENTAJE.USO,es_festivo,tipo_dia,dia_semana,LATITUD,LONGITUD
2024-01-01,URBANA,022_ZW Polideportivo Los Farallones,18,MR76,1,61916,"7,1",True,Festivo,Lunes,339.181,-7.655.266
2024-01-03,URBANA,022_ZW Polideportivo Los Farallones,18,MR76,1,10,0,False,Laboral,Miércoles,339.181,-7.655.266
2024-01-04,URBANA,022_ZW Polideportivo Los Farallones,18,MR76,7,1851293,"175,2",False,Laboral,Jueves,339.181,-7.655.266
2024-01-05,URBANA,022_ZW Polideportivo Los Farallones,18,MR76,7,343051,"31,6",False,Laboral,Viernes,339.181,-7.655.266
2024-01-06,URBANA,022_ZW Polideportivo Los Farallones,18,MR76,10,448778,"58,5",False,Fin de Semana,Sábado,339.181,-7.655.266
2024-01-07,URBANA,022_ZW Polideportivo Los Farallones,18,MR76,5,727490,"72,5",False,Fin de Semana,Domingo,339.181,-7.655.266
2024-01-08,URBANA,022_ZW Polideportivo Los Farallones,18,MR76,5,118792,"7,5",True,Festivo,Lunes,339.181,-7.655.266
2024-01-09,URBANA,022_ZW Polideportivo Los Farallones,18,MR76,7,528204,"40,8",False,Laboral,Martes,339.181,-7.655.266
2024-01-10,URBANA,022_ZW Polideportivo Los Farallones,18,MR76,11,879509,"72,9",False,Laboral,Miércoles,339.181,-7.655.266
2024-01-11,URBANA,022_ZW Polideportivo Los Farallones,18,MR76,5,831688,"77,3",False,Laboral,Jueves,339.181,-7.655.266
2024-01-12,URBANA,022_ZW Polideportivo Los Farallones,18,MR76,11,1405746,121,False,Laboral,Viernes,339.181,-7.655.266
2024-01-13,URBANA,022_ZW Polideportivo Los Farallones,18,MR76,9,1148352,"127,5",False,Fin de Semana,Sábado,339.181,-7.655.266
2024-01-14,URBANA,022_ZW Polideportivo Los Farallones,18,MR76,11,185592,"23,5",False,Fin de Semana,Domingo,339.181,-7.655.266
