DIA_SEMANA_t-7,LABORAL_t-7,FIN_DE_SEMANA_t-7,FESTIVO_t-7,PORCENTAJE.USO_t-7,NUMERO.CONEXIONES_t-7,USAGE.KB_t-7,DIA_SEMANA_t-6,LABORAL_t-6,FIN_DE_SEMANA_t-6,FESTIVO_t-6,PORCENTAJE.USO_t-6,NUMERO.CONEXIONES_t-6,USAGE.KB_t-6,DIA_SEMANA_t-5,LABORAL_t-5,FIN_DE_SEMANA_t-5,FESTIVO_t-5,PORCENTAJE.USO_t-5,NUMERO.CONEXIONES_t-5,USAGE.KB_t-5,DIA_SEMANA_t-4,LABORAL_t-4,FIN_DE_SEMANA_t-4,FESTIVO_t-4,PORCENTAJE.USO_t-4,NUMERO.CONEXIONES_t-4,USAGE.KB_t-4,DIA_SEMANA_t-3,LABORAL_t-3,FIN_DE_SEMANA_t-3,FESTIVO_t-3,PORCENTAJE.USO_t-3,NUMERO.CONEXIONES_t-3,USAGE.KB_t-3,DIA_SEMANA_t-2,LABORAL_t-2,FIN_DE_SEMANA_t-2,FESTIVO_t-2,PORCENTAJE.USO_t-2,NUMERO.CONEXIONES_t-2,USAGE.KB_t-2,DIA_SEMANA_t-1,LABORAL_t-1,FIN_DE_SEMANA_t-1,FESTIVO_t-1,PORCENTAJE.USO_t-1,NUMERO.CONEXIONES_t-1,USAGE.KB_t-1,DIA_SEMANA_t0,LABORAL_t0,FIN_DE_SEMANA_t0,FESTIVO_t0,PORCENTAJE.USO_t0,NUMERO.CONEXIONES_t0,target
0,0,0,1,"0,58",-0.5,-0.1898584655429731,1,1,0,0,"8,4",0.4375,-0.1028240875000294,2,1,0,0,"15,18",0.1875,-0.0443512355677528,3,1,0,0,"29,95",-0.125,0.0853309190190905,4,1,0,0,"26,61",-0.625,0.0724282484197323,5,0,1,0,"0,34",-0.375,-0.1913992412828873,6,0,1,0,"57,43",-0.5,0.4024560460417271,0,1,0,0,"1,89",-0.125,-0.1824210101924614
1,1,0,0,"8,4",0.4375,-0.1028240875000294,2,1,0,0,"15,18",0.1875,-0.0443512355677528,3,1,0,0,"29,95",-0.125,0.0853309190190905,4,1,0,0,"26,61",-0.625,0.0724282484197323,5,0,1,0,"0,34",-0.375,-0.1913992412828873,6,0,1,0,"57,43",-0.5,0.4024560460417271,0,1,0,0,"1,89",-0.125,-0.1824210101924614,1,1,0,0,"1,93",0.1875,-0.1815710489770994
2,1,0,0,"15,18",0.1875,-0.0443512355677528,3,1,0,0,"29,95",-0.125,0.0853309190190905,4,1,0,0,"26,61",-0.625,0.0724282484197323,5,0,1,0,"0,34",-0.375,-0.1913992412828873,6,0,1,0,"57,43",-0.5,0.4024560460417271,0,1,0,0,"1,89",-0.125,-0.1824210101924614,1,1,0,0,"1,93",0.1875,-0.1815710489770994,2,1,0,0,"2,08",0.25,-0.1778364066327625
3,1,0,0,"29,95",-0.125,0.0853309190190905,4,1,0,0,"26,61",-0.625,0.0724282484197323,5,0,1,0,"0,34",-0.375,-0.1913992412828873,6,0,1,0,"57,43",-0.5,0.4024560460417271,0,1,0,0,"1,89",-0.125,-0.1824210101924614,1,1,0,0,"1,93",0.1875,-0.1815710489770994,2,1,0,0,"2,08",0.25,-0.1778364066327625,3,1,0,0,"38,48",-0.1875,0.1399465267118879
4,1,0,0,"26,61",-0.625,0.0724282484197323,5,0,1,0,"0,34",-0.375,-0.1913992412828873,6,0,1,0,"57,43",-0.5,0.4024560460417271,0,1,0,0,"1,89",-0.125,-0.1824210101924614,1,1,0,0,"1,93",0.1875,-0.1815710489770994,2,1,0,0,"2,08",0.25,-0.1778364066327625,3,1,0,0,"38,48",-0.1875,0.1399465267118879,4,1,0,0,"75,78",0.375,0.3717478079016921
5,0,1,0,"0,34",-0.375,-0.1913992412828873,6,0,1,0,"57,43",-0.5,0.4024560460417271,0,1,0,0,"1,89",-0.125,-0.1824210101924614,1,1,0,0,"1,93",0.1875,-0.1815710489770994,2,1,0,0,"2,08",0.25,-0.1778364066327625,3,1,0,0,"38,48",-0.1875,0.1399465267118879,4,1,0,0,"75,78",0.375,0.3717478079016921,5,0,1,0,"50,54",0.25,0.2248907782155294
6,0,1,0,"57,43",-0.5,0.4024560460417271,0,1,0,0,"1,89",-0.125,-0.1824210101924614,1,1,0,0,"1,93",0.1875,-0.1815710489770994,2,1,0,0,"2,08",0.25,-0.1778364066327625,3,1,0,0,"38,48",-0.1875,0.1399465267118879,4,1,0,0,"75,78",0.375,0.3717478079016921,5,0,1,0,"50,54",0.25,0.2248907782155294,6,0,1,0,"57,12",-0.5625,0.2334080733347951
0,1,0,0,"1,89",-0.125,-0.1824210101924614,1,1,0,0,"1,93",0.1875,-0.1815710489770994,2,1,0,0,"2,08",0.25,-0.1778364066327625,3,1,0,0,"38,48",-0.1875,0.1399465267118879,4,1,0,0,"75,78",0.375,0.3717478079016921,5,0,1,0,"50,54",0.25,0.2248907782155294,6,0,1,0,"57,12",-0.5625,0.2334080733347951,0,1,0,0,"1,29",-0.6875,-0.1862994739907152
1,1,0,0,"1,93",0.1875,-0.1815710489770994,2,1,0,0,"2,08",0.25,-0.1778364066327625,3,1,0,0,"38,48",-0.1875,0.1399465267118879,4,1,0,0,"75,78",0.375,0.3717478079016921,5,0,1,0,"50,54",0.25,0.2248907782155294,6,0,1,0,"57,12",-0.5625,0.2334080733347951,0,1,0,0,"1,29",-0.6875,-0.1862994739907152,1,1,0,0,"0,35",-1.5,-0.1922468447694966
2,1,0,0,"2,08",0.25,-0.1778364066327625,3,1,0,0,"38,48",-0.1875,0.1399465267118879,4,1,0,0,"75,78",0.375,0.3717478079016921,5,0,1,0,"50,54",0.25,0.2248907782155294,6,0,1,0,"57,12",-0.5625,0.2334080733347951,0,1,0,0,"1,29",-0.6875,-0.1862994739907152,1,1,0,0,"0,35",-1.5,-0.1922468447694966,6,0,1,0,"146,5",-0.875,0.935755428081021
3,1,0,0,"38,48",-0.1875,0.1399465267118879,4,1,0,0,"75,78",0.375,0.3717478079016921,5,0,1,0,"50,54",0.25,0.2248907782155294,6,0,1,0,"57,12",-0.5625,0.2334080733347951,0,1,0,0,"1,29",-0.6875,-0.1862994739907152,1,1,0,0,"0,35",-1.5,-0.1922468447694966,6,0,1,0,"146,5",-0.875,0.935755428081021,0,1,0,0,"148,34",0.4375,1.0206065492989294
4,1,0,0,"75,78",0.375,0.3717478079016921,5,0,1,0,"50,54",0.25,0.2248907782155294,6,0,1,0,"57,12",-0.5625,0.2334080733347951,0,1,0,0,"1,29",-0.6875,-0.1862994739907152,1,1,0,0,"0,35",-1.5,-0.1922468447694966,6,0,1,0,"146,5",-0.875,0.935755428081021,0,1,0,0,"148,34",0.4375,1.0206065492989294,1,1,0,0,"63,59",0.8125,0.3244871350530607
