DIA_SEMANA_t-7,LABORAL_t-7,FIN_DE_SEMANA_t-7,FESTIVO_t-7,PORCENTAJE.USO_t-7,NUMERO.CONEXIONES_t-7,USAGE.KB_t-7,DIA_SEMANA_t-6,LABORAL_t-6,FIN_DE_SEMANA_t-6,FESTIVO_t-6,PORCENTAJE.USO_t-6,NUMERO.CONEXIONES_t-6,USAGE.KB_t-6,DIA_SEMANA_t-5,LABORAL_t-5,FIN_DE_SEMANA_t-5,FESTIVO_t-5,PORCENTAJE.USO_t-5,NUMERO.CONEXIONES_t-5,USAGE.KB_t-5,DIA_SEMANA_t-4,LABORAL_t-4,FIN_DE_SEMANA_t-4,FESTIVO_t-4,PORCENTAJE.USO_t-4,NUMERO.CONEXIONES_t-4,USAGE.KB_t-4,DIA_SEMANA_t-3,LABORAL_t-3,FIN_DE_SEMANA_t-3,FESTIVO_t-3,PORCENTAJE.USO_t-3,NUMERO.CONEXIONES_t-3,USAGE.KB_t-3,DIA_SEMANA_t-2,LABORAL_t-2,FIN_DE_SEMANA_t-2,FESTIVO_t-2,PORCENTAJE.USO_t-2,NUMERO.CONEXIONES_t-2,USAGE.KB_t-2,DIA_SEMANA_t-1,LABORAL_t-1,FIN_DE_SEMANA_t-1,FESTIVO_t-1,PORCENTAJE.USO_t-1,NUMERO.CONEXIONES_t-1,USAGE.KB_t-1,DIA_SEMANA_t0,LABORAL_t0,FIN_DE_SEMANA_t0,FESTIVO_t0,PORCENTAJE.USO_t0,NUMERO.CONEXIONES_t0,target
4,1,0,0,"2,5999999999999996",-0.2363636363636363,-0.0053434791549215,5,0,1,0,"38,900000000000006",0.5454545454545454,0.3461710641404437,6,0,1,0,"5,6",0.2363636363636363,0.0200673174081715,0,1,0,0,"2,2",0.3090909090909091,-0.011772183407961,1,1,0,0,"19,8",-0.2181818181818181,0.1398897458526789,2,1,0,0,"8,700000000000001",-0.5272727272727272,0.0305860313918331,3,1,0,0,"4,2",0.109090909090909,0.0076743025977514,4,1,0,0,"3,3",0.4545454545454545,0.0100061099255297
5,0,1,0,"38,900000000000006",0.5454545454545454,0.3461710641404437,6,0,1,0,"5,6",0.2363636363636363,0.0200673174081715,0,1,0,0,"2,2",0.3090909090909091,-0.011772183407961,1,1,0,0,"19,8",-0.2181818181818181,0.1398897458526789,2,1,0,0,"8,700000000000001",-0.5272727272727272,0.0305860313918331,3,1,0,0,"4,2",0.109090909090909,0.0076743025977514,4,1,0,0,"3,3",0.4545454545454545,0.0100061099255297,5,0,1,0,"1,6",0.109090909090909,-0.0147012088994361
6,0,1,0,"5,6",0.2363636363636363,0.0200673174081715,0,1,0,0,"2,2",0.3090909090909091,-0.011772183407961,1,1,0,0,"19,8",-0.2181818181818181,0.1398897458526789,2,1,0,0,"8,700000000000001",-0.5272727272727272,0.0305860313918331,3,1,0,0,"4,2",0.109090909090909,0.0076743025977514,4,1,0,0,"3,3",0.4545454545454545,0.0100061099255297,5,0,1,0,"1,6",0.109090909090909,-0.0147012088994361,6,0,1,0,"96,10000000000001",0.9272727272727272,1.1917454020596647
0,1,0,0,"2,2",0.3090909090909091,-0.011772183407961,1,1,0,0,"19,8",-0.2181818181818181,0.1398897458526789,2,1,0,0,"8,700000000000001",-0.5272727272727272,0.0305860313918331,3,1,0,0,"4,2",0.109090909090909,0.0076743025977514,4,1,0,0,"3,3",0.4545454545454545,0.0100061099255297,5,0,1,0,"1,6",0.109090909090909,-0.0147012088994361,6,0,1,0,"96,10000000000001",0.9272727272727272,1.1917454020596647,0,1,0,0,"880,9",-0.6545454545454545,10.373579147148847
1,1,0,0,"19,8",-0.2181818181818181,0.1398897458526789,2,1,0,0,"8,700000000000001",-0.5272727272727272,0.0305860313918331,3,1,0,0,"4,2",0.109090909090909,0.0076743025977514,4,1,0,0,"3,3",0.4545454545454545,0.0100061099255297,5,0,1,0,"1,6",0.109090909090909,-0.0147012088994361,6,0,1,0,"96,10000000000001",0.9272727272727272,1.1917454020596647,0,1,0,0,"880,9",-0.6545454545454545,10.373579147148847,1,1,0,0,"472,5",-0.6181818181818182,3.470953256609985
2,1,0,0,"8,700000000000001",-0.5272727272727272,0.0305860313918331,3,1,0,0,"4,2",0.109090909090909,0.0076743025977514,4,1,0,0,"3,3",0.4545454545454545,0.0100061099255297,5,0,1,0,"1,6",0.109090909090909,-0.0147012088994361,6,0,1,0,"96,10000000000001",0.9272727272727272,1.1917454020596647,0,1,0,0,"880,9",-0.6545454545454545,10.373579147148847,1,1,0,0,"472,5",-0.6181818181818182,3.470953256609985,2,1,0,0,"356,7",-0.4181818181818181,2.2680358409609016
3,1,0,0,"4,2",0.109090909090909,0.0076743025977514,4,1,0,0,"3,3",0.4545454545454545,0.0100061099255297,5,0,1,0,"1,6",0.109090909090909,-0.0147012088994361,6,0,1,0,"96,10000000000001",0.9272727272727272,1.1917454020596647,0,1,0,0,"880,9",-0.6545454545454545,10.373579147148847,1,1,0,0,"472,5",-0.6181818181818182,3.470953256609985,2,1,0,0,"356,7",-0.4181818181818181,2.2680358409609016,3,1,0,0,"210,2",-0.4727272727272727,1.7734949265972637
4,1,0,0,"3,3",0.4545454545454545,0.0100061099255297,5,0,1,0,"1,6",0.109090909090909,-0.0147012088994361,6,0,1,0,"96,10000000000001",0.9272727272727272,1.1917454020596647,0,1,0,0,"880,9",-0.6545454545454545,10.373579147148847,1,1,0,0,"472,5",-0.6181818181818182,3.470953256609985,2,1,0,0,"356,7",-0.4181818181818181,2.2680358409609016,3,1,0,0,"210,2",-0.4727272727272727,1.7734949265972637,4,1,0,0,"4,0",0.3090909090909091,0.0062496371924252
5,0,1,0,"1,6",0.109090909090909,-0.0147012088994361,6,0,1,0,"96,10000000000001",0.9272727272727272,1.1917454020596647,0,1,0,0,"880,9",-0.6545454545454545,10.373579147148847,1,1,0,0,"472,5",-0.6181818181818182,3.470953256609985,2,1,0,0,"356,7",-0.4181818181818181,2.2680358409609016,3,1,0,0,"210,2",-0.4727272727272727,1.7734949265972637,4,1,0,0,"4,0",0.3090909090909091,0.0062496371924252,5,0,1,0,"11,2",0.1272727272727272,0.0541402370572394
6,0,1,0,"96,10000000000001",0.9272727272727272,1.1917454020596647,0,1,0,0,"880,9",-0.6545454545454545,10.373579147148847,1,1,0,0,"472,5",-0.6181818181818182,3.470953256609985,2,1,0,0,"356,7",-0.4181818181818181,2.2680358409609016,3,1,0,0,"210,2",-0.4727272727272727,1.7734949265972637,4,1,0,0,"4,0",0.3090909090909091,0.0062496371924252,5,0,1,0,"11,2",0.1272727272727272,0.0541402370572394,6,0,0,1,"2,4",0.6181818181818182,-0.0101979674904735
