DIA_SEMANA_t-7,LABORAL_t-7,FIN_DE_SEMANA_t-7,FESTIVO_t-7,PORCENTAJE.USO_t-7,NUMERO.CONEXIONES_t-7,USAGE.KB_t-7,DIA_SEMANA_t-6,LABORAL_t-6,FIN_DE_SEMANA_t-6,FESTIVO_t-6,PORCENTAJE.USO_t-6,NUMERO.CONEXIONES_t-6,USAGE.KB_t-6,DIA_SEMANA_t-5,LABORAL_t-5,FIN_DE_SEMANA_t-5,FESTIVO_t-5,PORCENTAJE.USO_t-5,NUMERO.CONEXIONES_t-5,USAGE.KB_t-5,DIA_SEMANA_t-4,LABORAL_t-4,FIN_DE_SEMANA_t-4,FESTIVO_t-4,PORCENTAJE.USO_t-4,NUMERO.CONEXIONES_t-4,USAGE.KB_t-4,DIA_SEMANA_t-3,LABORAL_t-3,FIN_DE_SEMANA_t-3,FESTIVO_t-3,PORCENTAJE.USO_t-3,NUMERO.CONEXIONES_t-3,USAGE.KB_t-3,DIA_SEMANA_t-2,LABORAL_t-2,FIN_DE_SEMANA_t-2,FESTIVO_t-2,PORCENTAJE.USO_t-2,NUMERO.CONEXIONES_t-2,USAGE.KB_t-2,DIA_SEMANA_t-1,LABORAL_t-1,FIN_DE_SEMANA_t-1,FESTIVO_t-1,PORCENTAJE.USO_t-1,NUMERO.CONEXIONES_t-1,USAGE.KB_t-1,DIA_SEMANA_t0,LABORAL_t0,FIN_DE_SEMANA_t0,FESTIVO_t0,PORCENTAJE.USO_t0,NUMERO.CONEXIONES_t0,target
6,0,1,0,"1,7999999999999998",1.5075376884422111,-0.0300956889861966,0,1,0,0,"1,2999999999999998",-0.0201005025125628,-0.0338678993801121,1,1,0,0,"1,2",-0.1809045226130653,-0.0341863000797318,2,1,0,0,"0,8999999999999999",-0.4824120603015075,-0.0339703621616439,3,1,0,0,"5,6000000000000005",-0.2814070351758794,-0.0269837410957029,4,1,0,0,"1,5",-0.4824120603015075,-0.0332799353814159,5,0,1,0,"1,5",-0.5025125628140703,-0.0337680699878253,6,0,1,0,"5,8",0.5628140703517588,-0.0182351432258515
0,1,0,0,"1,2999999999999998",-0.0201005025125628,-0.0338678993801121,1,1,0,0,"1,2",-0.1809045226130653,-0.0341863000797318,2,1,0,0,"0,8999999999999999",-0.4824120603015075,-0.0339703621616439,3,1,0,0,"5,6000000000000005",-0.2814070351758794,-0.0269837410957029,4,1,0,0,"1,5",-0.4824120603015075,-0.0332799353814159,5,0,1,0,"1,5",-0.5025125628140703,-0.0337680699878253,6,0,1,0,"5,8",0.5628140703517588,-0.0182351432258515,0,1,0,0,"1,1",-0.1608040201005025,-0.0340101023993407
1,1,0,0,"1,2",-0.1809045226130653,-0.0341863000797318,2,1,0,0,"0,8999999999999999",-0.4824120603015075,-0.0339703621616439,3,1,0,0,"5,6000000000000005",-0.2814070351758794,-0.0269837410957029,4,1,0,0,"1,5",-0.4824120603015075,-0.0332799353814159,5,0,1,0,"1,5",-0.5025125628140703,-0.0337680699878253,6,0,1,0,"5,8",0.5628140703517588,-0.0182351432258515,0,1,0,0,"1,1",-0.1608040201005025,-0.0340101023993407,1,1,0,0,"2,4",0.3618090452261306,-0.0295577593831549
2,1,0,0,"0,8999999999999999",-0.4824120603015075,-0.0339703621616439,3,1,0,0,"5,6000000000000005",-0.2814070351758794,-0.0269837410957029,4,1,0,0,"1,5",-0.4824120603015075,-0.0332799353814159,5,0,1,0,"1,5",-0.5025125628140703,-0.0337680699878253,6,0,1,0,"5,8",0.5628140703517588,-0.0182351432258515,0,1,0,0,"1,1",-0.1608040201005025,-0.0340101023993407,1,1,0,0,"2,4",0.3618090452261306,-0.0295577593831549,2,1,0,0,"1,1",-0.2814070351758794,-0.0345250496962445
3,1,0,0,"5,6000000000000005",-0.2814070351758794,-0.0269837410957029,4,1,0,0,"1,5",-0.4824120603015075,-0.0332799353814159,5,0,1,0,"1,5",-0.5025125628140703,-0.0337680699878253,6,0,1,0,"5,8",0.5628140703517588,-0.0182351432258515,0,1,0,0,"1,1",-0.1608040201005025,-0.0340101023993407,1,1,0,0,"2,4",0.3618090452261306,-0.0295577593831549,2,1,0,0,"1,1",-0.2814070351758794,-0.0345250496962445,3,1,0,0,"3,4000000000000004",0.3618090452261306,-0.0289341249301403
4,1,0,0,"1,5",-0.4824120603015075,-0.0332799353814159,5,0,1,0,"1,5",-0.5025125628140703,-0.0337680699878253,6,0,1,0,"5,8",0.5628140703517588,-0.0182351432258515,0,1,0,0,"1,1",-0.1608040201005025,-0.0340101023993407,1,1,0,0,"2,4",0.3618090452261306,-0.0295577593831549,2,1,0,0,"1,1",-0.2814070351758794,-0.0345250496962445,3,1,0,0,"3,4000000000000004",0.3618090452261306,-0.0289341249301403,4,1,0,0,"1,7",-0.2211055276381909,-0.0333000448992866
5,0,1,0,"1,5",-0.5025125628140703,-0.0337680699878253,6,0,1,0,"5,8",0.5628140703517588,-0.0182351432258515,0,1,0,0,"1,1",-0.1608040201005025,-0.0340101023993407,1,1,0,0,"2,4",0.3618090452261306,-0.0295577593831549,2,1,0,0,"1,1",-0.2814070351758794,-0.0345250496962445,3,1,0,0,"3,4000000000000004",0.3618090452261306,-0.0289341249301403,4,1,0,0,"1,7",-0.2211055276381909,-0.0333000448992866,5,0,1,0,"15,799999999999999",0.7035175879396985,-8.247296317217111e-05
6,0,1,0,"5,8",0.5628140703517588,-0.0182351432258515,0,1,0,0,"1,1",-0.1608040201005025,-0.0340101023993407,1,1,0,0,"2,4",0.3618090452261306,-0.0295577593831549,2,1,0,0,"1,1",-0.2814070351758794,-0.0345250496962445,3,1,0,0,"3,4000000000000004",0.3618090452261306,-0.0289341249301403,4,1,0,0,"1,7",-0.2211055276381909,-0.0333000448992866,5,0,1,0,"15,799999999999999",0.7035175879396985,-8.247296317217111e-05,6,0,1,0,"172,89999999999998",1.628140703517588,0.3574767247293085
0,1,0,0,"1,1",-0.1608040201005025,-0.0340101023993407,1,1,0,0,"2,4",0.3618090452261306,-0.0295577593831549,2,1,0,0,"1,1",-0.2814070351758794,-0.0345250496962445,3,1,0,0,"3,4000000000000004",0.3618090452261306,-0.0289341249301403,4,1,0,0,"1,7",-0.2211055276381909,-0.0333000448992866,5,0,1,0,"15,799999999999999",0.7035175879396985,-8.247296317217111e-05,6,0,1,0,"172,89999999999998",1.628140703517588,0.3574767247293085,0,1,0,0,"659,4",-0.3819095477386934,1.4463139912090286
1,1,0,0,"2,4",0.3618090452261306,-0.0295577593831549,2,1,0,0,"1,1",-0.2814070351758794,-0.0345250496962445,3,1,0,0,"3,4000000000000004",0.3618090452261306,-0.0289341249301403,4,1,0,0,"1,7",-0.2211055276381909,-0.0333000448992866,5,0,1,0,"15,799999999999999",0.7035175879396985,-8.247296317217111e-05,6,0,1,0,"172,89999999999998",1.628140703517588,0.3574767247293085,0,1,0,0,"659,4",-0.3819095477386934,1.4463139912090286,1,1,0,0,"349,6",-0.1809045226130653,0.7005362418399347
2,1,0,0,"1,1",-0.2814070351758794,-0.0345250496962445,3,1,0,0,"3,4000000000000004",0.3618090452261306,-0.0289341249301403,4,1,0,0,"1,7",-0.2211055276381909,-0.0333000448992866,5,0,1,0,"15,799999999999999",0.7035175879396985,-8.247296317217111e-05,6,0,1,0,"172,89999999999998",1.628140703517588,0.3574767247293085,0,1,0,0,"659,4",-0.3819095477386934,1.4463139912090286,1,1,0,0,"349,6",-0.1809045226130653,0.7005362418399347,2,1,0,0,"533,4",-0.4020100502512563,0.907830897627831
3,1,0,0,"3,4000000000000004",0.3618090452261306,-0.0289341249301403,4,1,0,0,"1,7",-0.2211055276381909,-0.0333000448992866,5,0,1,0,"15,799999999999999",0.7035175879396985,-8.247296317217111e-05,6,0,1,0,"172,89999999999998",1.628140703517588,0.3574767247293085,0,1,0,0,"659,4",-0.3819095477386934,1.4463139912090286,1,1,0,0,"349,6",-0.1809045226130653,0.7005362418399347,2,1,0,0,"533,4",-0.4020100502512563,0.907830897627831,3,1,0,0,"625,6",-0.6834170854271356,1.4153151694113166
4,1,0,0,"1,7",-0.2211055276381909,-0.0333000448992866,5,0,1,0,"15,799999999999999",0.7035175879396985,-8.247296317217111e-05,6,0,1,0,"172,89999999999998",1.628140703517588,0.3574767247293085,0,1,0,0,"659,4",-0.3819095477386934,1.4463139912090286,1,1,0,0,"349,6",-0.1809045226130653,0.7005362418399347,2,1,0,0,"533,4",-0.4020100502512563,0.907830897627831,3,1,0,0,"625,6",-0.6834170854271356,1.4153151694113166,4,1,0,0,"63,5",-0.321608040201005,0.1603558091908397
5,0,1,0,"15,799999999999999",0.7035175879396985,-8.247296317217111e-05,6,0,1,0,"172,89999999999998",1.628140703517588,0.3574767247293085,0,1,0,0,"659,4",-0.3819095477386934,1.4463139912090286,1,1,0,0,"349,6",-0.1809045226130653,0.7005362418399347,2,1,0,0,"533,4",-0.4020100502512563,0.907830897627831,3,1,0,0,"625,6",-0.6834170854271356,1.4153151694113166,4,1,0,0,"63,5",-0.321608040201005,0.1603558091908397,5,0,1,0,"1,8",0.2211055276381909,-0.0328152618791889
6,0,1,0,"172,89999999999998",1.628140703517588,0.3574767247293085,0,1,0,0,"659,4",-0.3819095477386934,1.4463139912090286,1,1,0,0,"349,6",-0.1809045226130653,0.7005362418399347,2,1,0,0,"533,4",-0.4020100502512563,0.907830897627831,3,1,0,0,"625,6",-0.6834170854271356,1.4153151694113166,4,1,0,0,"63,5",-0.321608040201005,0.1603558091908397,5,0,1,0,"1,8",0.2211055276381909,-0.0328152618791889,6,0,1,0,"2,5",0.7035175879396985,-0.0300573851426333
0,1,0,0,"659,4",-0.3819095477386934,1.4463139912090286,1,1,0,0,"349,6",-0.1809045226130653,0.7005362418399347,2,1,0,0,"533,4",-0.4020100502512563,0.907830897627831,3,1,0,0,"625,6",-0.6834170854271356,1.4153151694113166,4,1,0,0,"63,5",-0.321608040201005,0.1603558091908397,5,0,1,0,"1,8",0.2211055276381909,-0.0328152618791889,6,0,1,0,"2,5",0.7035175879396985,-0.0300573851426333,0,1,0,0,"2,0",-0.3819095477386934,-0.0318449776419268
1,1,0,0,"349,6",-0.1809045226130653,0.7005362418399347,2,1,0,0,"533,4",-0.4020100502512563,0.907830897627831,3,1,0,0,"625,6",-0.6834170854271356,1.4153151694113166,4,1,0,0,"63,5",-0.321608040201005,0.1603558091908397,5,0,1,0,"1,8",0.2211055276381909,-0.0328152618791889,6,0,1,0,"2,5",0.7035175879396985,-0.0300573851426333,0,1,0,0,"2,0",-0.3819095477386934,-0.0318449776419268,1,1,0,0,"2,0",-0.3819095477386934,-0.0338968666618068
2,1,0,0,"533,4",-0.4020100502512563,0.907830897627831,3,1,0,0,"625,6",-0.6834170854271356,1.4153151694113166,4,1,0,0,"63,5",-0.321608040201005,0.1603558091908397,5,0,1,0,"1,8",0.2211055276381909,-0.0328152618791889,6,0,1,0,"2,5",0.7035175879396985,-0.0300573851426333,0,1,0,0,"2,0",-0.3819095477386934,-0.0318449776419268,1,1,0,0,"2,0",-0.3819095477386934,-0.0338968666618068,2,1,0,0,"0,8",-0.6030150753768844,-0.0363080936141148
