DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE_USO,NUMERO_CONEXIONES,USAGE_KB,DIA_SEMANA_lag_1,DIA_SEMANA_lag_2,DIA_SEMANA_lag_3,DIA_SEMANA_lag_4,DIA_SEMANA_lag_5,DIA_SEMANA_lag_6,DIA_SEMANA_lag_7,DIA_SEMANA_lag_8,DIA_SEMANA_lag_9,DIA_SEMANA_lag_10,LABORAL_lag_1,LABORAL_lag_2,LABORAL_lag_3,LABORAL_lag_4,LABORAL_lag_5,LABORAL_lag_6,LABORAL_lag_7,LABORAL_lag_8,LABORAL_lag_9,LABORAL_lag_10,FIN_DE_SEMANA_lag_1,FIN_DE_SEMANA_lag_2,FIN_DE_SEMANA_lag_3,FIN_DE_SEMANA_lag_4,FIN_DE_SEMANA_lag_5,FIN_DE_SEMANA_lag_6,FIN_DE_SEMANA_lag_7,FIN_DE_SEMANA_lag_8,FIN_DE_SEMANA_lag_9,FIN_DE_SEMANA_lag_10,FESTIVO_lag_1,FESTIVO_lag_2,FESTIVO_lag_3,FESTIVO_lag_4,FESTIVO_lag_5,FESTIVO_lag_6,FESTIVO_lag_7,FESTIVO_lag_8,FESTIVO_lag_9,FESTIVO_lag_10,PORCENTAJE_USO_lag_1,PORCENTAJE_USO_lag_2,PORCENTAJE_USO_lag_3,PORCENTAJE_USO_lag_4,PORCENTAJE_USO_lag_5,PORCENTAJE_USO_lag_6,PORCENTAJE_USO_lag_7,PORCENTAJE_USO_lag_8,PORCENTAJE_USO_lag_9,PORCENTAJE_USO_lag_10,NUMERO_CONEXIONES_lag_1,NUMERO_CONEXIONES_lag_2,NUMERO_CONEXIONES_lag_3,NUMERO_CONEXIONES_lag_4,NUMERO_CONEXIONES_lag_5,NUMERO_CONEXIONES_lag_6,NUMERO_CONEXIONES_lag_7,NUMERO_CONEXIONES_lag_8,NUMERO_CONEXIONES_lag_9,NUMERO_CONEXIONES_lag_10
6,0,1,0,-0.8403680981595092,-0.8333333333333334,-0.9133934295424794,5,4,3,2,1,0,6,5,4,3,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.06285129233790923,0.22407488664618985,-0.7396883019340301,-0.8995191406981827,-0.6819386200997267,-0.16082766085888547,-0.8638846675155049,-0.7629130966952264,-0.8081191350469196,-0.8147286821705425,-0.5,-1.0,0.0,-0.5925925925925926,-0.8888888888888888,-1.0,-1.1428571428571428,-0.42857142857142855,-1.7142857142857142,-0.8571428571428571
0,1,0,0,-0.4412678936605317,-0.3333333333333333,-0.6581751237672284,6,5,4,3,2,1,0,6,5,4,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-0.8475730792536408,0.06285129233790923,0.22945484133441826,-0.7364849393201357,-0.9030898583380276,-0.6804055038614459,-0.15866431182486546,-0.8581395348837207,-0.7629130966952264,-0.8081191350469196,-0.8333333333333334,-0.5,-0.8888888888888888,0.0,-0.5925925925925926,-0.8571428571428571,-1.0,-1.1428571428571428,-0.42857142857142855,-1.7142857142857142
1,1,0,0,-0.070961145194274,-1.0,-0.47259630877934866,0,6,5,4,3,2,1,0,6,5,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-0.4397918886729768,-0.8475730792536408,0.06847343055642485,0.23047940215241788,-0.7396883019340301,-0.9010595557775974,-0.6712531318026861,-0.15760913912688695,-0.8581395348837207,-0.7629130966952264,-0.3333333333333333,-0.8333333333333334,-0.4444444444444444,-0.8888888888888888,0.0,-0.5714285714285714,-0.8571428571428571,-1.0,-1.1428571428571428,-0.42857142857142855
2,1,0,0,-0.16470347648261763,0.6666666666666666,-0.4217214442401233,1,0,6,5,4,3,2,1,0,6,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.061430451952610744,-0.4397918886729768,-0.8405833385491643,0.06985990549345324,0.22945484133441826,-0.7380253543995503,-0.8889390890048054,-0.6667890656874744,-0.15760913912688695,-0.8581395348837207,-1.0,-0.3333333333333333,-0.7407407407407407,-0.4444444444444444,-0.8888888888888888,0.0,-0.5714285714285714,-0.8571428571428571,-1.0,-1.1428571428571428
3,1,0,0,-0.5324744376278119,-0.5,-0.6927641735403918,2,1,0,6,5,4,3,2,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15721180969096724,-0.061430451952610744,-0.4334147002983455,-0.8371531464018818,0.06847343055642485,0.22893898707300323,-0.7280979176079186,-0.8830273357813136,-0.6667890656874744,-0.15760913912688695,0.6666666666666666,-1.0,-0.2962962962962963,-0.7407407407407407,-0.4444444444444444,-0.8571428571428571,0.0,-0.5714285714285714,-0.8571428571428571,-1.0
4,1,0,0,-0.13582822085889573,-0.5,-0.4158724030299148,3,2,1,0,6,5,4,3,2,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5329823021793184,-0.15721180969096724,-0.05562162274936882,-0.430899893836258,-0.8405833385491643,0.06831949041403858,0.22585944880272724,-0.7232558139534883,-0.8830273357813136,-0.6667890656874744,-0.5,0.6666666666666666,-0.8888888888888888,-0.2962962962962963,-0.7407407407407407,-0.42857142857142855,-0.8571428571428571,0.0,-0.5714285714285714,-0.8571428571428571
5,0,1,0,0.15267893660531703,-0.3333333333333333,-0.2773853036132572,4,3,2,1,0,6,5,4,3,2,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12770847698447524,-0.5329823021793184,-0.15125910162525297,-0.053956160619496575,-0.4334147002983455,-0.8386935614812964,0.06740050108842977,0.2243574051407589,-0.7232558139534883,-0.8830273357813136,-0.5,-0.5,0.5925925925925926,-0.8888888888888888,-0.2962962962962963,-0.7142857142857143,-0.42857142857142855,-0.8571428571428571,0.0,-0.5714285714285714
6,0,0,1,0.01844580777096111,0.16666666666666666,-0.18446551421243787,5,4,3,2,1,0,6,5,4,3,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1670741135418626,-0.12770847698447524,-0.5264651269533287,-0.1493786298632361,-0.05562162274936882,-0.43244030891567264,-0.8274120014786215,0.06695226438188492,0.2243574051407589,-0.7232558139534883,-0.3333333333333333,-0.5,-0.4444444444444444,0.5925925925925926,-0.8888888888888888,-0.2857142857142857,-0.7142857142857143,-0.42857142857142855,-0.8571428571428571,0.0
0,1,0,0,-0.4177096114519428,0.0,-0.5448587310094897,6,5,4,3,2,1,0,6,5,4,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0.029921226937462114,0.1670741135418626,-0.12180008762596231,-0.5237411270009784,-0.15125910162525297,-0.055496575698911234,-0.42662340329404025,-0.821909424724602,0.06695226438188492,0.2243574051407589,0.16666666666666666,-0.3333333333333333,-0.4444444444444444,-0.4444444444444444,0.5925925925925926,-0.8571428571428571,-0.2857142857142857,-0.7142857142857143,-0.42857142857142855,-0.8571428571428571
1,1,0,0,0.10981595092024538,-0.16666666666666666,0.014439212967634117,0,6,5,4,3,2,1,0,6,5,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,-0.4157211809690967,0.029921226937462114,0.172539692474599,-0.11998584483440536,-0.5264651269533287,-0.15091904494265077,-0.054750071877438626,-0.4237862097103222,-0.821909424724602,0.06695226438188492,0.0,0.16666666666666666,-0.2962962962962963,-0.4444444444444444,-0.4444444444444444,0.5714285714285714,-0.8571428571428571,-0.2857142857142857,-0.7142857142857143,-0.42857142857142855
2,1,0,0,-0.4024130879345603,1.1666666666666667,-0.4793505062894042,1,0,6,5,4,3,2,1,0,6,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.12327879813619172,-0.4157211809690967,0.035592831361749185,0.17369220841399707,-0.12180008762596231,-0.525281542080393,-0.1488889801618269,-0.054385964912280635,-0.4237862097103222,-0.821909424724602,-0.16666666666666666,0.0,0.14814814814814814,-0.2962962962962963,-0.4444444444444444,-0.42857142857142855,0.5714285714285714,-0.8571428571428571,-0.2857142857142857,-0.7142857142857143
