NOMBRE_ZONA,DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE_USO,NUMERO_CONEXIONES,USAGE_KB,DIA_SEMANA_lag_1,DIA_SEMANA_lag_2,DIA_SEMANA_lag_3,DIA_SEMANA_lag_4,DIA_SEMANA_lag_5,DIA_SEMANA_lag_6,DIA_SEMANA_lag_7,DIA_SEMANA_lag_8,DIA_SEMANA_lag_9,DIA_SEMANA_lag_10,LABORAL_lag_1,LABORAL_lag_2,LABORAL_lag_3,LABORAL_lag_4,LABORAL_lag_5,LABORAL_lag_6,LABORAL_lag_7,LABORAL_lag_8,LABORAL_lag_9,LABORAL_lag_10,FIN_DE_SEMANA_lag_1,FIN_DE_SEMANA_lag_2,FIN_DE_SEMANA_lag_3,FIN_DE_SEMANA_lag_4,FIN_DE_SEMANA_lag_5,FIN_DE_SEMANA_lag_6,FIN_DE_SEMANA_lag_7,FIN_DE_SEMANA_lag_8,FIN_DE_SEMANA_lag_9,FIN_DE_SEMANA_lag_10,FESTIVO_lag_1,FESTIVO_lag_2,FESTIVO_lag_3,FESTIVO_lag_4,FESTIVO_lag_5,FESTIVO_lag_6,FESTIVO_lag_7,FESTIVO_lag_8,FESTIVO_lag_9,FESTIVO_lag_10,PORCENTAJE_USO_lag_1,PORCENTAJE_USO_lag_2,PORCENTAJE_USO_lag_3,PORCENTAJE_USO_lag_4,PORCENTAJE_USO_lag_5,PORCENTAJE_USO_lag_6,PORCENTAJE_USO_lag_7,PORCENTAJE_USO_lag_8,PORCENTAJE_USO_lag_9,PORCENTAJE_USO_lag_10,NUMERO_CONEXIONES_lag_1,NUMERO_CONEXIONES_lag_2,NUMERO_CONEXIONES_lag_3,NUMERO_CONEXIONES_lag_4,NUMERO_CONEXIONES_lag_5,NUMERO_CONEXIONES_lag_6,NUMERO_CONEXIONES_lag_7,NUMERO_CONEXIONES_lag_8,NUMERO_CONEXIONES_lag_9,NUMERO_CONEXIONES_lag_10
003_ZW Parque del Perro,0,0,0,1,-0.07003136583974907,-0.0449438202247191,-0.8815049880881477,6,5,4,3,2,1,0,6,5,4,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6.665687824711994,0.30562457646261576,4.598373616444545,5.341088773435735,3.439250225835591,25.631874298540964,5.109577032653956,1.8520811099252936,16.069600169240534,0.7681404696424792,0.7391304347826086,0.6292134831460674,-0.0898876404494382,0.2696629213483146,-0.7391304347826086,0.17391304347826086,-0.6521739130434783,0.5393258426966292,1.797752808988764,-0.6521739130434783
003_ZW Parque del Perro,1,1,0,0,0.7340747077274024,0.0,-0.6707324930132404,0,6,5,4,3,2,1,0,6,5,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,-0.08064151795798509,6.665687824711994,0.30336571041337246,4.598373616444545,5.339882565492321,3.418406285072951,25.02520271751041,4.9765208110992525,1.8356251322191666,16.069600169240534,-0.043478260869565216,0.7640449438202247,0.6292134831460674,-0.0898876404494382,0.2608695652173913,-0.7391304347826086,0.17391304347826086,-0.6741573033707865,0.5393258426966292,1.7391304347826086
003_ZW Parque del Perro,2,1,0,0,-0.9432563444539491,-1.6179775280898876,-1.0678760823750402,1,0,6,5,4,3,2,1,0,6,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.7156087644002712,-0.08064151795798509,6.66342895866275,0.30336571041337246,4.597335140018067,5.307519640852974,3.3374972605741835,24.373532550693703,4.932303786756928,1.8356251322191666,0.0,-0.0449438202247191,0.7640449438202247,0.6292134831460674,-0.08695652173913043,0.2608695652173913,-0.7391304347826086,0.1797752808988764,-0.6741573033707865,0.5217391304347826
003_ZW Parque del Perro,3,1,0,0,-0.299743370402053,0.4044943820224719,-0.8559438997571814,2,1,0,6,5,4,3,2,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.9453354416083126,0.7156087644002712,-0.0829003840072284,6.66342895866275,0.303297199638663,4.569472502805836,5.181897874205567,3.2505869797225184,24.156970594457373,4.932303786756928,-1.565217391304348,0.0,-0.0449438202247191,0.7640449438202247,0.6086956521739131,-0.08695652173913043,0.2608695652173913,-0.7640449438202247,0.1797752808988764,-0.6521739130434783
003_ZW Parque del Perro,4,1,0,0,-0.9336755061305958,-0.1348314606741573,-0.9892034521464241,3,2,1,0,6,5,4,3,2,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.30810932911678335,-0.9453354416083126,0.7133498983510278,-0.0829003840072284,6.66192411924119,0.3014590347923681,4.461319307473154,5.046958377801494,3.2217050983710593,24.156970594457373,0.391304347826087,-1.6179775280898876,0.0,-0.0449438202247191,0.7391304347826086,0.6086956521739131,-0.08695652173913043,0.2696629213483146,-0.7640449438202247,0.17391304347826086
003_ZW Parque del Perro,5,0,1,0,1.9674935842600512,1.8876404494382022,0.5806097379392495,4,3,2,1,0,6,5,4,3,2,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.9358482042014907,-0.30810932911678335,-0.9475943076575559,0.7133498983510278,-0.08288166214995486,6.62154882154882,0.29432390970852507,4.345144076840982,5.002115506663846,3.2217050983710593,-0.13043478260869565,0.4044943820224719,-1.6179775280898876,0.0,-0.043478260869565216,0.7391304347826086,0.6086956521739131,-0.0898876404494382,0.2696629213483146,-0.7391304347826086
003_ZW Parque del Perro,6,0,1,0,-0.49090390647276877,-0.0898876404494382,-0.6319588411142163,5,4,3,2,1,0,6,5,4,3,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1.9369776372261123,-0.9358482042014907,-0.31036819516602665,-0.9475943076575559,0.7131887985546522,-0.08237934904601574,6.464825772518079,0.28665955176093916,4.306536915591284,5.002115506663846,1.826086956521739,-0.1348314606741573,0.4044943820224719,-1.6179775280898876,0.0,-0.043478260869565216,0.7391304347826086,0.6292134831460674,-0.0898876404494382,0.2608695652173913
003_ZW Parque del Perro,0,0,0,1,3.7289991445680064,0.9438202247191011,1.6459209064461446,6,5,4,3,2,1,0,6,5,4,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,-0.49740230404337027,1.9369776372261123,-0.9381070702507341,-0.31036819516602665,-0.9473803071364045,0.7088664421997756,-0.08042954196800355,6.296478121664887,0.2841125449545166,4.306536915591284,-0.08695652173913043,1.8876404494382022,-0.1348314606741573,0.4044943820224719,-1.565217391304348,0.0,-0.043478260869565216,0.7640449438202247,0.6292134831460674,-0.08695652173913043
003_ZW Parque del Perro,1,1,0,0,0.1808953521528373,0.3595505617977528,-0.2357079248178861,0,6,5,4,3,2,1,0,6,5,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,3.681274000451773,-0.49740230404337027,1.9347187711768692,-0.9381070702507341,-0.3102981029810298,-0.9416386083052749,0.6920885382423845,-0.07833511205976525,6.240533107679288,0.2841125449545166,0.9130434782608695,-0.0898876404494382,1.8876404494382022,-0.1348314606741573,0.391304347826087,-1.565217391304348,0.0,-0.0449438202247191,0.7640449438202247,0.6086956521739131
003_ZW Parque del Perro,2,1,0,0,-0.31114913031080693,0.3595505617977528,-0.624465971045036,1,0,6,5,4,3,2,1,0,6,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.16783374745877583,3.681274000451773,-0.49966117009261357,1.9347187711768692,-0.937895212285456,-0.3084175084175084,-0.9193513039666886,0.6740661686232658,-0.07763909456314791,6.240533107679288,0.34782608695652173,0.9438202247191011,-0.0898876404494382,1.8876404494382022,-0.13043478260869565,0.391304347826087,-1.565217391304348,0.0,-0.0449438202247191,0.7391304347826086
