NOMBRE_ZONA,DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE_USO,NUMERO_CONEXIONES,USAGE_KB,DIA_SEMANA_lag_1,DIA_SEMANA_lag_2,DIA_SEMANA_lag_3,DIA_SEMANA_lag_4,DIA_SEMANA_lag_5,DIA_SEMANA_lag_6,DIA_SEMANA_lag_7,DIA_SEMANA_lag_8,DIA_SEMANA_lag_9,DIA_SEMANA_lag_10,LABORAL_lag_1,LABORAL_lag_2,LABORAL_lag_3,LABORAL_lag_4,LABORAL_lag_5,LABORAL_lag_6,LABORAL_lag_7,LABORAL_lag_8,LABORAL_lag_9,LABORAL_lag_10,FIN_DE_SEMANA_lag_1,FIN_DE_SEMANA_lag_2,FIN_DE_SEMANA_lag_3,FIN_DE_SEMANA_lag_4,FIN_DE_SEMANA_lag_5,FIN_DE_SEMANA_lag_6,FIN_DE_SEMANA_lag_7,FIN_DE_SEMANA_lag_8,FIN_DE_SEMANA_lag_9,FIN_DE_SEMANA_lag_10,FESTIVO_lag_1,FESTIVO_lag_2,FESTIVO_lag_3,FESTIVO_lag_4,FESTIVO_lag_5,FESTIVO_lag_6,FESTIVO_lag_7,FESTIVO_lag_8,FESTIVO_lag_9,FESTIVO_lag_10,PORCENTAJE_USO_lag_1,PORCENTAJE_USO_lag_2,PORCENTAJE_USO_lag_3,PORCENTAJE_USO_lag_4,PORCENTAJE_USO_lag_5,PORCENTAJE_USO_lag_6,PORCENTAJE_USO_lag_7,PORCENTAJE_USO_lag_8,PORCENTAJE_USO_lag_9,PORCENTAJE_USO_lag_10,NUMERO_CONEXIONES_lag_1,NUMERO_CONEXIONES_lag_2,NUMERO_CONEXIONES_lag_3,NUMERO_CONEXIONES_lag_4,NUMERO_CONEXIONES_lag_5,NUMERO_CONEXIONES_lag_6,NUMERO_CONEXIONES_lag_7,NUMERO_CONEXIONES_lag_8,NUMERO_CONEXIONES_lag_9,NUMERO_CONEXIONES_lag_10
003_ZW Parque del Perro,0,0,0,1,-0.08297501452643812,0.0,-0.9359457992368361,6,5,4,3,2,1,0,6,5,4,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6.78367816091954,0.3146511627906977,4.68583918095019,5.400068485332725,3.4788266179659852,26.335101476014753,5.318954695880406,1.9551814355590946,16.996191756272403,0.7932347670250895,0.9473684210526315,0.7894736842105263,-0.05263157894736842,0.3684210526315789,-0.8648648648648649,0.2702702702702703,-0.7567567567567568,0.6842105263157895,2.1578947368421053,-0.7368421052631579
003_ZW Parque del Perro,1,1,0,0,0.7363160952934341,0.05263157894736842,-0.7389947761161583,0,6,5,4,3,2,1,0,6,5,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,-0.08206896551724138,6.862558139534883,0.31128494190728173,4.649469238671385,5.400068485332725,3.5119926199261977,26.059568640876414,5.2854055283812995,1.9236111111111112,16.996191756272403,0.0,0.9473684210526315,0.7894736842105263,-0.05263157894736842,0.3783783783783784,-0.8648648648648649,0.2702702702702703,-0.7368421052631579,0.6842105263157895,2.1578947368421053
003_ZW Parque del Perro,2,1,0,0,-0.9726902963393375,-1.8421052631578947,-1.1100955510195754,1,0,6,5,4,3,2,1,0,6,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.7282758620689657,-0.08302325581395349,6.7891406879098115,0.3088688505878325,4.649469238671385,5.452952029520294,3.473467990414242,25.959959049027415,5.202732974910394,1.9236111111111112,0.05263157894736842,0.0,0.9473684210526315,0.7894736842105263,-0.05405405405405406,0.3783783783783784,-0.8648648648648649,0.2631578947368421,-0.7368421052631579,0.6842105263157895
003_ZW Parque del Perro,3,1,0,0,-0.31702498547356184,0.5263157894736842,-0.9120608872274552,2,1,0,6,5,4,3,2,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.9620689655172414,0.7367441860465118,-0.08213505119061314,6.736445611231594,0.3088688505878325,4.694649446494464,5.394271368252882,3.4457968376748944,25.560035842293907,5.202732974910394,-1.8421052631578947,0.05263157894736842,0.0,0.9473684210526315,0.8108108108108109,-0.05405405405405406,0.3783783783783784,-0.8421052631578947,0.2631578947368421,-0.7368421052631579
003_ZW Parque del Perro,4,1,0,0,-0.9629285299244624,-0.10526315789473684,-1.0365819030001127,3,2,1,0,6,5,4,3,2,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.3135632183908046,-0.9732558139534884,0.7288623030024158,-0.08149754594224404,6.736445611231594,0.30950184501845013,4.6438434326144025,5.360482311454898,3.3913530465949817,25.560035842293907,0.5263157894736842,-1.8421052631578947,0.05263157894736842,0.0,0.972972972972973,0.8108108108108109,-0.05405405405405406,0.3684210526315789,-0.8421052631578947,0.2631578947368421
003_ZW Parque del Perro,5,0,1,0,1.9930273097036604,2.263157894736842,0.4302902986399975,4,3,2,1,0,6,5,4,3,2,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.9524137931034483,-0.3172093023255814,-0.9628436673185321,0.7232051135715103,-0.08149754594224404,6.803044280442801,0.3042337099166952,4.612444545557957,5.27665770609319,3.3913530465949817,-0.10526315789473684,0.5263157894736842,-1.8421052631578947,0.05263157894736842,0.0,0.972972972972973,0.8108108108108109,-0.05263157894736842,0.3684210526315789,-0.8421052631578947
003_ZW Parque del Perro,6,0,1,0,-0.5117954677513074,-0.05263157894736842,-0.702763718506275,5,4,3,2,1,0,6,5,4,3,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1.971264367816092,-0.9634883720930233,-0.3138157137927068,-0.9553703915078188,0.7232051135715103,-0.08487084870848705,6.730343489672487,0.2866568080991924,4.540098566308244,5.27665770609319,2.263157894736842,-0.10526315789473684,0.5263157894736842,-1.8421052631578947,0.05405405405405406,0.0,0.972972972972973,0.7894736842105263,-0.05263157894736842,0.3684210526315789
003_ZW Parque del Perro,0,0,0,1,3.7877977919814056,1.1578947368421053,1.4257433557609047,6,5,4,3,2,1,0,6,5,4,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,-0.5062068965517242,1.994186046511628,-0.9531807201196364,-0.3113799794544002,-0.9553703915078188,0.7280904059040589,-0.0860435923770399,6.692298942099875,0.28068996415770614,4.540098566308244,-0.05263157894736842,2.263157894736842,-0.10526315789473684,0.5263157894736842,-1.8918918918918919,0.05405405405405406,0.0,0.9473684210526315,0.7894736842105263,-0.05263157894736842
003_ZW Parque del Perro,1,1,0,0,0.17269029633933772,0.47368421052631576,-0.3324970793542706,0,6,5,4,3,2,1,0,6,5,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,3.7464367816091952,-0.5120930232558141,1.972851719774531,-0.9457824449263783,-0.3113799794544002,-0.9677121771217709,0.7184754079653088,-0.10237743146399728,6.588037634408601,0.28068996415770614,1.1578947368421053,-0.05263157894736842,2.263157894736842,-0.10526315789473684,0.5405405405405406,-1.8918918918918919,0.05405405405405406,0.0,0.9473684210526315,0.7894736842105263
003_ZW Parque del Perro,2,1,0,0,-0.32864613596746073,0.47368421052631576,-0.6957621957235659,1,0,6,5,4,3,2,1,0,6,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.17080459770114959,3.79,-0.5066145174278155,1.9575390937107637,-0.9457824449263783,-0.31711254612546114,-0.9597169918977521,0.6995791150039815,-0.10237455197132617,6.588037634408601,0.47368421052631576,1.1578947368421053,-0.05263157894736842,2.263157894736842,-0.10810810810810811,0.5405405405405406,-1.8918918918918919,0.05263157894736842,0.0,0.9473684210526315
003_ZW Parque del Perro,3,1,0,0,-0.4697269029633933,1.0526315789473684,-0.6837732501962427,2,1,0,6,5,4,3,2,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.32505747126436785,0.17279069767441876,3.7494535833429192,-0.5026823421983793,1.9575390937107637,-0.9580258302583022,-0.31587355928335054,-0.9732681151177341,0.6872759856630826,-0.10237455197132617,0.47368421052631576,0.47368421052631576,1.1578947368421053,-0.05263157894736842,2.324324324324324,-0.10810810810810811,0.5405405405405406,-1.8421052631578947,0.05263157894736842,0.0
003_ZW Parque del Perro,4,1,0,0,2.9385241138872744,0.6842105263157895,1.0775849930483112,3,2,1,0,6,5,4,3,2,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.4645977011494253,-0.3288372093023256,0.17094213735189248,3.7203515580413193,-0.5026823421983793,1.9750922509225086,-0.9501312335958007,-0.33147537254009785,-0.9599014336917563,0.6872759856630826,1.0526315789473684,0.47368421052631576,0.47368421052631576,1.1578947368421053,-0.05405405405405406,2.324324324324324,-0.10810810810810811,0.5263157894736842,-1.8421052631578947,0.05263157894736842
003_ZW Parque del Perro,5,0,1,0,-0.8234747239976756,2.210526315789474,-0.891644294280685,4,3,2,1,0,6,5,4,3,2,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2.9064367816091954,-0.47000000000000003,-0.3253192223628206,0.16961534071453047,3.7203515580413193,-0.5103782287822877,1.9525276731712884,-0.9637128881810944,-0.3279569892473118,-0.9599014336917563,0.6842105263157895,1.0526315789473684,0.47368421052631576,0.47368421052631576,1.1891891891891893,-0.05405405405405406,2.324324324324324,-0.10526315789473684,0.5263157894736842,-1.8421052631578947
003_ZW Parque del Perro,6,0,1,0,-0.5520046484601975,1.105263157894737,-0.7768706932390521,5,4,3,2,1,0,6,5,4,3,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,-0.8144827586206896,2.940232558139535,-0.4649718164040032,-0.32279420157516264,0.16961534071453047,3.755996309963099,-0.507132260641333,1.9297008303947218,-0.9504928315412187,-0.3279569892473118,2.210526315789474,0.6842105263157895,1.0526315789473684,0.47368421052631576,0.4864864864864865,1.1891891891891893,-0.05405405405405406,2.263157894736842,-0.10526315789473684,0.5263157894736842
003_ZW Parque del Perro,0,1,0,0,3.450087158628704,0.3684210526315789,1.048475862740186,6,5,4,3,2,1,0,6,5,4,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,-0.5459770114942529,-0.823953488372093,2.908777177038997,-0.4613628581212191,-0.32279420157516264,0.16881918819188205,3.714937806687207,-0.5221249004663862,1.898521505376344,-0.9504928315412187,1.105263157894737,2.210526315789474,0.6842105263157895,1.0526315789473684,0.4864864864864865,0.4864864864864865,1.1891891891891893,-0.05263157894736842,2.263157894736842,-0.10526315789473684
003_ZW Parque del Perro,1,1,0,0,-0.12829750145264388,0.10526315789473684,-0.6103773310398503,0,6,5,4,3,2,1,0,6,5,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,3.412413793103448,-0.5523255813953488,-0.8151386172782698,2.8862002054559985,-0.4613628581212191,-0.3286439114391143,0.16501198219787755,3.686497554316915,-0.5156810035842294,1.898521505376344,0.3684210526315789,1.105263157894737,2.210526315789474,0.6842105263157895,1.0810810810810811,0.4864864864864865,0.4864864864864865,1.1578947368421053,-0.05263157894736842,2.263157894736842
003_ZW Parque del Perro,2,1,0,0,0.8550842533410808,-0.21052631578947367,0.040831848065550895,1,0,6,5,4,3,2,1,0,6,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.126896551724138,3.452093023255814,-0.5464166570804094,-0.8088117794772286,2.8862002054559985,-0.46863468634686334,-0.3272851763094832,0.14787851211466288,3.6283602150537635,-0.5156810035842294,0.10526315789473684,0.3684210526315789,1.105263157894737,2.210526315789474,0.7027027027027027,1.0810810810810811,0.4864864864864865,0.47368421052631576,1.1578947368421053,-0.05263157894736842
