Zona,MAPE,MAPE(%),MAE,RMSE,R2
001_ZW Parque Ingenio.csv,0.363,36.337,1342339.878,1972960.992,0.372
002_ZW Canchas Panamericanas.csv,0.252,25.202,674990.97,960207.662,0.567
003_ZW Parque del Perro.csv,0.286,28.563,895157.06,1211520.525,0.083
004_ZW Parque San Nicolas.csv,0.205,20.5,2329160.979,3232530.334,0.433
005_ZW Parque Barrio Obrero.csv,0.476,47.596,4796157.525,5901624.659,0.393
007_ZW Parque Pizamos.csv,0.122,12.201,572964.651,761431.874,0.9
008_ZW Parque Alfonso Lopez.csv,0.308,30.823,2853822.198,3495491.137,0.278
010_ZW Parque Antonio Nariño.csv,0.163,16.305,668964.05,845821.308,0.792
011_ZW Parque Santa Rosa Poblado.csv,2.931,293.149,3036669.709,4026526.573,-1.203
012_ZW Polideportivo Los Naranjos.csv,0.419,41.916,2445057.688,3479747.488,-0.188
013_ZW Parque Llano Verde.csv,0.274,27.444,974656.287,1227142.043,0.046
015_ZW Centro Cultural Comuna 13.csv,0.299,29.921,1412001.601,2095697.433,0.859
016_ZW Conjunto Habitacional Ramali.csv,0.244,24.398,3905080.489,5786603.481,0.652
019_ZW Parque Skate Board.csv,0.598,59.78,5181083.432,5986552.616,-3.566
021_ZW Parque Alfonso Barberena.csv,0.208,20.753,1528832.095,1889053.63,0.598
022_ZW Polideportivo Los Farallones.csv,0.724,72.445,1363510.238,2108165.422,0.434
023_ZW Parque Los Guerreros.csv,0.446,44.642,1418228.501,1981906.345,-0.083
024_ZW Museo La Tertulia.csv,3.314,331.442,1138315.551,1278341.781,-0.616
025_ZW Parque San Marino.csv,1.855,185.537,5592457.018,6210073.719,-4.156
026_ZW Parque La Flora.csv,0.227,22.692,1334159.099,1939904.394,0.58
027_ZW Parque Alfonso Bonilla Aragón.csv,0.29,28.95,758285.275,1035228.363,0.801
028_ZW Parque Yo Amo a Siloé.csv,0.141,14.126,3017819.781,4070614.729,0.147
029_ZW Centro Cultural Vista Hermosa.csv,3829.264,382926.406,1888431.422,2845187.294,-0.099
030_ZW Parque Mutis.csv,0.306,30.585,1803359.567,2213804.197,0.458
031_ZW Cancha Los Azules.csv,0.222,22.153,3220485.193,3964128.062,0.46
032_ZW Parque La Orqueta.csv,0.296,29.554,3964747.016,4872656.044,0.188
034_ZW Parque Villa Colombia.csv,0.338,33.849,1426729.533,1849618.024,0.168
035_ZW Parque Colseguros.csv,0.19,18.989,1417688.447,1807561.499,0.486
036_ZW Parque India Elena.csv,0.217,21.7,1709105.618,2026949.433,0.656
037_ZW Parque Tequendama.csv,0.344,34.45,2562271.97,3064492.206,0.066
038_ZW Parque Sector Amarillo Skate Park.csv,0.303,30.283,1828307.139,2552473.82,0.003
039_ZW Biblioteca Daniel Guillard.csv,0.339,33.912,2448302.449,2948081.901,0.32
040_ZW Polideportivo Torres Comfandi.csv,0.518,51.788,3363176.003,4689159.299,-0.293
041_ZW Parque Junin.csv,0.19,19.008,1453587.303,1940483.693,0.556
042_ZW Parque Mariano Ramos.csv,0.354,35.361,2129377.497,2702305.31,-0.735
043_ZW Polideportivo Ricardo Balcazar.csv,0.144,14.404,1414544.067,1800444.587,0.634
044_ZW Polideportivo San Benito.csv,0.462,46.206,2077038.556,2707720.966,0.395
045_ZW Parque Santa Anita.csv,0.398,39.773,1418671.529,1882200.724,-0.598
046_ZW Sebastian Belalcazar.csv,0.472,47.208,1047997.022,1438045.458,-0.099
047_ZW Parque del Mico.csv,0.226,22.636,1151795.265,1449199.959,0.725
048_ZW Parque Cien Palos.csv,0.133,13.292,1149974.213,1471280.25,0.628
049_ZW Cerro 3 Cruces.csv,0.295,29.486,852991.592,1209673.548,0.861
050_ZW Parque Calima.csv,0.225,22.506,982240.974,1560328.424,0.776
051_ZW Parque La Merced.csv,1.014,101.396,888834.134,1381856.629,0.057
052_ZW Puente de Colores.csv,0.518,51.752,1792229.03,2415970.56,-0.29
053_ZW Polideportivo Laureano Gomez.csv,0.379,37.876,1593595.735,2101710.064,0.661
054_ZW El Diamante.csv,1.082,108.204,1006075.455,1403548.882,0.236
055_ZW Polideportivo Petecuy.csv,0.263,26.33,1348398.68,1824211.779,0.375
056_ZW Comuna 16.csv,0.588,58.802,128648.697,231062.699,0.856
057_La Castilla.csv,309.606,30960.589,1503777.933,1980321.574,-1.336
058_La Elvira.csv,3.793,379.332,2312631.99,3308680.389,0.409
059_El Saladito.csv,1.353,135.339,1652666.116,2166458.094,0.04
