Zona,MAPE,MAPE(%),MAE,RMSE,R2
001_ZW Parque Ingenio.csv,0.254701489305698,25.470148930569803,787404.8656585949,1252907.307956297,0.7015350815519845
002_ZW Canchas Panamericanas.csv,0.24883408359776438,24.88340835977644,575987.7880878922,886941.6052399931,0.563978142471826
003_ZW Parque del Perro.csv,0.310537670870124,31.053767087012403,761866.8731324901,1308079.9239421652,0.39061524786693713
004_ZW Parque San Nicolas.csv,0.2190512496363891,21.90512496363891,2099651.387419355,3019474.5953689693,0.379444832894433
005_ZW Parque Barrio Obrero.csv,0.2694685471540935,26.94685471540935,2253437.8562700027,3589135.162877798,0.8469754663994395
006_ZW Parque Vallado.csv,14.458999816064994,1445.8999816064993,759098.561023622,1878439.7326266263,0.4269248492543598
007_ZW Parque Pizamos.csv,0.1471070337702748,14.710703377027478,722128.2408971501,1277531.0437050124,0.7196081720119432
008_ZW Parque Alfonso Lopez.csv,0.43225499822403524,43.22549982240352,2302551.985455584,2949989.191749064,0.6467127830473569
009_ZW Polideportivo Los Almendros.csv,0.4351912512625124,43.51912512625124,247217.77081967212,310568.7961029136,0.8841479745547284
010_ZW Parque Antonio Nariño.csv,0.15062163823365252,15.062163823365252,691655.2642105264,1038133.4826735591,0.7330900787628849
011_ZW Parque Santa Rosa Poblado.csv,3.0193001333833713,301.9300133383371,1776981.3165784662,2390081.0105195707,0.22361578480037902
012_ZW Polideportivo Los Naranjos.csv,1.5154326131055014,151.54326131055015,1243025.4852441016,2241571.3797195493,0.5101065150615082
013_ZW Parque Llano Verde.csv,0.23013930796340595,23.013930796340595,720717.2962204724,947651.1372283,0.3775059988858467
014_ZW Centro Cultural Alto Jordan.csv,0.48919558285940296,48.9195582859403,3090364.4629279985,5317037.372470765,0.15891502123405843
015_ZW Centro Cultural Comuna 13.csv,0.35734400370969854,35.73440037096985,1167164.2660587856,2060842.3246514674,0.8384950010051455
016_ZW Conjunto Habitacional Ramali.csv,0.3790740959359082,37.90740959359082,3494135.139212598,6165041.369622453,0.5122565618886483
017_ZW Conjunto Habitacional Rio Cauca.csv,0.18380074704964053,18.380074704964052,4523485.292768,5854021.931254753,0.7301204913217669
018_ZW Parque Las Banderas.csv,25.958731971223262,2595.873197122326,879532.3362729659,1490637.086357547,0.33837802598417943
019_ZW Parque Skate Board.csv,0.2925612368618495,29.25612368618495,2550631.6580472435,3202459.1431967244,0.26514760673424
020_ZW Parque Petecuy1.csv,32.20184526166526,3220.184526166526,1281482.9113979556,2195913.7428850806,0.5924063934243436
021_ZW Parque Alfonso Barberena.csv,0.20115963878112852,20.11596387811285,1323314.48312199,1667428.752408839,0.6330415312669839
022_ZW Polideportivo Los Farallones.csv,0.5018358744606042,50.183587446060415,891388.085070866,1606819.523647355,0.53040456924771
023_ZW Parque Los Guerreros.csv,0.2838581471251859,28.38581471251859,901112.068503937,1422388.6839531094,0.5347147863171611
024_ZW Museo La Tertulia.csv,0.6281996937162594,62.81996937162594,384028.64243902435,695220.7336920706,0.5215051815127005
025_ZW Parque San Marino.csv,0.4146409134409285,41.46409134409285,2437145.805644144,5608239.454427175,0.3740676438027618
026_ZW Parque La Flora.csv,0.23497825540579773,23.497825540579772,1284956.8117592756,1904046.8055510153,0.498454544567542
027_ZW Parque Alfonso Bonilla Aragón.csv,0.30690125380391853,30.69012538039185,720631.8595275593,1004725.4513966822,0.8205864850716352
028_ZW Parque Yo Amo a Siloé.csv,0.20055226312459218,20.05522631245922,4135175.7696377966,5284797.766430657,0.289367329937009
029_ZW Centro Cultural Vista Hermosa.csv,5814.335303853822,581433.5303853821,1553386.5005833332,2366810.3422120586,0.2799885708521055
030_ZW Parque Mutis.csv,0.22811516014788213,22.811516014788214,1516226.1710031012,1990109.4497980275,0.7649046681823681
031_ZW Cancha Los Azules.csv,0.2803503350825379,28.035033508253793,2744847.000661417,4003676.5408315295,0.6128196646847365
032_ZW Parque La Orqueta.csv,0.49369408920538516,49.36940892053852,3505568.075023622,4432630.744750371,0.38084099702408547
033_ZW Plaza Alameda.csv,1.8745066724743322,187.45066724743322,978491.4026766666,1440787.42446074,0.47836060187316776
034_ZW Parque Villa Colombia.csv,0.348378383975333,34.8378383975333,1246131.4209448816,1790405.2760230382,0.25916281679922326
035_ZW Parque Colseguros.csv,0.18508731369082307,18.508731369082305,1311333.116913386,1676356.9443521653,0.5762957500980006
036_ZW Parque India Elena.csv,0.2133551181179067,21.33551181179067,1818073.0197313158,2241280.034712699,0.6664308203082139
037_ZW Parque Tequendama.csv,0.26324825757859294,26.324825757859294,1837868.6467981755,2321011.101854866,0.5198049527619151
038_ZW Parque Sector Amarillo Skate Park.csv,0.5399865129076915,53.99865129076915,1689445.5193575178,2168541.253299089,0.22880446070564786
039_ZW Biblioteca Daniel Guillard.csv,0.2173334692004892,21.73334692004892,1594199.4192125984,2212751.7464823,0.6712541813791468
040_ZW Polideportivo Torres Comfandi.csv,0.7518757072447529,75.1875707244753,2742577.625752836,3917064.1297823507,-0.23239409394302202
041_ZW Parque Junin.csv,0.49333149032623425,49.333149032623425,1454412.596952381,2180364.736044938,0.6895380597559904
042_ZW Parque Mariano Ramos.csv,0.2445817600570773,24.45817600570773,1233263.617952756,1545859.067643475,0.43241897351335135
043_ZW Polideportivo Ricardo Balcazar.csv,0.21960262061055222,21.96026206105522,1471248.7210139316,1923262.7436063325,0.6328048913167591
044_ZW Polideportivo San Benito.csv,0.28710975756837115,28.710975756837115,3250568.026432491,5978017.994371894,0.2752285720189743
045_ZW Parque Santa Anita.csv,0.22561787707303463,22.561787707303463,763943.7422505127,1049061.0586381783,0.49880993267875795
