Zona,Tecnica,MAPE,MAPE(%),MAE,RMSE,R2
001_ZW Parque Ingenio_ojoimputado.csv,Sin Hiperparametros,0.27949,27.949,1112138.0195958898,1567721.7443534534,0.6037951432497972
002_ZW Canchas Panamericanas_ojoimputado.csv,Sin Hiperparametros,0.212537,21.2537,570739.951293919,815967.6664975728,0.6875046994517202
003_ZW Parque del Perro_ojoimputado.csv,Sin Hiperparametros,0.249632,24.9632,687809.0352878709,895241.4412139662,0.49943994901709554
004_ZW Parque San Nicolas_ojoimputado.csv,Sin Hiperparametros,0.193651,19.3651,2090599.3537295796,2769364.610358058,0.5835747415153194
005_ZW Parque Barrio Obrero_ojoimputado.csv,Sin Hiperparametros,0.160856,16.0856,2928490.8023047633,3843936.7187281647,0.7425360623822541
007_ZW Parque Pizamos_ojoimputado.csv,Sin Hiperparametros,0.149223,14.9223,722979.8461408732,1234880.6723851713,0.7380174202563332
008_ZW Parque Alfonso Lopez_ojoimputado.csv,Sin Hiperparametros,0.267815,26.7815,2448525.957406764,2973829.942258581,0.477119250612842
010_ZW Parque Antonio Nariño_ojoimputado.csv,Sin Hiperparametros,0.156002,15.6002,682091.4110849545,846280.8930349014,0.791380464505429
011_ZW Parque Santa Rosa Poblado_ojoimputado.csv,Sin Hiperparametros,0.540537,54.0537,1825222.5847112841,2443885.1096628606,0.18826733107582472
012_ZW Polideportivo Los Naranjos_ojoimputado.csv,Sin Hiperparametros,0.306083,30.6083,1554611.4287079219,2395486.729174094,0.43699480768716825
013_ZW Parque Llano Verde_ojoimputado.csv,Sin Hiperparametros,0.225984,22.5984,792137.1052422923,1004989.3407879006,0.36002747274802094
015_ZW Centro Cultural Comuna 13_ojoimputado.csv,Sin Hiperparametros,0.231093,23.1093,1337937.071421673,1890765.3121181957,0.8850871235573129
016_ZW Conjunto Habitacional Ramali_ojoimputado.csv,Sin Hiperparametros,0.277922,27.7922,5003557.633992605,7498938.732710156,0.41617657973335453
019_ZW Parque Skate Board_ojoimputado.csv,Sin Hiperparametros,0.343715,34.3715,2981937.1365133594,3468751.4061107268,-0.5327874600794715
021_ZW Parque Alfonso Barberena_ojoimputado.csv,Sin Hiperparametros,0.191254,19.1254,1404497.9344398882,1770939.5836458048,0.6466981669612206
022_ZW Polideportivo Los Farallones_ojoimputado.csv,Sin Hiperparametros,0.302625,30.2625,1251375.141751681,2103699.118574861,0.4359222438808954
023_ZW Parque Los Guerreros_ojoimputado.csv,Sin Hiperparametros,0.232361,23.2361,951705.5860297567,1229676.8187016104,0.582933004163434
024_ZW Museo La Tertulia_ojoimputado.csv,Sin Hiperparametros,0.452691,45.2691,438231.51659328246,721482.8197041047,0.4853464885726736
025_ZW Parque San Marino_ojoimputado.csv,Sin Hiperparametros,0.394485,39.4485,1817690.0052551648,2071884.1022330595,0.42603754707069963
026_ZW Parque La Flora_ojoimputado.csv,Sin Hiperparametros,0.218674,21.8674,1386322.4256348026,2138298.2429732503,0.4893767528269889
027_ZW Parque Alfonso Bonilla Aragón_ojoimputado.csv,Sin Hiperparametros,0.252485,25.2485,851194.5436009035,1104822.2216302769,0.7733310891540922
028_ZW Parque Yo Amo a Siloé_ojoimputado.csv,Sin Hiperparametros,0.189768,18.9768,4008383.919680823,4764319.074970892,-0.1680156438173217
029_ZW Centro Cultural Vista Hermosa_ojoimputado.csv,Sin Hiperparametros,317.14965,31714.965,1475827.685539897,2281118.5458142525,0.29346769665480055
030_ZW Parque Mutis_ojoimputado.csv,Sin Hiperparametros,0.237065,23.7065,1446390.8016756868,1868527.5097052695,0.613821628645019
031_ZW Cancha Los Azules_ojoimputado.csv,Sin Hiperparametros,0.216568,21.6568,3081899.3103915094,3762084.6015023245,0.5134919235658214
032_ZW Parque La Orqueta_ojoimputado.csv,Sin Hiperparametros,0.189981,18.9981,3503728.630639151,4430781.411095536,0.3283921708331313
034_ZW Parque Villa Colombia_ojoimputado.csv,Sin Hiperparametros,0.249479,24.9479,1095811.5168277363,1654893.8985676274,0.33403122644923644
035_ZW Parque Colseguros_ojoimputado.csv,Sin Hiperparametros,0.196708,19.6708,1426442.7303482997,1785051.0852399722,0.4991617732467951
036_ZW Parque India Elena_ojoimputado.csv,Sin Hiperparametros,0.209756,20.9756,1683134.4083270556,1980424.662523836,0.67123221609023
037_ZW Parque Tequendama_ojoimputado.csv,Sin Hiperparametros,0.258862,25.8862,1935315.8596038932,2472815.669799771,0.3916811818885515
038_ZW Parque Sector Amarillo Skate Park_ojoimputado.csv,Sin Hiperparametros,0.213571,21.3571,1246257.312014156,1800818.3435185242,0.5036209503043119
039_ZW Biblioteca Daniel Guillard_ojoimputado.csv,Sin Hiperparametros,0.192043,19.2043,1761931.7009371482,2217977.07976004,0.6153085072941822
040_ZW Polideportivo Torres Comfandi_ojoimputado.csv,Sin Hiperparametros,0.402606,40.2606,2915569.72134066,4408443.487114895,-0.1429516395474706
