lags,lags_label,params,mean_absolute_percentage_error,max_depth,n_estimators
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'max_depth': 30, 'n_estimators': 100}",0.7797051398657242,30,100
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'max_depth': 20, 'n_estimators': 100}",0.7797051398657242,20,100
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'max_depth': 30, 'n_estimators': 250}",0.7962087775926717,30,250
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'max_depth': 20, 'n_estimators': 250}",0.8015591184268598,20,250
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'max_depth': 10, 'n_estimators': 100}",0.819237331691778,10,100
[ 1  2  3  4  5  6  7  8  9 10],[ 1  2  3  4  5  6  7  8  9 10],"{'max_depth': 10, 'n_estimators': 250}",0.8265157278464484,10,250
[ 1  2  3  4  5  6  7  8  9 10],[ 1  2  3  4  5  6  7  8  9 10],"{'max_depth': 30, 'n_estimators': 100}",0.8280776142079816,30,100
[ 1  2  3  4  5  6  7  8  9 10],[ 1  2  3  4  5  6  7  8  9 10],"{'max_depth': 20, 'n_estimators': 100}",0.8282321581720085,20,100
[ 1  2  3  4  5  6  7  8  9 10],[ 1  2  3  4  5  6  7  8  9 10],"{'max_depth': 20, 'n_estimators': 250}",0.8291392987442368,20,250
[ 1  2  3  4  5  6  7  8  9 10],[ 1  2  3  4  5  6  7  8  9 10],"{'max_depth': 30, 'n_estimators': 250}",0.8293533657999097,30,250
[ 1  2  3  4  5  6  7  8  9 10],[ 1  2  3  4  5  6  7  8  9 10],"{'max_depth': 10, 'n_estimators': 100}",0.8442745905070906,10,100
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'max_depth': 10, 'n_estimators': 250}",0.8527318278651835,10,250
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],"{'max_depth': 10, 'n_estimators': 250}",2.619105383604441,10,250
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],"{'max_depth': 20, 'n_estimators': 250}",2.666477677257407,20,250
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],"{'max_depth': 30, 'n_estimators': 250}",2.675713028065054,30,250
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],"{'max_depth': 10, 'n_estimators': 100}",2.7228155788018533,10,100
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],"{'max_depth': 30, 'n_estimators': 100}",2.7651005035361886,30,100
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],"{'max_depth': 20, 'n_estimators': 100}",2.766367946378355,20,100
