Zona,MAE_Base,MAE_Optimizado,RMSE_Base,RMSE_Optimizado,R2_Base,R2_Optimizado,MAPE_REAL_Base,MAPE_REAL_Optimizado
045_ZW Parque Santa Anita,"728142,074","744783,059","963084,981","976756,995","0,581","0,569","23,127","23,504"
046_ZW Sebastian Belalcazar,"658475,071","672647,016","984831,929","1009337,588","0,502","0,477","24,455","25,12"
047_ZW Parque del Mico,"1021402,021","1066683,123","1383674,726","1444700,841","0,769","0,749","22,466","23,475"
048_ZW Parque Cien Palos,"1535702,688","1565252,203","2168339,319","2186334,872","0,647","0,641","26,177","27,135"
049_ZW Cerro 3 Cruces,"809862,652","891147,889","1269602,385","1334066,291","0,847","0,831","26,448","47,166"
050_ZW Parque Calima,"1207060,306","1188427,294","2028364,467","1975160,766","0,674","0,691","31,78","31,43"
051_ZW Parque La Merced,"502672,189","519833,943","881129,408","894494,895","0,567","0,554","51,554","53,82"
052_ZW Puente de Colores,"960118,896","991066,657","1838872,078","1853928,202","0,482","0,474","39,284","38,755"
053_ZW Polideportivo Laureano Gomez,"1463483,751","1400017,32","2342384,587","2284068,613","0,582","0,603","31,126","30,379"
054_ZW El Diamante,"552211,607","587347,381","974758,183","1041165,397","0,631","0,579","43,191","44,152"
055_ZW Polideportivo Petecuy,"806360,329","799738,946","1164938,315","1151358,488","0,689","0,696","29,377","29,248"
056_ZW Comuna 16,"136109,327","137105,149","275914,071","284746,882","0,703","0,684","50,813","48,545"
057_La Castilla,"4062140,131","4056694,899","6129643,541","6114126,519","-15,324","-15,241","6961,081","7085,182"
058_La Elvira,"1185749,287","1206668,513","2410817,069","2407517,599","0,623","0,624","65,18","68,265"
059_El Saladito,"909168,595","960832,827","1344898,4","1360235,842","0,476","0,464","17360,48","17576,612"
