Zona,Modelo,MAPE_Base,MAPE_Optimizado,MAPE(%)_Base,MAPE(%)_Optimizado,MAE_Base,MAE_Optimizado,RMSE_Base,RMSE_Optimizado,R2_Base,R2_Optimizado
001_ZW Parque Ingenio.csv,Random Forest,0.258049,0.264031,25.8049,26.4031,1041531.4714492752,1076748.987,1434059,1489884,0.667,0.64
002_ZW Canchas Panamericanas.csv,Random Forest,0.21974,0.215426,21.974,21.5426,600874.5361904762,582352.503,839877,817877,0.675,0.692
003_ZW Parque del Perro.csv,Random Forest,0.244844,0.247451,24.4844,24.7451,692025.9454545454,697841.758,893662,900166,0.498,0.491
004_ZW Parque San Nicolas.csv,Random Forest,0.200522,0.203761,20.0522,20.3761,2166368.30765625,2162611.549,2900307,2854942,0.546,0.56
005_ZW Parque Barrio Obrero.csv,Random Forest,0.179138,0.176974,17.9138,17.6974,3359334.1543243243,3330300.583,4438344,4370968,0.663,0.674
007_ZW Parque Pizamos.csv,Random Forest,0.207838,0.206271,20.7838,20.6271,765846.4649999999,755150.13,1325091,1335905,0.723,0.718
008_ZW Parque Alfonso Lopez.csv,Random Forest,0.315197,0.308627,31.5197,30.8627,2935948.846969697,2893594.385,3519269,3455481,0.279,0.305
010_ZW Parque Antonio Nariño.csv,Random Forest,0.168507,0.169383,16.8507,16.9383,753761.8826562499,759194.82,914938,919569,0.763,0.761
011_ZW Parque Santa Rosa Poblado.csv,Random Forest,0.540659,0.541233,54.0659,54.1233,1902469.6208108107,1905681.012,2554255,2559401,0.105,0.101
012_ZW Polideportivo Los Naranjos.csv,Random Forest,0.311246,0.303568,31.1246,30.3568,1628934.7419230768,1575362.003,2483142,2409040,0.4,0.436
013_ZW Parque Llano Verde.csv,Random Forest,0.233376,0.235486,23.3376,23.5486,811251.9376056337,816827.701,1020262,1026478,0.354,0.346
015_ZW Centro Cultural Comuna 13.csv,Random Forest,0.224383,0.217988,22.4383,21.7988,1356253.3498484849,1381605.434,1880866,1924450,0.888,0.882
016_ZW Conjunto Habitacional Ramali.csv,Random Forest,0.252093,0.256796,25.2093,25.6796,4840442.005606061,4932653.45,7683316,7789346,0.4,0.383
019_ZW Parque Skate Board.csv,Random Forest,0.250045,0.248115,25.0045,24.8115,2158449.9935384616,2140122.242,2572112,2536561,0.181,0.204
021_ZW Parque Alfonso Barberena.csv,Random Forest,0.198192,0.197471,19.8192,19.7471,1438238.4621212122,1437480.956,1786836,1801224,0.649,0.643
022_ZW Polideportivo Los Farallones.csv,Random Forest,0.266008,0.26561,26.6008,26.561,1049463.9333333336,1034906.338,1663346,1629004,0.653,0.667
023_ZW Parque Los Guerreros.csv,Random Forest,0.232697,0.234787,23.2697,23.4787,944571.7249999999,959920.497,1230534,1244676,0.575,0.565
024_ZW Museo La Tertulia.csv,Random Forest,0.271628,0.267468,27.1628,26.7468,256054.23950617283,251605.47,473914,487681,0.764,0.75
025_ZW Parque San Marino.csv,Random Forest,0.283044,0.278527,28.3044,27.8527,1328944.0542465756,1308280.045,1546633,1522624,0.686,0.695
026_ZW Parque La Flora.csv,Random Forest,0.243015,0.244492,24.3015,24.4492,1464655.0918181818,1468210.838,2065924,2059087,0.529,0.533
027_ZW Parque Alfonso Bonilla Aragón.csv,Random Forest,0.228423,0.228423,22.8423,22.8423,753981.8654545455,753981.865,976329,976329,0.821,0.821
028_ZW Parque Yo Amo a Siloé.csv,Random Forest,0.182247,0.182247,18.2247,18.2247,3816150.469242424,3816150.469,4523177,4523177,-0.08,-0.08
029_ZW Centro Cultural Vista Hermosa.csv,Random Forest,149.770312,326.273366,14977.0312,32627.3366,1192950.9507000002,1380520.636,1848013,2130314,0.54,0.389
030_ZW Parque Mutis.csv,Random Forest,0.214493,0.214562,21.4493,21.4562,1348414.4475757577,1354698.107,1770931,1787837,0.663,0.656
031_ZW Cancha Los Azules.csv,Random Forest,0.231876,0.231331,23.1876,23.1331,3278059.951355933,3264120.018,3961082,3934525,0.478,0.485
032_ZW Parque La Orqueta.csv,Random Forest,0.156446,0.162433,15.6446,16.2433,2849583.8410666664,2944762.464,3698491,3742831,0.543,0.532
034_ZW Parque Villa Colombia.csv,Random Forest,0.272717,0.26754,27.2717,26.754,1113487.4995505617,1079780.759,1506139,1459426,0.443,0.477
035_ZW Parque Colseguros.csv,Random Forest,0.174739,0.176994,17.4739,17.6994,1238262.8036363637,1257193.245,1564623,1583242,0.61,0.601
036_ZW Parque India Elena.csv,Random Forest,0.205521,0.212625,20.5521,21.2625,1616556.4279365079,1674686.707,1862000,1931496,0.702,0.679
037_ZW Parque Tequendama.csv,Random Forest,0.21777,0.219174,21.777,21.9174,1609187.872191781,1620461.304,2026114,2026647,0.601,0.601
