Zona,MAPE 70-30,MAPE 80-20
001_ZW Parque Ingenio.csv,27.552952459490342,25.13373884833764
002_ZW Canchas Panamericanas.csv,30.906674213979336,25.11972108074827
003_ZW Parque del Perro.csv,33.45950998690248,33.32727625750556
004_ZW Parque San Nicolas.csv,30.550972267079995,23.11627975293292
005_ZW Parque Barrio Obrero.csv,21.185503185720382,22.361548400597172
006_ZW Parque Vallado.csv,13842.187982339929,1261.9296439784985
007_ZW Parque Pizamos.csv,11.828843391615488,13.925145608573633
008_ZW Parque Alfonso Lopez.csv,41.626068404273724,45.3192249428804
009_ZW Polideportivo Los Almendros.csv,36.178652225243454,44.73321008325844
010_ZW Parque Antonio Nariño.csv,21.48707223456836,15.358565586263651
011_ZW Parque Santa Rosa Poblado.csv,57.68624167848784,61.30178982777015
012_ZW Polideportivo Los Naranjos.csv,625.1534105450172,133.14647386153376
013_ZW Parque Llano Verde.csv,22.198492927719016,23.143490842769594
014_ZW Centro Cultural Alto Jordan.csv,37.929832835288686,51.42424938147442
015_ZW Centro Cultural Comuna 13.csv,34.91253806514879,33.37342449803351
016_ZW Conjunto Habitacional Ramali.csv,53.04547575535258,35.98737822696718
017_ZW Conjunto Habitacional Rio Cauca.csv,18.431635930095823,18.522125198752697
018_ZW Parque Las Banderas.csv,1153.7758407827437,2446.982525253263
019_ZW Parque Skate Board.csv,34.92792380746458,27.610657699689362
020_ZW Parque Petecuy1.csv,135.46488489706817,3353.01947338975
021_ZW Parque Alfonso Barberena.csv,19.73567198948038,20.35981524456884
022_ZW Polideportivo Los Farallones.csv,46.70987380809022,47.15423707611438
023_ZW Parque Los Guerreros.csv,29.637460711741543,27.034310150666798
024_ZW Museo La Tertulia.csv,50.265562505755,68.31120446893986
025_ZW Parque San Marino.csv,39.026042463368526,50.15495304707605
026_ZW Parque La Flora.csv,27.580118751064603,24.453043165509108
027_ZW Parque Alfonso Bonilla Aragón.csv,37.627337189158496,29.208141222357618
028_ZW Parque Yo Amo a Siloé.csv,19.613763539303118,19.815477685368034
029_ZW Centro Cultural Vista Hermosa.csv,438617.55317147233,418153.35445475345
030_ZW Parque Mutis.csv,20.092657482562874,22.72356219594527
031_ZW Cancha Los Azules.csv,26.737556054534185,27.87175926076106
032_ZW Parque La Orqueta.csv,35.73235234112847,46.511593490224854
033_ZW Plaza Alameda.csv,128.5513284828034,179.46418955427563
034_ZW Parque Villa Colombia.csv,44.356302381943394,31.806010931852224
035_ZW Parque Colseguros.csv,20.950901563161903,19.90330830453421
036_ZW Parque India Elena.csv,19.192280630793295,21.747971541033575
037_ZW Parque Tequendama.csv,35.55209385833831,27.28607194179774
038_ZW Parque Sector Amarillo Skate Park.csv,63.62699869675674,52.527482195327615
039_ZW Biblioteca Daniel Guillard.csv,20.051509191729853,21.112248066263646
040_ZW Polideportivo Torres Comfandi.csv,148.87910153128135,76.53008777086237
041_ZW Parque Junin.csv,51.64191900637645,49.54436292199393
042_ZW Parque Mariano Ramos.csv,24.6953738129163,25.074860042064735
043_ZW Polideportivo Ricardo Balcazar.csv,32.40333462601342,21.912008829011683
044_ZW Polideportivo San Benito.csv,30.959295043874103,29.749613917388267
045_ZW Parque Santa Anita.csv,22.571414702471778,22.611004477208454
046_ZW Sebastian Belalcazar.csv,137.2881345188967,35.29142222865693
047_ZW Parque del Mico.csv,28.89444473584288,25.76019699806445
048_ZW Parque Cien Palos.csv,43.21136186924102,23.383632944271724
049_ZW Cerro 3 Cruces.csv,27.027885194039165,24.628727542532296
050_ZW Parque Calima.csv,32.446349447870965,40.200733940853475
051_ZW Parque La Merced.csv,245.11726014089513,59.649526380123085
052_ZW Puente de Colores.csv,43.991895757479426,44.666482947149575
053_ZW Polideportivo Laureano Gomez.csv,42.64435549058406,29.970847075394108
054_ZW El Diamante.csv,82.96446394315883,62.58873711265595
055_ZW Polideportivo Petecuy.csv,102.42563987771656,34.43553207828936
056_ZW Comuna 16.csv,503.6542525191697,108.13820027594514
057_La Castilla.csv,5703.124723187405,8762.300172131621
058_La Elvira.csv,117.57097573511422,56.5983460608784
059_El Saladito.csv,6307.109892724883,6307.272938419785
060_Felidia.csv,84.67813311741584,97.99443613390537
061_La Leonera.csv,859.3249147147128,1272.2332597343284
062_Pichinde.csv,60641.07081285595,9440.146194088113
063_Los Andes.csv,599.0873624586484,863.7221227494732
064_ZW Centro Tecnología YAWA.csv,30.112638791341972,24.403839637418553
065_ZW Centro Cultural Comuna 20.csv,12.677571682344613,15.875834032042107
