USAGE_KB_predicho,USAGE_KB_real,error_absoluto,error_relativo
6678345.54,5901602.0,776743.54,0.1316157104460789
5584947.852,5465161.0,119786.85199999996,0.021918265902870923
6787065.752,6915471.0,128405.24799999967,0.018567823941420574
7930756.244,7224916.0,705840.244,0.09769528725316667
9740987.868,10620290.0,879302.1319999993,0.08279455005465945
11581172.004,7840105.0,3741067.0040000007,0.47717052309886165
5725684.6,4351955.0,1373729.5999999996,0.3156580433391429
5575906.1,4764239.0,811667.0999999996,0.17036657900663665
6746250.148,6278173.0,468077.14800000004,0.0745562678823919
4248743.04,3716148.0,532595.04,0.1433191143086874
3968065.824,3553371.0,414694.824,0.1167046232999594
7732367.724,9686985.0,1954617.2759999996,0.2017776713807237
10287893.5,12042575.0,1754681.5,0.14570650380005937
4153475.592,3028426.0,1125049.5920000002,0.3714964777082221
10067033.708,12412949.0,2345915.2919999994,0.18898936038486902
8360280.508,7576012.0,784268.5080000004,0.10351996644144708
7321014.928,4755263.0,2565751.9280000003,0.5395604676334411
10534719.376,11593946.0,1059226.6239999998,0.09136032063630449
8909564.208,10345256.0,1435691.7919999994,0.13877779264234733
5354400.924,5413898.0,59497.07600000035,0.010989692823913629
6660563.968,6901595.0,241031.03199999966,0.03492396062069705
5033185.992,5063975.0,30789.00800000038,0.006080007898933226
7698898.472,8631971.0,933072.5279999999,0.10809495629677161
5766495.668,5743891.0,22604.667999999598,0.003935427744015267
11284282.876,13961275.0,2676992.124,0.191744101022292
10709815.876,10886044.0,176228.12399999984,0.016188444948412834
9910818.228,8856437.0,1054381.2280000001,0.1190525295894952
2285720.0,3267736.0,982016.0,0.30051876895807983
4200652.432,5217391.0,1016738.568,0.1948749035677027
6339245.768,7291583.0,952337.2319999998,0.13060774759061233
5600855.636,5569085.0,31770.63599999994,0.005704821528132528
5163807.476,5394718.0,230910.5240000002,0.04280307589757244
6230610.052,6507944.0,277333.94799999986,0.04261467953627134
2515899.536,3348417.0,832517.4640000002,0.24863016285008713
5515164.616,5502237.0,12927.616000000387,0.00234952002249274
5999407.44,6836995.0,837587.5599999996,0.1225081428317557
7102752.236,7923985.0,821232.7640000004,0.10363885898320106
2427091.964,2067855.0,359236.96400000015,0.1737244458629837
4829668.972,5488441.0,658772.0279999999,0.12002898965298159
5422377.084,6366062.0,943684.9160000002,0.14823684029467513
5341634.084,6346713.0,1005078.9160000002,0.15836211846982842
6922011.42,8055117.0,1133105.58,0.14066904056142202
5750282.236,6675567.0,925284.7640000004,0.1386076664349261
6325501.836,7072355.0,746853.1639999999,0.10560176405171967
2726534.856,3488364.0,761829.1439999999,0.2183915279483448
2505782.628,2235533.0,270249.628,0.1208882302341321
5357131.028,6991100.0,1633968.972,0.2337212987941812
7788055.94,10326285.0,2538229.0599999996,0.24580273157287444
4113592.072,4535482.0,421889.92799999984,0.09301986602526476
3690948.872,4307128.0,616179.128,0.14306032418818293
6724153.936,9842655.0,3118501.0640000002,0.3168353522499773
6192647.72,7247742.0,1055094.2800000003,0.14557558478212942
6355143.908,7178547.0,823403.0920000002,0.11470330862220449
5984921.784,7339381.0,1354459.216,0.1845467916163502
2503196.356,3863313.0,1360116.6439999999,0.3520596555339937
5422135.396,5381500.0,40635.39599999972,0.007550942302332011
7413958.38,9741198.0,2327239.62,0.23890692089412413
5881542.564,6490785.0,609242.4359999998,0.09386267392927046
7844398.072,10326285.0,2481886.9280000003,0.24034654553888454
2550135.236,2858107.0,307971.76399999997,0.1077537558950732
6569848.928,8503550.0,1933701.0719999997,0.22739927112794064
3820392.532,4674938.0,854545.4679999999,0.18279289864378948
6286329.568,6791505.0,505175.43200000003,0.07438342929880785
7869316.424,11396036.0,3526719.5760000004,0.3094689746504838
6715898.036,7437690.0,721791.9639999997,0.09704517988784148
4839924.388,5458403.0,618478.6119999997,0.11330761250131215
4013555.964,4376047.0,362491.03599999985,0.08283527027931827
4640960.352,5248585.0,607624.648,0.1157692307545748
6584355.632,7775377.0,1191021.3679999998,0.153178600600331
2392277.496,1848094.0,544183.4959999998,0.29445661097325126
3144680.276,3529840.0,385159.72399999993,0.10911534913763794
6115006.836,6301845.0,186838.16399999987,0.029648168750580167
5176940.952,4736645.0,440295.9519999996,0.0929552356150819
3821954.54,5049649.0,1227694.46,0.24312471223247398
4039152.656,5141657.0,1102504.344,0.21442588332905133
5779105.316,7484465.0,1705359.6840000004,0.2278532512343902
5584037.548,6659196.0,1075158.4519999996,0.1614546939300179
3754956.132,4719227.0,964270.8679999998,0.20432813848539175
3762328.936,3726555.0,35773.93600000022,0.009599733802399327
2553344.672,3128718.0,575373.3280000002,0.18390066730207075
3003960.636,3566954.0,562993.3640000001,0.15783589135155657
3655082.992,4450599.0,795516.0079999999,0.17874358215601988
6529850.284,7778474.0,1248623.716,0.16052296581566
6486071.7,7626611.0,1140539.2999999998,0.14954732842674154
2468837.52,2318591.0,150246.52000000002,0.06480078633963472
3614910.46,5137092.0,1522181.54,0.29631190953948267
2682789.056,3760486.0,1077696.9440000001,0.286584485090491
4630913.368,5570450.0,939536.6320000002,0.16866440449155817
5031994.732,6202288.0,1170293.2680000002,0.1886873469919488
7765368.428,11718291.0,3952922.5719999997,0.33732927199025864
3052686.1,3918818.0,866131.8999999999,0.22101865919774788
5748576.54,6988257.0,1239680.46,0.17739480102119884
7498499.156,9423609.0,1925109.8439999996,0.20428583613772597
7745446.056,12486630.0,4741183.944,0.3797008435422528
4825790.572,5948025.0,1122234.4280000003,0.1886734551384704
5544598.848,7104118.0,1559519.1519999998,0.21952326129718
