Zona,Tecnica,MAPE,MAPE(%),MAE,RMSE,R2
001_ZW Parque Ingenio_ojoimputado.csv,Sin Hiperparametros,0.279435,27.9435,1126529.0476056335,1585646.6371167856,0.5946831559531878
001_ZW Parque Ingenio_ojoimputado.csv,Con Hiperparametros,0.286273,28.6273,1147971.5153319922,1612366.2774671265,0.5809081228184337
002_ZW Canchas Panamericanas_ojoimputado.csv,Sin Hiperparametros,0.207355,20.7355,572682.6286153847,839484.4731120877,0.6692324267396222
002_ZW Canchas Panamericanas_ojoimputado.csv,Con Hiperparametros,0.197877,19.7877,530743.9480000001,749900.3974583816,0.736060275738942
003_ZW Parque del Perro_ojoimputado.csv,Sin Hiperparametros,0.256608,25.6608,723026.7561764705,973311.9631104413,0.4083294494063068
003_ZW Parque del Perro_ojoimputado.csv,Con Hiperparametros,0.251777,25.1777,703510.8329602308,941201.5922804486,0.4467248848686963
004_ZW Parque San Nicolas_ojoimputado.csv,Sin Hiperparametros,0.189555,18.9555,2035482.6084848484,2691769.629351827,0.6065835045333424
004_ZW Parque San Nicolas_ojoimputado.csv,Con Hiperparametros,0.193785,19.3785,2068505.353434831,2708578.757563636,0.6016546754825542
005_ZW Parque Barrio Obrero_ojoimputado.csv,Sin Hiperparametros,0.165821,16.5821,3031982.143421053,4016738.2525837165,0.7188675272203924
005_ZW Parque Barrio Obrero_ojoimputado.csv,Con Hiperparametros,0.169262,16.9262,3072340.181830277,4008381.189149849,0.7200361360187583
007_ZW Parque Pizamos_ojoimputado.csv,Sin Hiperparametros,0.125314,12.5314,657540.29625,1186792.124387506,0.7580243088998133
007_ZW Parque Pizamos_ojoimputado.csv,Con Hiperparametros,0.139685,13.9685,708016.3011368541,1211074.4264393155,0.7480211470844887
008_ZW Parque Alfonso Lopez_ojoimputado.csv,Sin Hiperparametros,0.271598,27.1598,2551777.727058823,3116521.1816758728,0.42573736535397144
008_ZW Parque Alfonso Lopez_ojoimputado.csv,Con Hiperparametros,0.271339,27.1339,2548668.3850665223,3101840.1952118557,0.43113497643438903
010_ZW Parque Antonio Nariño_ojoimputado.csv,Sin Hiperparametros,0.162933,16.2933,706570.4284848486,866881.7472887277,0.7811000712668578
010_ZW Parque Antonio Nariño_ojoimputado.csv,Con Hiperparametros,0.156682,15.6682,692375.6459596459,870180.5396895409,0.7794309177582471
011_ZW Parque Santa Rosa Poblado_ojoimputado.csv,Sin Hiperparametros,0.544338,54.4338,1847850.1801315786,2519421.051689347,0.13731357900565055
011_ZW Parque Santa Rosa Poblado_ojoimputado.csv,Con Hiperparametros,0.538549,53.8549,1777522.4162318602,2391817.5929671363,0.22248716614549535
012_ZW Polideportivo Los Naranjos_ojoimputado.csv,Sin Hiperparametros,0.311672,31.1672,1578069.0721250002,2406825.200150082,0.4316524898784404
012_ZW Polideportivo Los Naranjos_ojoimputado.csv,Con Hiperparametros,0.30467,30.467,1547539.0281071428,2404923.9099308155,0.43255007625109587
013_ZW Parque Llano Verde_ojoimputado.csv,Sin Hiperparametros,0.228533,22.8533,805769.6036986302,1030130.9154411465,0.3276068784477386
013_ZW Parque Llano Verde_ojoimputado.csv,Con Hiperparametros,0.229395,22.9395,810561.0185779518,1026782.642868385,0.3319707832319212
015_ZW Centro Cultural Comuna 13_ojoimputado.csv,Sin Hiperparametros,0.240055,24.0055,1393797.2267647057,1938342.8606972394,0.8792312304539726
