USAGE_KB_predicho,USAGE_KB_real,error_absoluto,error_relativo
9138364.534365425,4625895.869754082,4512468.664611343,0.9754799484604982
14580535.97534353,14278547.424994154,301988.55034937523,0.021149808965914393
6654383.6126669925,12410885.360748662,5756501.748081669,0.46382684077378505
8647025.739037603,14422580.840804704,5775555.1017671,0.4004522606263897
4138868.297862414,9969865.946675662,5830997.648813248,0.5848621917286188
4178688.0313885105,12410061.971618906,8231373.940230396,0.6632822591099925
9010854.583795728,15831707.998282317,6820853.414486589,0.4308349683575914
7545333.3653155565,15446813.920662902,7901480.555347346,0.5115281763560114
8908540.384834068,10490147.301633041,1581606.9167989735,0.1507707061990215
4728418.50646968,11809957.185107894,7081538.678638214,0.5996244158757734
4988502.290846249,9332758.384239532,4344256.093393283,0.46548468464902504
5714369.616095466,12196348.836245187,6481979.220149721,0.5314688278582631
9047874.78598196,18906017.543846246,9858142.757864285,0.5214288379348844
6554295.873384411,11644971.00269076,5090675.129306349,0.4371565311867299
6050176.922347886,11633667.914596789,5583490.992248903,0.47994244233525735
2991409.49404593,6277648.72587307,3286239.23182714,0.523482497241848
2841850.241057883,5243702.969944682,2401852.728886799,0.45804515294887826
3637252.514196514,6818801.061134209,3181548.546937695,0.46658474391808846
3872575.0742542027,10353545.387176149,6480970.312921946,0.6259662821345473
647193.091618482,4559339.50278244,3912146.411163958,0.8580511297253653
2941906.722334031,6743452.666609272,3801545.9442752413,0.5637388044701329
82586.82049178798,2011338.0785175771,1928751.2580257892,0.9589393641109518
1863832.4864556356,5898968.19682746,4035135.7103718244,0.6840409332164177
4767473.449192039,7263568.238520391,2496094.7893283525,0.3436458097951061
5630820.300914698,7682837.983391866,2052017.6824771678,0.2670911044737703
5426519.800308885,7615729.006266026,2189209.205957141,0.28745891616625485
1397175.7281073974,5680144.522747714,4282968.794640317,0.7540246163610768
3294542.2030249853,5780933.983551631,2486391.7805266455,0.4301020886246277
3600453.2492711004,5819533.802822381,2219080.553551281,0.3813158628746279
5970757.6311666295,11765894.261852738,5795136.630686108,0.49253686134806096
5667469.448930205,7212043.972963252,1544574.5240330473,0.21416598814752089
6632887.073387414,8541462.641799305,1908575.5684118904,0.22344833062570638
5486195.735215543,6725188.9010130195,1238993.1657974767,0.18423172702418014
3441321.659460759,7489593.52812965,4048271.8686688915,0.5405195693817382
8412604.28936065,18088765.70246332,9676161.413102672,0.5349265711250257
7514308.428199861,12143181.10808946,4628872.679889599,0.3811911095360316
7851918.955881197,7909601.560167133,57682.60428593587,0.007292731984936674
5763070.711983467,9927558.113270242,4164487.4012867743,0.41948758735746633
7712073.7434350755,5619713.286725206,2092360.4567098692,0.3723251258480408
8421993.582812114,12888707.467118368,4466713.884306254,0.34656026569783827
8316260.398639111,15066160.573366804,6749900.174727693,0.4480172730044989
5601857.630437446,10928152.741172453,5326295.110735008,0.4873920814327457
7515075.33182798,10915107.825872447,3400032.494044468,0.3114978384350227
7982025.23089354,11797656.08307544,3815630.8521818994,0.3234227905368159
7614399.848506677,9122880.363335948,1508480.5148292715,0.16535134242160202
7683121.960561983,10494253.195078734,2811131.234516751,0.26787339530125187
9831273.37171534,12889224.710222699,3057951.338507358,0.23724866369053496
7466765.975841135,12634595.21381183,5167829.237970695,0.4090221451907973
6736837.443802489,7314602.891480912,577765.4476784235,0.07898794456105453
4812167.813509242,9698747.668483824,4886579.854974582,0.503836167514036
4979918.979814862,9338806.149767078,4358887.169952217,0.4667499357036052
7345972.508750679,13486155.304007996,6140182.795257317,0.45529527555066013
6347444.091690533,12414385.593465354,6066941.501774821,0.4887025182275891
4047666.1271713628,7511825.034633047,3464158.907461684,0.4611607554076782
5282782.287015518,13005206.529385835,7722424.242370317,0.5937948178616895
6535889.582660859,10730069.631400079,4194180.048739219,0.39088097214817
3472462.784416247,9186118.858941782,5713656.074525535,0.6219880411153023
8623390.249196267,13937577.012871034,5314186.763674768,0.381284835862592
