Zona,Tecnica,MAPE,MAPE(%),MAE,RMSE,R2
001_ZW Parque Ingenio.csv,Sin Hiperparametros,0.689,68.913,1531994.948,2068644.114,0.193
001_ZW Parque Ingenio.csv,Con Hiperparametros,0.448,44.757,1243172.341,1840418.786,0.361
002_ZW Canchas Panamericanas.csv,Sin Hiperparametros,0.242,24.153,542490.306,777616.281,0.662
002_ZW Canchas Panamericanas.csv,Con Hiperparametros,0.228,22.811,507926.529,730395.327,0.702
003_ZW Parque del Perro.csv,Sin Hiperparametros,0.298,29.829,718244.136,1146545.853,0.6
003_ZW Parque del Perro.csv,Con Hiperparametros,0.369,36.876,751228.697,1063048.146,0.656
004_ZW Parque San Nicolas.csv,Sin Hiperparametros,0.261,26.14,2388792.366,3011982.312,0.408
004_ZW Parque San Nicolas.csv,Con Hiperparametros,0.251,25.073,2331723.611,2935802.013,0.437
005_ZW Parque Barrio Obrero.csv,Sin Hiperparametros,0.342,34.205,4101333.5,4920202.891,0.552
005_ZW Parque Barrio Obrero.csv,Con Hiperparametros,0.158,15.828,2563390.896,3427456.744,0.783
007_ZW Parque Pizamos.csv,Sin Hiperparametros,0.23,22.965,766037.951,1033213.809,0.795
007_ZW Parque Pizamos.csv,Con Hiperparametros,0.132,13.176,543626.234,838177.796,0.865
008_ZW Parque Alfonso Lopez.csv,Sin Hiperparametros,71.52,7151.977,378097794.255,722873133.926,-25203.475
008_ZW Parque Alfonso Lopez.csv,Con Hiperparametros,0.455,45.464,3146663.59,3874259.561,0.276
010_ZW Parque Antonio Nariño.csv,Sin Hiperparametros,0.169,16.892,688417.621,942329.776,0.785
010_ZW Parque Antonio Nariño.csv,Con Hiperparametros,0.155,15.497,656281.89,952186.414,0.78
011_ZW Parque Santa Rosa Poblado.csv,Sin Hiperparametros,2.116,211.57,1566179.317,2440349.445,0.165
011_ZW Parque Santa Rosa Poblado.csv,Con Hiperparametros,1.889,188.889,2445281.922,3609120.675,-0.826
012_ZW Polideportivo Los Naranjos.csv,Sin Hiperparametros,0.944,94.449,1256089.941,2035737.074,0.568
012_ZW Polideportivo Los Naranjos.csv,Con Hiperparametros,1.154,115.393,1135121.516,1855412.144,0.641
013_ZW Parque Llano Verde.csv,Sin Hiperparametros,0.232,23.201,752142.712,958212.916,0.376
013_ZW Parque Llano Verde.csv,Con Hiperparametros,0.232,23.243,766996.038,955478.918,0.38
015_ZW Centro Cultural Comuna 13.csv,Sin Hiperparametros,0.429,42.947,1448877.645,2136035.865,0.839
015_ZW Centro Cultural Comuna 13.csv,Con Hiperparametros,0.295,29.491,1244744.698,1896889.89,0.873
016_ZW Conjunto Habitacional Ramali.csv,Sin Hiperparametros,0.322,32.192,3681437.792,5184525.195,0.685
