Zona,MAPE,MAPE(%),MAE,RMSE,R2
001_ZW Parque Ingenio.csv,0.4568725561984041,45.687255619840414,1579918.0616360537,2665777.9987071296,0.20974320535610236
002_ZW Canchas Panamericanas.csv,0.4318162181037375,43.18162181037375,585755.4734706894,773622.6223509718,0.6526495014449114
003_ZW Parque del Perro.csv,0.47285863514623283,47.28586351462328,783257.2701187272,1278891.6109116778,0.2824809889420462
004_ZW Parque San Nicolas.csv,0.5838534648349988,58.38534648349988,3280043.7340956233,3929980.8477559253,-0.15058758949796758
005_ZW Parque Barrio Obrero.csv,0.7353198038740897,73.53198038740896,9127076.727530558,12033935.425313378,-0.7110830997235951
006_ZW Parque Vallado.csv,331.0980763126953,33109.80763126953,963268.4351240571,1947183.0290796084,0.27972461217788613
007_ZW Parque Pizamos.csv,0.4532114176330812,45.32114176330812,1425627.310897497,1825698.4791357105,0.3595881319983538
008_ZW Parque Alfonso Lopez.csv,0.4797785745697959,47.97785745697959,2924923.2863254664,4947513.128478294,0.3936783014085451
009_ZW Polideportivo Los Almendros.csv,0.5421591154326878,54.21591154326878,472094.04304495174,632549.4522851318,0.5981720108834786
010_ZW Parque Antonio Nariño.csv,0.38634815110608234,38.63481511060824,1244009.5137295988,1851677.3024563894,0.3934290791369187
011_ZW Parque Santa Rosa Poblado.csv,1.1797178505189687,117.97178505189687,1578278.5933339,2573284.014651662,0.03673184899858639
012_ZW Polideportivo Los Naranjos.csv,11.468732849186102,1146.8732849186101,1576739.4900161452,2360573.251175221,0.292600861085505
013_ZW Parque Llano Verde.csv,0.30795422160651537,30.795422160651537,843497.3638475422,1257253.6856659118,0.0963894264058972
014_ZW Centro Cultural Alto Jordan.csv,0.41871433339498954,41.87143333949896,3099268.3697407795,5190215.865110668,0.04986183527684529
015_ZW Centro Cultural Comuna 13.csv,0.6059438963630195,60.59438963630195,2349571.576947538,4008800.4445986943,0.306589735960593
016_ZW Conjunto Habitacional Ramali.csv,0.6705221250010661,67.0522125001066,3541771.86125979,5036107.141165348,0.5879037647168057
017_ZW Conjunto Habitacional Rio Cauca.csv,0.45884830845624963,45.88483084562496,6543508.961646826,7944008.89464943,0.5649056459119501
018_ZW Parque Las Banderas.csv,31.979388709608596,3197.9388709608597,651065.8399215465,1183173.6945222185,0.4888614243615056
019_ZW Parque Skate Board.csv,0.5623974540905385,56.23974540905385,3885772.2018952826,4766706.608752331,-0.7245430296406932
020_ZW Parque Petecuy1.csv,18.64300247049986,1864.300247049986,1194858.6389101902,2121936.455332494,0.5095512646928005
021_ZW Parque Alfonso Barberena.csv,0.19081125344028713,19.081125344028713,1086594.468901208,1497943.3205629839,0.7635393243933072
022_ZW Polideportivo Los Farallones.csv,2.557750140774189,255.77501407741892,1253649.835729079,1881277.7502296406,0.46389191368051097
023_ZW Parque Los Guerreros.csv,0.43137627004563717,43.13762700456372,1196034.7791435344,1760823.0814689635,0.5915612480548633
024_ZW Museo La Tertulia.csv,1.111472102525643,111.1472102525643,647170.3328382313,1086481.865248378,0.40101665307520273
025_ZW Parque San Marino.csv,0.8875163779736669,88.75163779736668,4577282.659333771,6830066.987429659,-0.01904568269904372
026_ZW Parque La Flora.csv,0.45615088092527345,45.615088092527344,1410340.4943394312,1932475.4418853766,0.5619109357587451
027_ZW Parque Alfonso Bonilla Aragón.csv,0.6033284229793436,60.33284229793436,872921.6528933052,1086406.4981826225,0.7622953926800635
028_ZW Parque Yo Amo a Siloé.csv,0.30362730574428015,30.362730574428014,5970333.942099574,7476337.98028741,-0.5232092406849296
029_ZW Centro Cultural Vista Hermosa.csv,9576.022145469042,957602.2145469042,2667146.036517037,3609503.0669759056,-0.7943159099842014
030_ZW Parque Mutis.csv,0.40821268730729476,40.82126873072948,2221750.7490404784,3062530.9581855517,0.45621540382495673
031_ZW Cancha Los Azules.csv,0.4230727061776157,42.307270617761574,4507482.8813374145,7062002.678451369,0.03522376066534172
032_ZW Parque La Orqueta.csv,0.29708526674386937,29.70852667438694,2987290.757828577,3786598.5758083602,0.5380061771792883
033_ZW Plaza Alameda.csv,0.6397357179111989,63.97357179111989,1072312.5061480107,1856011.7116227238,-0.0030173283733994083
