Zona,Modelo,MAPE_Base,MAPE_Optimizado,MAPE(%)_Base,MAPE(%)_Optimizado,MAE_Base,MAE_Optimizado,RMSE_Base,RMSE_Optimizado,R2_Base,R2_Optimizado
001_ZW Parque Ingenio.csv,Perceptron,2.697,0.429,269.725,42.94,6231274.722,1321993.779,6706314.448,1759345.771,-8.252,0.363
002_ZW Canchas Panamericanas.csv,Perceptron,0.316,0.321,31.568,32.106,551104.81,609670.193,750546.97,834375.676,0.71,0.641
003_ZW Parque del Perro.csv,Perceptron,0.338,0.345,33.813,34.468,1057232.476,1101335.718,1428209.738,1438148.345,0.46,0.453
004_ZW Parque San Nicolas.csv,Perceptron,0.208,0.294,20.831,29.388,2863132.891,3717160.523,3918591.31,4697175.193,0.46,0.225
005_ZW Parque Barrio Obrero.csv,Perceptron,0.218,0.206,21.787,20.558,4300606.956,4979891.734,5047431.388,6235258.676,0.669,0.494
007_ZW Parque Pizamos.csv,Perceptron,0.204,0.274,20.387,27.382,942269.199,1164503.362,1405260.335,1530186.001,0.68,0.621
008_ZW Parque Alfonso Lopez.csv,Perceptron,0.321,0.313,32.053,31.262,2833231.213,2852702.354,3559343.422,3520371.833,0.523,0.533
010_ZW Parque Antonio Nariño.csv,Perceptron,0.214,0.185,21.416,18.489,1017913.748,1047455.411,1246428.045,1344555.653,0.729,0.684
011_ZW Parque Santa Rosa Poblado.csv,Perceptron,16.096,21.866,1609.645,2186.571,11209602.599,7987164.001,17074890.278,12286097.419,-0.166,0.396
012_ZW Polideportivo Los Naranjos.csv,Perceptron,0.825,1.649,82.476,164.896,1723843.019,3175521.624,2613352.623,4519302.55,0.518,-0.443
013_ZW Parque Llano Verde.csv,Perceptron,0.307,0.407,30.696,40.684,1147587.765,1522222.344,1394759.699,1777881.979,0.012,-0.605
015_ZW Centro Cultural Comuna 13.csv,Perceptron,0.869,0.811,86.875,81.127,2149644.767,2081356.361,3033566.433,2968629.149,0.775,0.785
016_ZW Conjunto Habitacional Ramali.csv,Perceptron,0.49,0.473,48.981,47.304,6681711.37,5489522.384,9306385.188,8509188.985,0.301,0.416
019_ZW Parque Skate Board.csv,Perceptron,0.19,1.641,19.029,164.075,1719320.177,12766933.934,2256043.121,14700211.712,0.454,-22.162
021_ZW Parque Alfonso Barberena.csv,Perceptron,0.183,0.171,18.278,17.133,1421567.157,1290007.144,1940057.239,1778540.973,0.572,0.641
022_ZW Polideportivo Los Farallones.csv,Perceptron,2.483,2.233,248.327,223.273,1205997.89,1459004.431,1749945.485,2052788.008,0.56,0.395
023_ZW Parque Los Guerreros.csv,Perceptron,0.646,0.437,64.6,43.694,2170307.286,1845649.28,2786892.821,2615097.274,-0.412,-0.244
024_ZW Museo La Tertulia.csv,Perceptron,10.785,26092.418,1078.519,2609241.835,770074.744,530832484.421,900806.242,1776380775.948,0.264,-2863977.31
025_ZW Parque San Marino.csv,Perceptron,3.003,3.357,300.3,335.702,7050187.205,3946997.673,8757283.917,6097251.276,-0.349,0.346
026_ZW Parque La Flora.csv,Perceptron,0.29,0.395,28.984,39.531,1699178.971,2339405.226,2293723.085,2897139.096,0.455,0.13
027_ZW Parque Alfonso Bonilla Aragón.csv,Perceptron,0.45,0.403,44.971,40.318,1147962.247,845002.562,1569654.718,1151233.36,0.683,0.829
028_ZW Parque Yo Amo a Siloé.csv,Perceptron,0.167,0.242,16.701,24.164,4331432.044,6343883.713,5459143.868,7865359.14,0.187,-0.688
029_ZW Centro Cultural Vista Hermosa.csv,Perceptron,1.007,0.739,100.653,73.95,3052551.427,2643361.248,3961689.29,3747743.814,-0.649,-0.476
030_ZW Parque Mutis.csv,Perceptron,0.34,0.314,33.997,31.355,1813744.202,1884707.817,2214331.233,2347738.484,0.607,0.558
031_ZW Cancha Los Azules.csv,Perceptron,0.279,0.268,27.868,26.803,3591561.561,3671075.583,4597839.186,4772537.886,0.467,0.426
032_ZW Parque La Orqueta.csv,Perceptron,9.681,2.007,968.138,200.694,14257939.433,4327134.957,16725285.268,5791549.541,-3.76,0.429
034_ZW Parque Villa Colombia.csv,Perceptron,0.513,0.549,51.28,54.918,1982615.798,2218624.859,2739156.523,2848201.959,0.263,0.203
035_ZW Parque Colseguros.csv,Perceptron,0.326,0.25,32.56,24.954,2366553.406,1832479.281,2833112.786,2391392.03,-0.388,0.011
036_ZW Parque India Elena.csv,Perceptron,0.27,0.335,26.976,33.534,2339662.171,2946342.803,2733962.102,3318270.682,0.507,0.273
037_ZW Parque Tequendama.csv,Perceptron,0.216,0.289,21.641,28.93,1690522.728,2428845.871,2255329.325,3064654.711,0.535,0.142
038_ZW Parque Sector Amarillo Skate Park.csv,Perceptron,0.463,0.454,46.282,45.415,1172453.765,1135342.844,1471592.946,1498665.46,0.49,0.471
039_ZW Biblioteca Daniel Guillard.csv,Perceptron,0.263,0.307,26.25,30.678,2531882.918,2974507.452,3349208.224,3972204.774,0.398,0.153
040_ZW Polideportivo Torres Comfandi.csv,Perceptron,0.716,0.709,71.565,70.905,4506263.483,4708902.246,5802683.896,6045202.794,-0.824,-0.98
041_ZW Parque Junin.csv,Perceptron,0.218,0.442,21.809,44.222,2065600.887,4306981.144,2628757.952,4836992.563,0.437,-0.906
042_ZW Parque Mariano Ramos.csv,Perceptron,0.271,0.584,27.142,58.41,1667000.492,3533518.028,2049644.939,3978429.136,-0.215,-3.576
043_ZW Polideportivo Ricardo Balcazar.csv,Perceptron,0.204,0.184,20.423,18.367,2048237.818,1783187.172,2861041.626,2314469.166,0.379,0.594
044_ZW Polideportivo San Benito.csv,Perceptron,0.374,0.488,37.425,48.799,2624801.573,2531394.086,3784281.629,3750727.959,0.74,0.745
045_ZW Parque Santa Anita.csv,Perceptron,0.551,0.419,55.136,41.924,2084061.914,1853337.078,2654540.265,2353060.516,-1.587,-1.033
046_ZW Sebastian Belalcazar.csv,Perceptron,1.628,1.338,162.84,133.795,2393571.867,3215282.123,3211876.303,4144118.008,-0.411,-1.349
047_ZW Parque del Mico.csv,Perceptron,0.238,0.257,23.785,25.743,1077900.587,1212936.197,1420057.793,1543069.744,0.687,0.631
048_ZW Parque Cien Palos.csv,Perceptron,0.19,0.203,19.0,20.259,2071665.653,2148219.287,2640959.797,2777431.245,0.52,0.469
049_ZW Cerro 3 Cruces.csv,Perceptron,0.445,0.516,44.477,51.621,1331725.142,2108039.24,1832711.094,2667909.085,0.811,0.6
050_ZW Parque Calima.csv,Perceptron,0.302,0.289,30.218,28.894,1264508.426,1221873.933,1787766.824,1736049.389,0.687,0.704
051_ZW Parque La Merced.csv,Perceptron,259870545.182,346630.324,25987054518.194,34663032.397,291017040639514.3,382234641460.315,571945333431135.5,498733771395.638,-1.5252461551886982e+17,-115976086931.714
052_ZW Puente de Colores.csv,Perceptron,0.931,0.608,93.068,60.778,1633675.846,1839985.855,1950272.796,2316286.8,0.426,0.19
053_ZW Polideportivo Laureano Gomez.csv,Perceptron,0.338,0.454,33.829,45.436,3127446.291,2864240.445,4583145.475,3697715.761,0.564,0.716
054_ZW El Diamante.csv,Perceptron,0.745,0.658,74.482,65.839,692484.095,850171.158,931375.852,1124378.42,0.703,0.566
055_ZW Polideportivo Petecuy.csv,Perceptron,0.365,0.257,36.484,25.745,1475694.376,1075785.344,1906922.819,1498690.126,-0.448,0.106
056_ZW Comuna 16.csv,Perceptron,1.318,0.64,131.765,64.001,240588.662,216384.198,329494.502,319183.207,0.753,0.768
057_La Castilla.csv,Perceptron,22.781,12.387,2278.14,1238.689,6735367.77,4692569.407,9048561.399,7411641.572,-32.374,-21.391
058_La Elvira.csv,Perceptron,1.695,0.76,169.505,76.036,2628538.068,1967482.21,3557652.671,3039738.422,0.405,0.566
059_El Saladito.csv,Perceptron,0.794,0.649,79.394,64.875,2423900.423,2559797.694,3240094.951,3323514.006,-0.23,-0.295
