lag1,lag2,lag3,lag4,lag5,lag6,lag7,target
0.630084112961527,0.1569466552352163,6.738927694983549,8.21155696681874,3.290006114623787,0.9571410773213028,-0.0476129197246616,-0.0360656248309462
0.1569466552352163,6.738927694983549,8.21155696681874,3.290006114623787,0.9571410773213028,-0.0476129197246616,-0.0360656248309462,-0.0358984152796743
6.738927694983549,8.21155696681874,3.290006114623787,0.9571410773213028,-0.0476129197246616,-0.0360656248309462,-0.0358984152796743,0.0228937743949719
8.21155696681874,3.290006114623787,0.9571410773213028,-0.0476129197246616,-0.0360656248309462,-0.0358984152796743,0.0228937743949719,-0.0158037615591798
3.290006114623787,0.9571410773213028,-0.0476129197246616,-0.0360656248309462,-0.0358984152796743,0.0228937743949719,-0.0158037615591798,-0.0405540537660672
0.9571410773213028,-0.0476129197246616,-0.0360656248309462,-0.0358984152796743,0.0228937743949719,-0.0158037615591798,-0.0405540537660672,-0.0436654628671848
-0.0476129197246616,-0.0360656248309462,-0.0358984152796743,0.0228937743949719,-0.0158037615591798,-0.0405540537660672,-0.0436654628671848,-0.0434982533159129
-0.0360656248309462,-0.0358984152796743,0.0228937743949719,-0.0158037615591798,-0.0405540537660672,-0.0436654628671848,-0.0434982533159129,-0.0418933694855683
-0.0358984152796743,0.0228937743949719,-0.0158037615591798,-0.0405540537660672,-0.0436654628671848,-0.0434982533159129,-0.0418933694855683,-0.0427818751403658
0.0228937743949719,-0.0158037615591798,-0.0405540537660672,-0.0436654628671848,-0.0434982533159129,-0.0418933694855683,-0.0427818751403658,-0.0365459424635212
-0.0158037615591798,-0.0405540537660672,-0.0436654628671848,-0.0434982533159129,-0.0418933694855683,-0.0427818751403658,-0.0365459424635212,-0.0473260405925775
-0.0405540537660672,-0.0436654628671848,-0.0434982533159129,-0.0418933694855683,-0.0427818751403658,-0.0365459424635212,-0.0473260405925775,-0.0465883513957899
-0.0436654628671848,-0.0434982533159129,-0.0418933694855683,-0.0427818751403658,-0.0365459424635212,-0.0473260405925775,-0.0465883513957899,-0.0315640814212156
-0.0434982533159129,-0.0418933694855683,-0.0427818751403658,-0.0365459424635212,-0.0473260405925775,-0.0465883513957899,-0.0315640814212156,-0.0464047487512561
-0.0418933694855683,-0.0427818751403658,-0.0365459424635212,-0.0473260405925775,-0.0465883513957899,-0.0315640814212156,-0.0464047487512561,-0.0460998372165839
-0.0427818751403658,-0.0365459424635212,-0.0473260405925775,-0.0465883513957899,-0.0315640814212156,-0.0464047487512561,-0.0460998372165839,-0.0462752433144867
-0.0365459424635212,-0.0473260405925775,-0.0465883513957899,-0.0315640814212156,-0.0464047487512561,-0.0460998372165839,-0.0462752433144867,-0.0352082660533464
-0.0473260405925775,-0.0465883513957899,-0.0315640814212156,-0.0464047487512561,-0.0460998372165839,-0.0462752433144867,-0.0352082660533464,-0.046488353526892
-0.0465883513957899,-0.0315640814212156,-0.0464047487512561,-0.0460998372165839,-0.0462752433144867,-0.0352082660533464,-0.046488353526892,-0.0401114402479947
-0.0315640814212156,-0.0464047487512561,-0.0460998372165839,-0.0462752433144867,-0.0352082660533464,-0.046488353526892,-0.0401114402479947,-0.0450277289172525
-0.0464047487512561,-0.0460998372165839,-0.0462752433144867,-0.0352082660533464,-0.046488353526892,-0.0401114402479947,-0.0450277289172525,-0.0425589290720033
-0.0460998372165839,-0.0462752433144867,-0.0352082660533464,-0.046488353526892,-0.0401114402479947,-0.0450277289172525,-0.0425589290720033,-0.0213446270817179
-0.0462752433144867,-0.0352082660533464,-0.046488353526892,-0.0401114402479947,-0.0450277289172525,-0.0425589290720033,-0.0213446270817179,-0.0242773514662802
-0.0352082660533464,-0.046488353526892,-0.0401114402479947,-0.0450277289172525,-0.0425589290720033,-0.0213446270817179,-0.0242773514662802,-0.0384524592098856
-0.046488353526892,-0.0401114402479947,-0.0450277289172525,-0.0425589290720033,-0.0213446270817179,-0.0242773514662802,-0.0384524592098856,-0.0307198371182253
-0.0401114402479947,-0.0450277289172525,-0.0425589290720033,-0.0213446270817179,-0.0242773514662802,-0.0384524592098856,-0.0307198371182253,-0.0355295706812805
-0.0450277289172525,-0.0425589290720033,-0.0213446270817179,-0.0242773514662802,-0.0384524592098856,-0.0307198371182253,-0.0355295706812805,-0.047170306206589
-0.0425589290720033,-0.0213446270817179,-0.0242773514662802,-0.0384524592098856,-0.0307198371182253,-0.0355295706812805,-0.047170306206589,-0.0452031350151554
-0.0213446270817179,-0.0242773514662802,-0.0384524592098856,-0.0307198371182253,-0.0355295706812805,-0.047170306206589,-0.0452031350151554,-0.0419769742612042
-0.0242773514662802,-0.0384524592098856,-0.0307198371182253,-0.0355295706812805,-0.047170306206589,-0.0452031350151554,-0.0419769742612042,-0.0349885986036363
-0.0384524592098856,-0.0307198371182253,-0.0355295706812805,-0.047170306206589,-0.0452031350151554,-0.0419769742612042,-0.0349885986036363,1.0393688331232285
-0.0307198371182253,-0.0355295706812805,-0.047170306206589,-0.0452031350151554,-0.0419769742612042,-0.0349885986036363,1.0393688331232285,0.0594192254919157
-0.0355295706812805,-0.047170306206589,-0.0452031350151554,-0.0419769742612042,-0.0349885986036363,1.0393688331232285,0.0594192254919157,0.0206200523595398
-0.047170306206589,-0.0452031350151554,-0.0419769742612042,-0.0349885986036363,1.0393688331232285,0.0594192254919157,0.0206200523595398,0.2481791371659292
-0.0452031350151554,-0.0419769742612042,-0.0349885986036363,1.0393688331232285,0.0594192254919157,0.0206200523595398,0.2481791371659292,0.7320868571653391
-0.0419769742612042,-0.0349885986036363,1.0393688331232285,0.0594192254919157,0.0206200523595398,0.2481791371659292,0.7320868571653391,0.241567802653386
-0.0349885986036363,1.0393688331232285,0.0594192254919157,0.0206200523595398,0.2481791371659292,0.7320868571653391,0.241567802653386,1.8242553847213088
1.0393688331232285,0.0594192254919157,0.0206200523595398,0.2481791371659292,0.7320868571653391,0.241567802653386,1.8242553847213088,2.47854635884809
0.0594192254919157,0.0206200523595398,0.2481791371659292,0.7320868571653391,0.241567802653386,1.8242553847213088,2.47854635884809,0.6387954027209256
0.0206200523595398,0.2481791371659292,0.7320868571653391,0.241567802653386,1.8242553847213088,2.47854635884809,0.6387954027209256,-0.0443720051867747
0.2481791371659292,0.7320868571653391,0.241567802653386,1.8242553847213088,2.47854635884809,0.6387954027209256,-0.0443720051867747,-0.0332509307178699
0.7320868571653391,0.241567802653386,1.8242553847213088,2.47854635884809,0.6387954027209256,-0.0443720051867747,-0.0332509307178699,-0.0368983939686531
0.241567802653386,1.8242553847213088,2.47854635884809,0.6387954027209256,-0.0443720051867747,-0.0332509307178699,-0.0368983939686531,0.020208585718665
1.8242553847213088,2.47854635884809,0.6387954027209256,-0.0443720051867747,-0.0332509307178699,-0.0368983939686531,0.020208585718665,-0.0438457868930662
2.47854635884809,0.6387954027209256,-0.0443720051867747,-0.0332509307178699,-0.0368983939686531,0.020208585718665,-0.0438457868930662,-0.0384393447352761
0.6387954027209256,-0.0443720051867747,-0.0332509307178699,-0.0368983939686531,0.020208585718665,-0.0438457868930662,-0.0384393447352761,0.1554089830872456
-0.0443720051867747,-0.0332509307178699,-0.0368983939686531,0.020208585718665,-0.0438457868930662,-0.0384393447352761,0.1554089830872456,0.911378118171252
-0.0332509307178699,-0.0368983939686531,0.020208585718665,-0.0438457868930662,-0.0384393447352761,0.1554089830872456,0.911378118171252,2.302009137510184
-0.0368983939686531,0.020208585718665,-0.0438457868930662,-0.0384393447352761,0.1554089830872456,0.911378118171252,2.302009137510184,3.170205389065479
0.020208585718665,-0.0438457868930662,-0.0384393447352761,0.1554089830872456,0.911378118171252,2.302009137510184,3.170205389065479,3.339821446428191
-0.0438457868930662,-0.0384393447352761,0.1554089830872456,0.911378118171252,2.302009137510184,3.170205389065479,3.339821446428191,1.1456206671005371
-0.0384393447352761,0.1554089830872456,0.911378118171252,2.302009137510184,3.170205389065479,3.339821446428191,1.1456206671005371,4.635708583259701
0.1554089830872456,0.911378118171252,2.302009137510184,3.170205389065479,3.339821446428191,1.1456206671005371,4.635708583259701,-0.0177955223905064
0.911378118171252,2.302009137510184,3.170205389065479,3.339821446428191,1.1456206671005371,4.635708583259701,-0.0177955223905064,0.0165152218067483
2.302009137510184,3.170205389065479,3.339821446428191,1.1456206671005371,4.635708583259701,-0.0177955223905064,0.0165152218067483,0.1617383563956833
3.170205389065479,3.339821446428191,1.1456206671005371,4.635708583259701,-0.0177955223905064,0.0165152218067483,0.1617383563956833,0.237828538080336
3.339821446428191,1.1456206671005371,4.635708583259701,-0.0177955223905064,0.0165152218067483,0.1617383563956833,0.237828538080336,1.569634581558098
1.1456206671005371,4.635708583259701,-0.0177955223905064,0.0165152218067483,0.1617383563956833,0.237828538080336,1.569634581558098,2.8455385377032947
4.635708583259701,-0.0177955223905064,0.0165152218067483,0.1617383563956833,0.237828538080336,1.569634581558098,2.8455385377032947,0.568775583471172
-0.0177955223905064,0.0165152218067483,0.1617383563956833,0.237828538080336,1.569634581558098,2.8455385377032947,0.568775583471172,0.4630630822621813
0.0165152218067483,0.1617383563956833,0.237828538080336,1.569634581558098,2.8455385377032947,0.568775583471172,0.4630630822621813,5.019985639650303
0.1617383563956833,0.237828538080336,1.569634581558098,2.8455385377032947,0.568775583471172,0.4630630822621813,5.019985639650303,0.4428618734354841
0.237828538080336,1.569634581558098,2.8455385377032947,0.568775583471172,0.4630630822621813,5.019985639650303,0.4428618734354841,0.2573166473501384
1.569634581558098,2.8455385377032947,0.568775583471172,0.4630630822621813,5.019985639650303,0.4428618734354841,0.2573166473501384,-0.0398262004252368
2.8455385377032947,0.568775583471172,0.4630630822621813,5.019985639650303,0.4428618734354841,0.2573166473501384,-0.0398262004252368,-0.0122907216731446
0.568775583471172,0.4630630822621813,5.019985639650303,0.4428618734354841,0.2573166473501384,-0.0398262004252368,-0.0122907216731446,-0.042791710996323
0.4630630822621813,5.019985639650303,0.4428618734354841,0.2573166473501384,-0.0398262004252368,-0.0122907216731446,-0.042791710996323,-0.0443228259069888
5.019985639650303,0.4428618734354841,0.2573166473501384,-0.0398262004252368,-0.0122907216731446,-0.042791710996323,-0.0443228259069888,-0.0418900908669159
0.4428618734354841,0.2573166473501384,-0.0398262004252368,-0.0122907216731446,-0.042791710996323,-0.0443228259069888,-0.0418900908669159,-0.0428671192253279
0.2573166473501384,-0.0398262004252368,-0.0122907216731446,-0.042791710996323,-0.0443228259069888,-0.0418900908669159,-0.0428671192253279,-0.0245888202382572
-0.0398262004252368,-0.0122907216731446,-0.042791710996323,-0.0443228259069888,-0.0418900908669159,-0.0428671192253279,-0.0245888202382572,-0.0451736274472839
-0.0122907216731446,-0.042791710996323,-0.0443228259069888,-0.0418900908669159,-0.0428671192253279,-0.0245888202382572,-0.0451736274472839,-0.0443015148857483
-0.042791710996323,-0.0443228259069888,-0.0418900908669159,-0.0428671192253279,-0.0245888202382572,-0.0451736274472839,-0.0443015148857483,-0.0430228536113164
-0.0443228259069888,-0.0418900908669159,-0.0428671192253279,-0.0245888202382572,-0.0451736274472839,-0.0443015148857483,-0.0430228536113164,-0.0234986795363377
-0.0418900908669159,-0.0428671192253279,-0.0245888202382572,-0.0451736274472839,-0.0443015148857483,-0.0430228536113164,-0.0234986795363377,-0.0450752688877122
-0.0428671192253279,-0.0245888202382572,-0.0451736274472839,-0.0443015148857483,-0.0430228536113164,-0.0234986795363377,-0.0450752688877122,-0.0334951878074729
-0.0245888202382572,-0.0451736274472839,-0.0443015148857483,-0.0430228536113164,-0.0234986795363377,-0.0450752688877122,-0.0334951878074729,-0.0364918452557568
-0.0451736274472839,-0.0443015148857483,-0.0430228536113164,-0.0234986795363377,-0.0450752688877122,-0.0334951878074729,-0.0364918452557568,-0.0376737872799432
-0.0443015148857483,-0.0430228536113164,-0.0234986795363377,-0.0450752688877122,-0.0334951878074729,-0.0364918452557568,-0.0376737872799432,-0.0284084109682908
-0.0430228536113164,-0.0234986795363377,-0.0450752688877122,-0.0334951878074729,-0.0364918452557568,-0.0376737872799432,-0.0284084109682908,-0.0421802486176524
-0.0234986795363377,-0.0450752688877122,-0.0334951878074729,-0.0364918452557568,-0.0376737872799432,-0.0284084109682908,-0.0421802486176524,-0.04254745390672
-0.0450752688877122,-0.0334951878074729,-0.0364918452557568,-0.0376737872799432,-0.0284084109682908,-0.0421802486176524,-0.04254745390672,-0.0466555630781639
-0.0334951878074729,-0.0364918452557568,-0.0376737872799432,-0.0284084109682908,-0.0421802486176524,-0.04254745390672,-0.0466555630781639,-0.0385967184305908
-0.0364918452557568,-0.0376737872799432,-0.0284084109682908,-0.0421802486176524,-0.04254745390672,-0.0466555630781639,-0.0385967184305908,0.1795871563392911
-0.0376737872799432,-0.0284084109682908,-0.0421802486176524,-0.04254745390672,-0.0466555630781639,-0.0385967184305908,0.1795871563392911,0.213376600170816
-0.0284084109682908,-0.0421802486176524,-0.04254745390672,-0.0466555630781639,-0.0385967184305908,0.1795871563392911,0.213376600170816,-0.0275330197881028
-0.0421802486176524,-0.04254745390672,-0.0466555630781639,-0.0385967184305908,0.1795871563392911,0.213376600170816,-0.0275330197881028,0.1098279872724024
-0.04254745390672,-0.0466555630781639,-0.0385967184305908,0.1795871563392911,0.213376600170816,-0.0275330197881028,0.1098279872724024,-0.0434998926252391
-0.0466555630781639,-0.0385967184305908,0.1795871563392911,0.213376600170816,-0.0275330197881028,0.1098279872724024,-0.0434998926252391,-0.0451752667566101
-0.0385967184305908,0.1795871563392911,0.213376600170816,-0.0275330197881028,0.1098279872724024,-0.0434998926252391,-0.0451752667566101,-0.0427261386232752
0.1795871563392911,0.213376600170816,-0.0275330197881028,0.1098279872724024,-0.0434998926252391,-0.0451752667566101,-0.0427261386232752,-0.0471752241345676
0.213376600170816,-0.0275330197881028,0.1098279872724024,-0.0434998926252391,-0.0451752667566101,-0.0427261386232752,-0.0471752241345676,-0.0461555737336745
-0.0275330197881028,0.1098279872724024,-0.0434998926252391,-0.0451752667566101,-0.0427261386232752,-0.0471752241345676,-0.0461555737336745,-0.0467949043708904
0.1098279872724024,-0.0434998926252391,-0.0451752667566101,-0.0427261386232752,-0.0471752241345676,-0.0461555737336745,-0.0467949043708904,-0.0306427895798942
-0.0434998926252391,-0.0451752667566101,-0.0427261386232752,-0.0471752241345676,-0.0461555737336745,-0.0467949043708904,-0.0306427895798942,-0.0470539152444292
-0.0451752667566101,-0.0427261386232752,-0.0471752241345676,-0.0461555737336745,-0.0467949043708904,-0.0306427895798942,-0.0470539152444292,-0.0463506515434916
-0.0427261386232752,-0.0471752241345676,-0.0461555737336745,-0.0467949043708904,-0.0306427895798942,-0.0470539152444292,-0.0463506515434916,-0.0451883812312196
-0.0471752241345676,-0.0461555737336745,-0.0467949043708904,-0.0306427895798942,-0.0470539152444292,-0.0463506515434916,-0.0451883812312196,-0.0450769081970384
-0.0461555737336745,-0.0467949043708904,-0.0306427895798942,-0.0470539152444292,-0.0463506515434916,-0.0451883812312196,-0.0450769081970384,-0.0459588566145311
-0.0467949043708904,-0.0306427895798942,-0.0470539152444292,-0.0463506515434916,-0.0451883812312196,-0.0450769081970384,-0.0459588566145311,-0.0348902400440646
-0.0306427895798942,-0.0470539152444292,-0.0463506515434916,-0.0451883812312196,-0.0450769081970384,-0.0459588566145311,-0.0348902400440646,-0.0333115851629391
-0.0470539152444292,-0.0463506515434916,-0.0451883812312196,-0.0450769081970384,-0.0459588566145311,-0.0348902400440646,-0.0333115851629391,-0.0435900546381798
-0.0463506515434916,-0.0451883812312196,-0.0450769081970384,-0.0459588566145311,-0.0348902400440646,-0.0333115851629391,-0.0435900546381798,-0.0438130007065423
-0.0451883812312196,-0.0450769081970384,-0.0459588566145311,-0.0348902400440646,-0.0333115851629391,-0.0435900546381798,-0.0438130007065423,-0.0377770637674934
-0.0450769081970384,-0.0459588566145311,-0.0348902400440646,-0.0333115851629391,-0.0435900546381798,-0.0438130007065423,-0.0377770637674934,-0.042093365223364
-0.0459588566145311,-0.0348902400440646,-0.0333115851629391,-0.0435900546381798,-0.0438130007065423,-0.0377770637674934,-0.042093365223364,-0.0143283831656046
-0.0348902400440646,-0.0333115851629391,-0.0435900546381798,-0.0438130007065423,-0.0377770637674934,-0.042093365223364,-0.0143283831656046,1.4969312129413634
-0.0333115851629391,-0.0435900546381798,-0.0438130007065423,-0.0377770637674934,-0.042093365223364,-0.0143283831656046,1.4969312129413634,3.919779578468
-0.0435900546381798,-0.0438130007065423,-0.0377770637674934,-0.042093365223364,-0.0143283831656046,1.4969312129413634,3.919779578468,3.446412617436022
-0.0438130007065423,-0.0377770637674934,-0.042093365223364,-0.0143283831656046,1.4969312129413634,3.919779578468,3.446412617436022,0.2728212349572878
-0.0377770637674934,-0.042093365223364,-0.0143283831656046,1.4969312129413634,3.919779578468,3.446412617436022,0.2728212349572878,1.685917349302392
-0.042093365223364,-0.0143283831656046,1.4969312129413634,3.919779578468,3.446412617436022,0.2728212349572878,1.685917349302392,-0.0418589439897182
-0.0143283831656046,1.4969312129413634,3.919779578468,3.446412617436022,0.2728212349572878,1.685917349302392,-0.0418589439897182,-0.043213013493155
1.4969312129413634,3.919779578468,3.446412617436022,0.2728212349572878,1.685917349302392,-0.0418589439897182,-0.043213013493155,-0.0443474155468817
3.919779578468,3.446412617436022,0.2728212349572878,1.685917349302392,-0.0418589439897182,-0.043213013493155,-0.0443474155468817,-0.0441195515505407
3.446412617436022,0.2728212349572878,1.685917349302392,-0.0418589439897182,-0.043213013493155,-0.0443474155468817,-0.0441195515505407,-0.0426523697035964
0.2728212349572878,1.685917349302392,-0.0418589439897182,-0.043213013493155,-0.0443474155468817,-0.0441195515505407,-0.0426523697035964,-0.044871994531264
1.685917349302392,-0.0418589439897182,-0.043213013493155,-0.0443474155468817,-0.0441195515505407,-0.0426523697035964,-0.044871994531264,-0.0372459275458064
