zona,MAE,RMSE
agrupado_001_ZW Parque Ingenio,0.925326326088477,1.37360185413912
agrupado_002_ZW Canchas Panamericanas,1.5145734076097181,2.778322269963868
agrupado_003_ZW Parque del Perro,0.8945861700365421,1.0989623702722788
agrupado_004_ZW Parque San Nicolas,1.4529095083775074,1.7706650212409811
agrupado_005_ZW Parque Barrio Obrero,1.3688420774122414,1.482041218615223
agrupado_006_ZW Parque Vallado,1.0211744220462313,1.2673753721205154
agrupado_007_ZW Parque Pizamos,0.12110548223400529,0.14569932688766357
agrupado_008_ZW Parque Alfonso Lopez,1.979156229505314,3.0825309413873776
agrupado_009_ZW Polideportivo Los Almendros,0.1397758653012371,0.17018892548818437
agrupado_010_ZW Parque Antonio Nariño,1.2322168403740643,1.9352072164312404
agrupado_011_ZW Parque Santa Rosa Poblado,5.293686158804904,8.013489651780334
agrupado_012_ZW Polideportivo Los Naranjos,0.9618810384184788,1.3345989579483064
agrupado_013_ZW Parque Llano Verde,0.6972670649568723,0.8877821110558491
agrupado_014_ZW Centro Cultural Alto Jordan,0.6470879520514121,0.8234367477562582
agrupado_015_ZW Centro Cultural Comuna 13,0.4721183318078845,0.7230309045117252
agrupado_016_ZW Conjunto Habitacional Ramali,0.9359310947325312,1.1310594342841
agrupado_017_ZW Conjunto Habitacional Rio Cauca,3.121648687369479,4.395790739450455
agrupado_018_ZW Parque Las Banderas,0.9623210432988165,1.5583147101661323
agrupado_019_ZW Parque Skate Board,1.135082625798481,1.2636837931965246
agrupado_020_ZW Parque Petecuy1,0.6992440723550125,0.7780678377041308
agrupado_021_ZW Parque Alfonso Barberena,1.7167630807728333,2.002274132033123
agrupado_022_ZW Polideportivo Los Farallones,1.0832229813126697,1.6698735576744832
agrupado_023_ZW Parque Los Guerreros,2.5482819068699474,3.2726827528411313
agrupado_024_ZW Museo La Tertualia,0.8457930440836965,1.0333364282006168
agrupado_025_ZW Parque San Marino,0.5461199864162511,0.9192638242586111
agrupado_026_ZW Parque La Flora,0.7462768735596209,0.9012667026284898
agrupado_027_ZW Parque Alfonso Bonilla Aragón,1.3789987734126816,1.6213345522038516
agrupado_028_ZW Parque Yo Amo a Siloe,0.587086098883903,0.6603310204201158
agrupado_029_ZW Centro Cultural Vista Hermosa,0.6313967829793711,0.7319235868643579
agrupado_030_ZW Parque Mutis,7.309011941450742,10.698457907724283
agrupado_031_ZW Cancha Los Azules,1.6621127356309178,2.2795286561353447
agrupado_032_ZW Paque La Orqueta,0.9040109375906115,1.067920982441109
agrupado_033_ZW Plaza Alameda,0.6406274249292092,0.7543677351264862
agrupado_034_ZW Parque Villa Colombia,0.5847393267263169,1.168101095768467
agrupado_035_ZW Parque Colseguros,0.9083831629024094,1.0492180677630076
agrupado_036_ZW Parque India Elena,4.128063993011622,5.143866228517257
agrupado_037_ZW Parque Tequendama,1.4531626499497654,2.1134119207069975
agrupado_038_ZW Parque Sector Amarillo Skate Park,0.7302896150056529,0.8553437306531045
agrupado_039_ZW Biblioteca Daniel Guillard,0.9919049418532911,1.2039453737312833
agrupado_040_ZW Polideportivo Torres Comfandi,0.5389385787985135,0.6312640352084808
agrupado_041_ZW Parque Junin,1.517487518326841,1.7746727468547914
agrupado_042_ZW Parque Mariano Ramos,2.1068539176220864,2.6069723503738107
agrupado_043_ZW Polideportivo Ricardo Balcazar,1.729775083876848,2.6140043378391127
agrupado_044_ZW Polideportivo San Benito,0.6001697471599431,0.7629590854398206
agrupado_045_ZW Parque Santa Anita,1.3481498164598917,1.5877393605893755
agrupado_046_ZW Sebastian Belalcazar,0.6947425955772821,0.8916034261889129
agrupado_047_ZW Parque del Mico,4.293533566772693,6.12633779276282
agrupado_048_ZW Parque Cien Palos,1.1866038646489547,1.650658993320262
agrupado_049_ZW Cerro 3 Cruces,1.373323789285533,2.376823635033453
agrupado_050_ZW Parque Calima,2.1550457646172854,2.8074398676848125
agrupado_051_ZW Parque La Mecerd,1.0457752337163546,1.425215851751118
agrupado_052_ZW Puente de Colores,2.155033528314893,3.62075169058201
agrupado_053_ZW Polideportivo Laureano Gomez,1.3486652970588846,1.8813566314495105
agrupado_054_ZW El Diamante,0.8717086466366835,1.1718263085515916
agrupado_055_ZW Polideportivo Petecuy,23.95961229096567,27.242704059227858
agrupado_056_ZW Comuna 16,2.108917882447626,3.0680995707226235
agrupado_057_La Castilla,0.5753375152326512,1.417702432009744
agrupado_058_La Elvira,0.8203783171274249,1.3373953015489708
agrupado_059_El Saladito,0.4661790775551091,0.6529616278775889
agrupado_060_Felidia,2.185636779356453,2.809311201914145
agrupado_061_La Leonera,0.37289565735666713,0.44291834237329036
agrupado_062_Pichinde,3.5494634610890845,4.545257312642724
agrupado_063_Los Andes,0.6888720992125695,0.9418052393540011
