FECHA_CONEXION,AREA,NOMBRE_ZONA,COMUNA,MODEL,NUMERO_CONEXIONES,USAGE_KB,PORCENTAJE_USO,DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO
2025-01-19,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,27.0,869227.0,27%,6,0,1,0
2025-01-20,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,26.0,801548.0,25%,0,1,0,0
2025-01-21,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,13.0,413823.0,11%,1,1,0,0
2025-01-22,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,23.0,439086.0,13%,2,1,0,0
2025-01-23,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,23.0,2312256.0,58%,3,1,0,0
2025-01-24,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,1.0,4.0,0%,4,1,0,0
2025-01-25,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,12.0,14436.0,0%,5,0,1,0
2025-01-26,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,17.0,259211.0,7%,6,0,1,0
2025-01-27,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,28.0,635922.0,17%,0,1,0,0
2025-01-28,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,23.0,917956.0,28%,1,1,0,0
2025-01-29,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,35.0,1032577.0,28%,2,1,0,0
2025-01-30,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,16.0,609496.0,22%,3,1,0,0
2025-01-31,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,23.0,653485.0,35%,4,1,0,0
2025-02-01,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,15.0,24194.0,1%,5,0,1,0
2025-02-02,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,19.0,186188.0,6%,6,0,1,0
2025-02-03,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,27.0,488235.0,19%,0,1,0,0
2025-02-04,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,23.0,1710583.0,61%,1,1,0,0
2025-02-05,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,26.0,917810.0,38%,2,1,0,0
2025-02-06,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,15.0,144537.0,5%,3,1,0,0
2025-02-07,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,17.0,75839.0,3%,4,1,0,0
2025-02-08,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,11.0,238428.0,9%,5,0,1,0
2025-02-09,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,22.0,262186.0,8%,6,0,1,0
2025-02-10,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,30.0,158420.0,6%,0,1,0,0
2025-02-11,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,26.0,563448.0,19%,1,1,0,0
2025-02-12,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,23.0,461995.0,14%,2,1,0,0
2025-02-13,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,18.0,93184.0,4%,3,1,0,0
2025-02-14,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,31.0,592805.0,18%,4,1,0,0
2025-02-15,URBANA,009_ZW Polideportivo Los Almendros,5.0,MR76,24.0,1707741.0,62%,5,0,1,0
