FECHA_CONEXION,AREA,NOMBRE_ZONA,COMUNA,MODEL,NUMERO_CONEXIONES,USAGE_KB,PORCENTAJE_USO,DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO
2025-02-12,URBANA,007_ZW Parque Pizamos,21.0,MR76,49.0,4133819.0,125%,2,1,0,0
2025-02-13,URBANA,007_ZW Parque Pizamos,21.0,MR76,28.0,1528074.0,72%,3,1,0,0
2025-02-14,URBANA,007_ZW Parque Pizamos,21.0,MR76,51.0,8637360.0,259%,4,1,0,0
2025-02-15,URBANA,007_ZW Parque Pizamos,21.0,MR76,46.0,4553987.0,165%,5,0,1,0
2025-02-16,URBANA,007_ZW Parque Pizamos,21.0,MR76,51.0,2057531.0,68%,6,0,1,0
2025-02-17,URBANA,007_ZW Parque Pizamos,21.0,MR76,50.0,1704508.0,61%,0,1,0,0
2025-02-18,URBANA,007_ZW Parque Pizamos,21.0,MR76,38.0,2884546.0,103%,1,1,0,0
2025-02-19,URBANA,007_ZW Parque Pizamos,21.0,MR76,53.0,5614562.0,179%,2,1,0,0
2025-02-20,URBANA,007_ZW Parque Pizamos,21.0,MR76,57.0,3996097.0,113%,3,1,0,0
2025-02-21,URBANA,007_ZW Parque Pizamos,21.0,MR76,49.0,4806694.0,165%,4,1,0,0
2025-02-22,URBANA,007_ZW Parque Pizamos,21.0,MR76,46.0,2859167.0,101%,5,0,1,0
2025-02-23,URBANA,007_ZW Parque Pizamos,21.0,MR76,56.0,3640486.0,106%,6,0,1,0
2025-02-24,URBANA,007_ZW Parque Pizamos,21.0,MR76,47.0,9552282.0,393%,0,1,0,0
2025-02-25,URBANA,007_ZW Parque Pizamos,21.0,MR76,41.0,4660584.0,150%,1,1,0,0
2025-02-26,URBANA,007_ZW Parque Pizamos,21.0,MR76,58.0,4534284.0,164%,2,1,0,0
2025-02-27,URBANA,007_ZW Parque Pizamos,21.0,MR76,54.0,6310559.0,220%,3,1,0,0
2025-02-28,URBANA,007_ZW Parque Pizamos,21.0,MR76,55.0,6685344.0,237%,4,1,0,0
2025-03-01,URBANA,007_ZW Parque Pizamos,21.0,MR76,51.0,2993573.0,113%,5,0,1,0
2025-03-02,URBANA,007_ZW Parque Pizamos,21.0,MR76,50.0,5879117.0,173%,6,0,1,0
2025-03-03,URBANA,007_ZW Parque Pizamos,21.0,MR76,53.0,4264796.0,160%,0,1,0,0
2025-03-04,URBANA,007_ZW Parque Pizamos,21.0,MR76,23.0,1917066.0,87%,1,1,0,0
2025-03-05,URBANA,007_ZW Parque Pizamos,21.0,MR76,36.0,2279249.0,81%,2,1,0,0
2025-03-06,URBANA,007_ZW Parque Pizamos,21.0,MR76,47.0,5260938.0,169%,3,1,0,0
2025-03-07,URBANA,007_ZW Parque Pizamos,21.0,MR76,39.0,1713512.0,62%,4,1,0,0
2025-03-08,URBANA,007_ZW Parque Pizamos,21.0,MR76,52.0,3650792.0,106%,5,0,1,0
2025-03-09,URBANA,007_ZW Parque Pizamos,21.0,MR76,50.0,4005511.0,125%,6,0,1,0
2025-03-10,URBANA,007_ZW Parque Pizamos,21.0,MR76,35.0,1781712.0,52%,0,1,0,0
2025-03-11,URBANA,007_ZW Parque Pizamos,21.0,MR76,31.0,1609853.0,72%,1,1,0,0
2025-03-12,URBANA,007_ZW Parque Pizamos,21.0,MR76,53.0,6446268.0,218%,2,1,0,0
2025-03-13,URBANA,007_ZW Parque Pizamos,21.0,MR76,27.0,998556.0,41%,3,1,0,0
2025-03-14,URBANA,007_ZW Parque Pizamos,21.0,MR76,54.0,2899542.0,98%,4,1,0,0
2025-03-15,URBANA,007_ZW Parque Pizamos,21.0,MR76,40.0,2179843.0,70%,5,0,1,0
2025-03-16,URBANA,007_ZW Parque Pizamos,21.0,MR76,35.0,1620628.0,52%,6,0,1,0
2025-03-17,URBANA,007_ZW Parque Pizamos,21.0,MR76,44.0,1611845.0,55%,0,1,0,0
2025-03-18,URBANA,007_ZW Parque Pizamos,21.0,MR76,36.0,1826513.0,55%,1,1,0,0
2025-03-19,URBANA,007_ZW Parque Pizamos,21.0,MR76,43.0,1722662.0,62%,2,1,0,0
2025-03-20,URBANA,007_ZW Parque Pizamos,21.0,MR76,48.0,2168643.0,70%,3,1,0,0
2025-03-21,URBANA,007_ZW Parque Pizamos,21.0,MR76,34.0,2290797.0,62%,4,1,0,0
2025-03-22,URBANA,007_ZW Parque Pizamos,21.0,MR76,39.0,1887724.0,62%,5,0,1,0
2025-03-23,URBANA,007_ZW Parque Pizamos,21.0,MR76,57.0,4134785.0,128%,6,0,1,0
2025-03-24,URBANA,007_ZW Parque Pizamos,21.0,MR76,49.0,3295349.0,81%,0,0,0,1
2025-03-25,URBANA,007_ZW Parque Pizamos,21.0,MR76,48.0,4450874.0,129%,1,1,0,0
2025-03-26,URBANA,007_ZW Parque Pizamos,21.0,MR76,39.0,1876845.0,61%,2,1,0,0
2025-03-27,URBANA,007_ZW Parque Pizamos,21.0,MR76,34.0,2458519.0,68%,3,1,0,0
2025-03-28,URBANA,007_ZW Parque Pizamos,21.0,MR76,26.0,2115047.0,88%,4,1,0,0
2025-03-29,URBANA,007_ZW Parque Pizamos,21.0,MR76,55.0,4540925.0,142%,5,0,1,0
2025-03-30,URBANA,007_ZW Parque Pizamos,21.0,MR76,37.0,5127500.0,147%,6,0,1,0
2025-03-31,URBANA,007_ZW Parque Pizamos,21.0,MR76,42.0,5685003.0,189%,0,1,0,0
2025-04-01,URBANA,007_ZW Parque Pizamos,21.0,MR76,43.0,5767053.0,206%,1,1,0,0
