lags,lags_label,params,mean_absolute_percentage_error,svr__C,svr__epsilon,svr__gamma
[ 1  2  3  4  5  6  7  8  9 10 11 12],[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'svr__C': 10.0, 'svr__epsilon': 0.1, 'svr__gamma': 'scale'}",0.46956240481618183,10.0,0.1,scale
[ 1  2  3  4  5  6  7  8  9 10 11 12],[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'svr__C': 10.0, 'svr__epsilon': 0.01, 'svr__gamma': 'scale'}",0.46956240481618183,10.0,0.01,scale
[ 1  2  3  4  5  6  7  8  9 10 11 12],[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'svr__C': 10.0, 'svr__epsilon': 0.004, 'svr__gamma': 'scale'}",0.46956240481618183,10.0,0.004,scale
[ 1  2  3  4  5  6  7  8  9 10 11 12],[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'svr__C': 10.0, 'svr__epsilon': 0.1, 'svr__gamma': 0.5}",0.46956348878463294,10.0,0.1,0.5
[ 1  2  3  4  5  6  7  8  9 10 11 12],[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'svr__C': 10.0, 'svr__epsilon': 0.01, 'svr__gamma': 0.5}",0.46956348878463294,10.0,0.01,0.5
[ 1  2  3  4  5  6  7  8  9 10 11 12],[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'svr__C': 10.0, 'svr__epsilon': 0.004, 'svr__gamma': 0.5}",0.46956348878463294,10.0,0.004,0.5
[ 1  2  3  4  5  6  7  8  9 10 11 12],[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'svr__C': 10.0, 'svr__epsilon': 0.004, 'svr__gamma': 0.05}",0.46956703401374605,10.0,0.004,0.05
[ 1  2  3  4  5  6  7  8  9 10 11 12],[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'svr__C': 10.0, 'svr__epsilon': 0.1, 'svr__gamma': 0.05}",0.4695670340137461,10.0,0.1,0.05
[ 1  2  3  4  5  6  7  8  9 10 11 12],[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'svr__C': 10.0, 'svr__epsilon': 0.01, 'svr__gamma': 0.05}",0.4695670340137461,10.0,0.01,0.05
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],"{'svr__C': 10.0, 'svr__epsilon': 0.01, 'svr__gamma': 0.5}",0.4695678670633711,10.0,0.01,0.5
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],"{'svr__C': 10.0, 'svr__epsilon': 0.1, 'svr__gamma': 0.5}",0.4695678670633711,10.0,0.1,0.5
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],"{'svr__C': 10.0, 'svr__epsilon': 0.004, 'svr__gamma': 0.5}",0.4695678670633711,10.0,0.004,0.5
[ 1  2  3  4  5  6  7  8  9 10 11 12],[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'svr__C': 10.0, 'svr__epsilon': 0.01, 'svr__gamma': 'auto'}",0.4695679099139064,10.0,0.01,auto
[ 1  2  3  4  5  6  7  8  9 10 11 12],[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'svr__C': 10.0, 'svr__epsilon': 0.004, 'svr__gamma': 'auto'}",0.4695679099139064,10.0,0.004,auto
[ 1  2  3  4  5  6  7  8  9 10 11 12],[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'svr__C': 10.0, 'svr__epsilon': 0.1, 'svr__gamma': 'auto'}",0.4695679099139064,10.0,0.1,auto
