fechaconexion,area,nombrezona,comuna,model,es_festivo,tipo_dia,dia_semana,latitud,longitud,numeroconexiones,usagekb,porcentajeuso
2024-07-26,URBANA,045_ZW Parque Santa Anita,17,MR76,False,Laboral,Viernes,3.408.384,-76.537.887,46.0,1050431,138.35
2024-07-27,URBANA,045_ZW Parque Santa Anita,17,MR76,False,Fin de Semana,Sábado,3.408.384,-76.537.887,30.0,1009134,172.59
2024-07-28,URBANA,045_ZW Parque Santa Anita,17,MR76,False,Fin de Semana,Domingo,3.408.384,-76.537.887,15.0,120186,25.43
2024-07-29,URBANA,045_ZW Parque Santa Anita,17,MR76,False,Laboral,Lunes,3.408.384,-76.537.887,46.0,3843389,616.3
2024-07-30,URBANA,045_ZW Parque Santa Anita,17,MR76,False,Laboral,Martes,3.408.384,-76.537.887,43.0,1381992,201.96
2024-07-31,URBANA,045_ZW Parque Santa Anita,17,MR76,False,Laboral,Miércoles,3.408.384,-76.537.887,44.0,11027,1.83
2024-08-01,URBANA,045_ZW Parque Santa Anita,17,MR76,False,Laboral,Jueves,3.408.384,-76.537.887,48.0,4160,0.62
2024-08-02,URBANA,045_ZW Parque Santa Anita,17,MR76,False,Laboral,Viernes,3.408.384,-76.537.887,35.0,236019,39.26
2024-08-03,URBANA,045_ZW Parque Santa Anita,17,MR76,False,Fin de Semana,Sábado,3.408.384,-76.537.887,29.0,1526569,311.03
2024-08-04,URBANA,045_ZW Parque Santa Anita,17,MR76,False,Fin de Semana,Domingo,3.408.384,-76.537.887,19.0,142580,22.73
2024-08-05,URBANA,045_ZW Parque Santa Anita,17,MR76,False,Laboral,Lunes,3.408.384,-76.537.887,41.0,2783655,402.23
2024-08-06,URBANA,045_ZW Parque Santa Anita,17,MR76,False,Laboral,Martes,3.408.384,-76.537.887,32.0,440523,42.41
2024-08-07,URBANA,045_ZW Parque Santa Anita,17,MR76,True,Festivo,Miércoles,3.408.384,-76.537.887,30.0,722356,85.93
2024-08-08,URBANA,045_ZW Parque Santa Anita,17,MR76,False,Laboral,Jueves,3.408.384,-76.537.887,54.0,2301184,288.71
