fechaconexion,area,nombrezona,comuna,model,es_festivo,tipo_dia,dia_semana,latitud,longitud,numeroconexiones,usagekb,porcentajeuso
2025-02-21,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Viernes,342.517,-7.654.449,61.0,12169049,417.0
2025-02-22,URBANA,037_ZW Parque Tequendama,19,MR76,False,Fin de Semana,Sábado,342.517,-7.654.449,44.0,4517744,159.0
2025-02-23,URBANA,037_ZW Parque Tequendama,19,MR76,False,Fin de Semana,Domingo,342.517,-7.654.449,26.0,2494974,73.0
2025-02-24,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Lunes,342.517,-7.654.449,70.0,6296677,259.0
2025-02-25,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Martes,342.517,-7.654.449,55.0,23882021,767.0
2025-02-26,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Miércoles,342.517,-7.654.449,85.0,4754325,172.0
2025-02-27,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Jueves,342.517,-7.654.449,80.0,5604402,196.0
2025-02-28,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Viernes,342.517,-7.654.449,86.0,9016819,320.0
2025-03-01,URBANA,037_ZW Parque Tequendama,19,MR76,False,Fin de Semana,Sábado,342.517,-7.654.449,42.0,7869878,296.0
2025-03-02,URBANA,037_ZW Parque Tequendama,19,MR76,False,Fin de Semana,Domingo,342.517,-7.654.449,23.0,17304248,510.0
2025-03-03,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Lunes,342.517,-7.654.449,70.0,6520099,244.0
2025-03-04,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Martes,342.517,-7.654.449,69.0,3719007,168.0
2025-03-05,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Miércoles,342.517,-7.654.449,78.0,16779105,593.0
2025-03-06,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Jueves,342.517,-7.654.449,60.0,4605891,148.0
2025-03-07,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Viernes,342.517,-7.654.449,72.0,9925462,357.0
2025-03-08,URBANA,037_ZW Parque Tequendama,19,MR76,False,Fin de Semana,Sábado,342.517,-7.654.449,47.0,3083989,89.0
2025-03-09,URBANA,037_ZW Parque Tequendama,19,MR76,False,Fin de Semana,Domingo,342.517,-7.654.449,22.0,8968418,280.0
2025-03-10,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Lunes,342.517,-7.654.449,68.0,16693944,483.0
2025-03-11,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Martes,342.517,-7.654.449,74.0,4294082,193.0
2025-03-12,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Miércoles,342.517,-7.654.449,68.0,6904599,234.0
2025-03-13,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Jueves,342.517,-7.654.449,87.0,5546210,229.0
2025-03-14,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Viernes,342.517,-7.654.449,78.0,5661079,191.0
2025-03-15,URBANA,037_ZW Parque Tequendama,19,MR76,False,Fin de Semana,Sábado,342.517,-7.654.449,42.0,3882860,125.0
2025-03-16,URBANA,037_ZW Parque Tequendama,19,MR76,False,Fin de Semana,Domingo,342.517,-7.654.449,24.0,5314044,172.0
2025-03-17,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Lunes,342.517,-7.654.449,49.0,1048829,36.0
2025-03-18,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Martes,342.517,-7.654.449,71.0,22662262,686.0
2025-03-19,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Miércoles,342.517,-7.654.449,64.0,13432507,483.0
2025-03-20,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Jueves,342.517,-7.654.449,74.0,11206729,361.0
2025-03-21,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Viernes,342.517,-7.654.449,77.0,9932502,270.0
2025-03-22,URBANA,037_ZW Parque Tequendama,19,MR76,False,Fin de Semana,Sábado,342.517,-7.654.449,47.0,8221699,270.0
2025-03-23,URBANA,037_ZW Parque Tequendama,19,MR76,False,Fin de Semana,Domingo,342.517,-7.654.449,23.0,648560,20.0
2025-03-24,URBANA,037_ZW Parque Tequendama,19,MR76,True,Festivo,Lunes,342.517,-7.654.449,20.0,595504,15.0
2025-03-25,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Martes,342.517,-7.654.449,78.0,6710997,195.0
2025-03-26,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Miércoles,342.517,-7.654.449,95.0,7368284,238.0
2025-03-27,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Jueves,342.517,-7.654.449,74.0,3693588,102.0
2025-03-28,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Viernes,342.517,-7.654.449,80.0,2711597,112.0
2025-03-29,URBANA,037_ZW Parque Tequendama,19,MR76,False,Fin de Semana,Sábado,342.517,-7.654.449,47.0,2828970,88.0
2025-03-30,URBANA,037_ZW Parque Tequendama,19,MR76,False,Fin de Semana,Domingo,342.517,-7.654.449,26.0,14840468,425.0
2025-03-31,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Lunes,342.517,-7.654.449,80.0,5572796,185.0
