fechaconexion,area,nombrezona,comuna,model,es_festivo,tipo_dia,dia_semana,latitud,longitud,numeroconexiones,usagekb,porcentajeuso
2024-12-23,URBANA,064_ZW Centro Tecnología YAWA,19,MR76,False,Laboral,Lunes,3.429.448,-76.543.826,2.0,675953,26.96
2025-01-25,URBANA,064_ZW Centro Tecnología YAWA,99,MR76,False,Fin de Semana,Sábado,3.429.448,-76.543.826,1.0,10430,0.0
