fechaconexion,area,nombrezona,comuna,model,es_festivo,tipo_dia,dia_semana,latitud,longitud,numeroconexiones,usagekb,porcentajeuso
2024-07-29,URBANA,013_ZW Parque Llano Verde,15,MR76,False,Laboral,Lunes,339.598,-7.650.628,54.0,5259,0.84
2024-07-30,URBANA,013_ZW Parque Llano Verde,15,MR76,False,Laboral,Martes,339.598,-7.650.628,56.0,44177,6.46
2024-07-31,URBANA,013_ZW Parque Llano Verde,15,MR76,False,Laboral,Miércoles,339.598,-7.650.628,44.0,2619,0.44
2024-08-01,URBANA,013_ZW Parque Llano Verde,15,MR76,False,Laboral,Jueves,339.598,-7.650.628,25.0,1466,0.22
2024-11-08,URBANA,013_ZW Parque Llano Verde,15,MR76,False,Laboral,Viernes,339.598,-7.650.628,27.0,507293,41.02
2024-11-09,URBANA,013_ZW Parque Llano Verde,15,MR76,False,Fin de Semana,Sábado,339.598,-7.650.628,36.0,91906,5.52
2024-11-10,URBANA,013_ZW Parque Llano Verde,15,MR76,False,Fin de Semana,Domingo,339.598,-7.650.628,30.0,391400,20.2
2024-11-11,URBANA,013_ZW Parque Llano Verde,15,MR76,True,Festivo,Lunes,339.598,-7.650.628,35.0,222373,12.66
2024-11-12,URBANA,013_ZW Parque Llano Verde,15,MR76,False,Laboral,Martes,339.598,-7.650.628,44.0,1441795,75.43
2024-11-13,URBANA,013_ZW Parque Llano Verde,15,MR76,False,Laboral,Miércoles,339.598,-7.650.628,43.0,632502,39.04
2024-11-14,URBANA,013_ZW Parque Llano Verde,15,MR76,False,Laboral,Jueves,339.598,-7.650.628,39.0,1792274,93.36
2024-11-15,URBANA,013_ZW Parque Llano Verde,15,MR76,False,Laboral,Viernes,339.598,-7.650.628,39.0,3299506,181.13
2024-11-16,URBANA,013_ZW Parque Llano Verde,15,MR76,False,Fin de Semana,Sábado,339.598,-7.650.628,47.0,2086035,113.29
2024-11-17,URBANA,013_ZW Parque Llano Verde,15,MR76,False,Fin de Semana,Domingo,339.598,-7.650.628,34.0,372591,21.69
2024-11-18,URBANA,013_ZW Parque Llano Verde,15,MR76,False,Laboral,Lunes,339.598,-7.650.628,32.0,1015786,63.19
2024-11-19,URBANA,013_ZW Parque Llano Verde,15,MR76,False,Laboral,Martes,339.598,-7.650.628,39.0,1389002,86.94
2024-11-20,URBANA,013_ZW Parque Llano Verde,15,MR76,False,Laboral,Miércoles,339.598,-7.650.628,31.0,291315,15.27
2024-11-21,URBANA,013_ZW Parque Llano Verde,15,MR76,False,Laboral,Jueves,339.598,-7.650.628,38.0,2530707,140.16
2024-11-22,URBANA,013_ZW Parque Llano Verde,15,MR76,False,Laboral,Viernes,339.598,-7.650.628,32.0,1307059,64.75
2024-11-23,URBANA,013_ZW Parque Llano Verde,15,MR76,False,Fin de Semana,Sábado,339.598,-7.650.628,27.0,838052,43.73
2024-11-24,URBANA,013_ZW Parque Llano Verde,15,MR76,False,Fin de Semana,Domingo,339.598,-7.650.628,46.0,1356796,183.26
2024-11-25,URBANA,013_ZW Parque Llano Verde,15,MR76,False,Laboral,Lunes,339.598,-7.650.628,29.0,108249,26.32
2024-11-26,URBANA,013_ZW Parque Llano Verde,15,MR76,False,Laboral,Martes,339.598,-7.650.628,20.0,584819,74.26
2024-11-27,URBANA,013_ZW Parque Llano Verde,15,MR76,False,Laboral,Miércoles,339.598,-7.650.628,29.0,1262698,65.02
2024-11-28,URBANA,013_ZW Parque Llano Verde,15,MR76,False,Laboral,Jueves,339.598,-7.650.628,40.0,1003537,47.66
