Zona,MAPE,MAE,RMSE
001_ZW Parque Ingenio.csv,54.20593666760452,1095186.3493867198,1675649.628381452
002_ZW Canchas Panamericanas.csv,69.49161705334667,1483500.5782212946,1886482.4302599884
003_ZW Parque del Perro.csv,58.20408866133357,1550641.9962342354,2232128.0395633127
004_ZW Parque San Nicolas.csv,40.511576451572694,3850293.207628109,5251718.456833079
005_ZW Parque Barrio Obrero.csv,320.17261356910865,8669340.967544101,10014756.826107299
006_ZW Parque Vallado.csv,6957.581592781533,1446489.8053541859,2508599.118720216
007_ZW Parque Pizamos.csv,13.032853462085567,559459.7152870848,728381.4335459536
008_ZW Parque Alfonso Lopez.csv,59.55362169860607,3671964.1463482487,4970887.9067704
009_ZW Polideportivo Los Almendros.csv,46.39292676678339,295685.8575827038,382739.47775571
010_ZW Parque Antonio Nariño.csv,35.31080458657729,1410748.0054832604,1884784.615017945
011_ZW Parque Santa Rosa Poblado.csv,391.6385183494617,3038509.4392761155,4025547.994928562
012_ZW Polideportivo Los Naranjos.csv,298.67494204133413,2092644.6179947518,3347438.62563469
013_ZW Parque Llano Verde.csv,44.16523062333704,1427720.7754688172,1812532.534376067
014_ZW Centro Cultural Alto Jordan.csv,58.43872122725683,4976577.7490708,7181653.071802528
015_ZW Centro Cultural Comuna 13.csv,155.15901056281868,2370535.4266708833,3051634.4075712482
016_ZW Conjunto Habitacional Ramali.csv,95.60381085750623,5325250.802560739,7692770.351305937
017_ZW Conjunto Habitacional Rio Cauca.csv,27.212412723205677,5730394.584264766,7896512.01068367
018_ZW Parque Las Banderas.csv,8595.270944877733,1290289.54677864,2089935.4930421459
019_ZW Parque Skate Board.csv,33.727699317523616,3065805.0304141454,4401165.652013727
020_ZW Parque Petecuy1.csv,13617.540194331114,2539742.2898125406,3788493.0670516505
021_ZW Parque Alfonso Barberena.csv,87.73919487664647,3732333.726267881,4317663.07352467
022_ZW Polideportivo Los Farallones.csv,329.74812290235457,1505108.4032040734,2103828.905684498
023_ZW Parque Los Guerreros.csv,87.42560491458721,1649649.12729676,2163725.6286643147
024_ZW Museo La Tertulia.csv,228.46885310837231,676684.9763791136,939751.4101265116
025_ZW Parque San Marino.csv,85.3283746263304,3639705.5071372516,6981137.910638286
026_ZW Parque La Flora.csv,42.81263071494185,2112925.5048100716,3000028.116607539
