DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE_USO,NUMERO_CONEXIONES,USAGE_KB,DIA_SEMANA_lag_1,DIA_SEMANA_lag_2,DIA_SEMANA_lag_3,DIA_SEMANA_lag_4,DIA_SEMANA_lag_5,DIA_SEMANA_lag_6,DIA_SEMANA_lag_7,DIA_SEMANA_lag_8,DIA_SEMANA_lag_9,DIA_SEMANA_lag_10,LABORAL_lag_1,LABORAL_lag_2,LABORAL_lag_3,LABORAL_lag_4,LABORAL_lag_5,LABORAL_lag_6,LABORAL_lag_7,LABORAL_lag_8,LABORAL_lag_9,LABORAL_lag_10,FIN_DE_SEMANA_lag_1,FIN_DE_SEMANA_lag_2,FIN_DE_SEMANA_lag_3,FIN_DE_SEMANA_lag_4,FIN_DE_SEMANA_lag_5,FIN_DE_SEMANA_lag_6,FIN_DE_SEMANA_lag_7,FIN_DE_SEMANA_lag_8,FIN_DE_SEMANA_lag_9,FIN_DE_SEMANA_lag_10,FESTIVO_lag_1,FESTIVO_lag_2,FESTIVO_lag_3,FESTIVO_lag_4,FESTIVO_lag_5,FESTIVO_lag_6,FESTIVO_lag_7,FESTIVO_lag_8,FESTIVO_lag_9,FESTIVO_lag_10,PORCENTAJE_USO_lag_1,PORCENTAJE_USO_lag_2,PORCENTAJE_USO_lag_3,PORCENTAJE_USO_lag_4,PORCENTAJE_USO_lag_5,PORCENTAJE_USO_lag_6,PORCENTAJE_USO_lag_7,PORCENTAJE_USO_lag_8,PORCENTAJE_USO_lag_9,PORCENTAJE_USO_lag_10,NUMERO_CONEXIONES_lag_1,NUMERO_CONEXIONES_lag_2,NUMERO_CONEXIONES_lag_3,NUMERO_CONEXIONES_lag_4,NUMERO_CONEXIONES_lag_5,NUMERO_CONEXIONES_lag_6,NUMERO_CONEXIONES_lag_7,NUMERO_CONEXIONES_lag_8,NUMERO_CONEXIONES_lag_9,NUMERO_CONEXIONES_lag_10
3,1,0,0,31.75,63.0,584528.0,2,1,0,6,5,4,3,2,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.11,21.07,80.2,40.17,4.96,2.61,41.02,142.36,53.75,1.37,50.0,51.0,57.0,54.0,21.0,30.0,56.0,57.0,34.0,27.0
4,1,0,0,104.68,51.0,1798350.0,3,2,1,0,6,5,4,3,2,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.75,180.11,21.07,80.2,40.17,4.96,2.61,41.02,142.36,53.75,63.0,50.0,51.0,57.0,54.0,21.0,30.0,56.0,57.0,34.0
5,0,1,0,438.6,55.0,7050069.0,4,3,2,1,0,6,5,4,3,2,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,104.68,31.75,180.11,21.07,80.2,40.17,4.96,2.61,41.02,142.36,51.0,63.0,50.0,51.0,57.0,54.0,21.0,30.0,56.0,57.0
6,0,1,0,152.09,50.0,2429861.0,5,4,3,2,1,0,6,5,4,3,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,438.6,104.68,31.75,180.11,21.07,80.2,40.17,4.96,2.61,41.02,55.0,51.0,63.0,50.0,51.0,57.0,54.0,21.0,30.0,56.0
0,1,0,0,118.62,71.0,2263622.0,6,5,4,3,2,1,0,6,5,4,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,152.09,438.6,104.68,31.75,180.11,21.07,80.2,40.17,4.96,2.61,50.0,55.0,51.0,63.0,50.0,51.0,57.0,54.0,21.0,30.0
1,1,0,0,123.85,65.0,2236307.0,0,6,5,4,3,2,1,0,6,5,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,118.62,152.09,438.6,104.68,31.75,180.11,21.07,80.2,40.17,4.96,71.0,50.0,55.0,51.0,63.0,50.0,51.0,57.0,54.0,21.0
2,1,0,0,357.62,83.0,7219505.0,1,0,6,5,4,3,2,1,0,6,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,123.85,118.62,152.09,438.6,104.68,31.75,180.11,21.07,80.2,40.17,65.0,71.0,50.0,55.0,51.0,63.0,50.0,51.0,57.0,54.0
3,1,0,0,381.15,52.0,7304424.0,2,1,0,6,5,4,3,2,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357.62,123.85,118.62,152.09,438.6,104.68,31.75,180.11,21.07,80.2,83.0,65.0,71.0,50.0,55.0,51.0,63.0,50.0,51.0,57.0
4,1,0,0,126.94,38.0,939846.0,3,2,1,0,6,5,4,3,2,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381.15,357.62,123.85,118.62,152.09,438.6,104.68,31.75,180.11,21.07,52.0,83.0,65.0,71.0,50.0,55.0,51.0,63.0,50.0,51.0
5,0,1,0,674.19,75.0,2772734.0,4,3,2,1,0,6,5,4,3,2,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,126.94,381.15,357.62,123.85,118.62,152.09,438.6,104.68,31.75,180.11,38.0,52.0,83.0,65.0,71.0,50.0,55.0,51.0,63.0,50.0
