DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE_USO,NUMERO_CONEXIONES
5,0,1,0,860.0,281.0
6,0,1,0,769.0,225.0
0,0,0,1,736.0,208.0
1,1,0,0,753.52,239.0
2,1,0,0,559.56,259.0
3,1,0,0,613.99,232.0
4,1,0,0,384.54,213.0
5,0,1,0,809.34,309.0
6,0,1,0,643.41,253.0
0,1,0,0,571.24,235.0
1,1,0,0,55.36,59.0
2,1,0,0,348.4,157.0
3,1,0,0,287.0,132.0
4,1,0,0,534.7,140.0
5,0,1,0,684.4,123.0
6,0,1,0,280.9,166.0
0,1,0,0,292.2,129.0
1,1,0,0,548.3,133.0
