DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE_USO,NUMERO_CONEXIONES
3,1,0,0,179.69,52.0
4,1,0,0,160.47,57.0
5,0,1,0,111.5,46.0
6,0,0,1,97.4,52.0
0,1,0,0,183.84,49.0
1,1,0,0,189.86,43.0
2,1,0,0,104.85,51.0
3,1,0,0,68.13,47.0
4,1,0,0,174.94,53.0
5,0,1,0,216.83,58.0
6,0,1,0,51.69,33.0
0,1,0,0,15.7,23.0
1,1,0,0,86.0,22.0
2,1,0,0,67.0,26.0
3,1,0,0,212.6,25.0
4,1,0,0,174.6,30.0
5,0,1,0,68.4,19.0
6,0,1,0,43.2,26.0
