NOMBRE_ZONA,DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE_USO,NUMERO_CONEXIONES,USAGE_KB,DIA_SEMANA_lag_1,DIA_SEMANA_lag_2,DIA_SEMANA_lag_3,DIA_SEMANA_lag_4,DIA_SEMANA_lag_5,DIA_SEMANA_lag_6,DIA_SEMANA_lag_7,DIA_SEMANA_lag_8,DIA_SEMANA_lag_9,DIA_SEMANA_lag_10,LABORAL_lag_1,LABORAL_lag_2,LABORAL_lag_3,LABORAL_lag_4,LABORAL_lag_5,LABORAL_lag_6,LABORAL_lag_7,LABORAL_lag_8,LABORAL_lag_9,LABORAL_lag_10,FIN_DE_SEMANA_lag_1,FIN_DE_SEMANA_lag_2,FIN_DE_SEMANA_lag_3,FIN_DE_SEMANA_lag_4,FIN_DE_SEMANA_lag_5,FIN_DE_SEMANA_lag_6,FIN_DE_SEMANA_lag_7,FIN_DE_SEMANA_lag_8,FIN_DE_SEMANA_lag_9,FIN_DE_SEMANA_lag_10,FESTIVO_lag_1,FESTIVO_lag_2,FESTIVO_lag_3,FESTIVO_lag_4,FESTIVO_lag_5,FESTIVO_lag_6,FESTIVO_lag_7,FESTIVO_lag_8,FESTIVO_lag_9,FESTIVO_lag_10,PORCENTAJE_USO_lag_1,PORCENTAJE_USO_lag_2,PORCENTAJE_USO_lag_3,PORCENTAJE_USO_lag_4,PORCENTAJE_USO_lag_5,PORCENTAJE_USO_lag_6,PORCENTAJE_USO_lag_7,PORCENTAJE_USO_lag_8,PORCENTAJE_USO_lag_9,PORCENTAJE_USO_lag_10,NUMERO_CONEXIONES_lag_1,NUMERO_CONEXIONES_lag_2,NUMERO_CONEXIONES_lag_3,NUMERO_CONEXIONES_lag_4,NUMERO_CONEXIONES_lag_5,NUMERO_CONEXIONES_lag_6,NUMERO_CONEXIONES_lag_7,NUMERO_CONEXIONES_lag_8,NUMERO_CONEXIONES_lag_9,NUMERO_CONEXIONES_lag_10
003_ZW Parque del Perro,3,1,0,0,38.79,75.0,744725.0,2,1,0,6,5,4,3,2,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,44.86,66.43,221.97,36.98,144.75,17.57,45.36,17.15,90.68,55.43,64.0,64.0,77.0,54.0,98.0,53.0,65.0,20.0,56.0,55.0
003_ZW Parque del Perro,4,1,0,0,185.43,68.0,3377886.0,3,2,1,0,6,5,4,3,2,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,38.79,44.86,66.43,221.97,36.98,144.75,17.57,45.36,17.15,90.68,75.0,64.0,64.0,77.0,54.0,98.0,53.0,65.0,20.0,56.0
003_ZW Parque del Perro,5,0,1,0,23.57,97.0,433966.0,4,3,2,1,0,6,5,4,3,2,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,185.43,38.79,44.86,66.43,221.97,36.98,144.75,17.57,45.36,17.15,68.0,75.0,64.0,64.0,77.0,54.0,98.0,53.0,65.0,20.0
003_ZW Parque del Perro,6,0,1,0,35.25,76.0,605548.0,5,4,3,2,1,0,6,5,4,3,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,23.57,185.43,38.79,44.86,66.43,221.97,36.98,144.75,17.57,45.36,97.0,68.0,75.0,64.0,64.0,77.0,54.0,98.0,53.0,65.0
003_ZW Parque del Perro,0,1,0,0,207.44,62.0,3334369.0,6,5,4,3,2,1,0,6,5,4,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,35.25,23.57,185.43,38.79,44.86,66.43,221.97,36.98,144.75,17.57,76.0,97.0,68.0,75.0,64.0,64.0,77.0,54.0,98.0,53.0
003_ZW Parque del Perro,1,1,0,0,53.48,57.0,854449.0,0,6,5,4,3,2,1,0,6,5,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,207.44,35.25,23.57,185.43,38.79,44.86,66.43,221.97,36.98,144.75,62.0,76.0,97.0,68.0,75.0,64.0,64.0,77.0,54.0,98.0
003_ZW Parque del Perro,2,1,0,0,95.79,51.0,1827981.0,1,0,6,5,4,3,2,1,0,6,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,53.48,207.44,35.25,23.57,185.43,38.79,44.86,66.43,221.97,36.98,57.0,62.0,76.0,97.0,68.0,75.0,64.0,64.0,77.0,54.0
003_ZW Parque del Perro,3,1,0,0,70.22,74.0,1267892.0,2,1,0,6,5,4,3,2,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95.79,53.48,207.44,35.25,23.57,185.43,38.79,44.86,66.43,221.97,51.0,57.0,62.0,76.0,97.0,68.0,75.0,64.0,64.0,77.0
003_ZW Parque del Perro,4,1,0,0,81.41,82.0,1643503.0,3,2,1,0,6,5,4,3,2,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.22,95.79,53.48,207.44,35.25,23.57,185.43,38.79,44.86,66.43,74.0,51.0,57.0,62.0,76.0,97.0,68.0,75.0,64.0,64.0
003_ZW Parque del Perro,5,0,1,0,90.16,98.0,1727879.0,4,3,2,1,0,6,5,4,3,2,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,81.41,70.22,95.79,53.48,207.44,35.25,23.57,185.43,38.79,44.86,82.0,74.0,51.0,57.0,62.0,76.0,97.0,68.0,75.0,64.0
003_ZW Parque del Perro,6,0,1,0,16.64,52.0,123167.0,5,4,3,2,1,0,6,5,4,3,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,90.16,81.41,70.22,95.79,53.48,207.44,35.25,23.57,185.43,38.79,98.0,82.0,74.0,51.0,57.0,62.0,76.0,97.0,68.0,75.0
003_ZW Parque del Perro,0,1,0,0,85.44,21.0,351386.0,6,5,4,3,2,1,0,6,5,4,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,16.64,90.16,81.41,70.22,95.79,53.48,207.44,35.25,23.57,185.43,52.0,98.0,82.0,74.0,51.0,57.0,62.0,76.0,97.0,68.0
