DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,NUMERO_CONEXIONES,PORCENTAJE_USO
2,1,0,0,36.0,340.0
3,1,0,0,41.0,123.55
4,1,0,0,40.0,145.66
5,0,1,0,58.0,538.11
6,0,1,0,33.0,1.06
0,1,0,0,42.0,44.17
1,1,0,0,48.0,423.58
