DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,NUMERO_CONEXIONES,PORCENTAJE_USO
1,1,0,0,10.0,3.46
2,1,0,0,26.0,33.2
3,1,0,0,16.0,0.8
4,1,0,0,21.0,4.49
5,0,1,0,23.0,84.2
6,0,1,0,15.0,45.9
0,1,0,0,17.0,24.1
