DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE_USO,NUMERO_CONEXIONES
4,1,0,0,293.0,38.0
5,0,1,0,147.0,60.0
6,0,1,0,190.0,65.0
0,1,0,0,155.0,42.0
1,1,0,0,80.0,36.0
2,1,0,0,88.0,35.0
3,0,0,1,128.0,42.0
4,0,0,1,137.0,43.0
5,0,1,0,149.0,28.0
6,0,1,0,120.0,44.0
0,1,0,0,116.0,47.0
1,1,0,0,3.46,10.0
2,1,0,0,33.2,26.0
3,1,0,0,0.8,16.0
4,1,0,0,4.49,21.0
5,0,1,0,84.2,23.0
6,0,1,0,45.9,15.0
0,1,0,0,24.1,17.0
