DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE_USO,NUMERO_CONEXIONES
5,0,1,0,543.51,74.0
6,0,1,0,306.98,67.0
0,1,0,0,34.63,7.0
1,1,0,0,221.02,25.0
2,1,0,0,121.53,60.0
3,1,0,0,123.27,78.0
4,1,0,0,84.18,47.0
5,0,1,0,84.18,47.0
6,0,1,0,245.61,51.0
0,1,0,0,240.33,68.0
1,1,0,0,118.29,72.0
2,1,0,0,340.0,36.0
3,1,0,0,123.55,41.0
4,1,0,0,145.66,40.0
5,0,1,0,538.11,58.0
6,0,1,0,1.06,33.0
0,1,0,0,44.17,42.0
1,1,0,0,423.58,48.0
