DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,NUMERO_CONEXIONES,PORCENTAJE_USO
2,1,0,0,157.0,348.4
3,1,0,0,132.0,287.0
4,1,0,0,140.0,534.7
5,0,1,0,123.0,684.4
6,0,1,0,166.0,280.9
0,1,0,0,129.0,292.2
1,1,0,0,133.0,548.3
