DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,NUMERO_CONEXIONES,PORCENTAJE_USO
2,1,0,0,48.0,9.41
3,1,0,0,69.0,77.4
4,1,0,0,60.0,54.19
5,0,1,0,48.0,16.3
6,0,1,0,88.0,84.91
0,1,0,0,117.0,404.94
1,1,0,0,107.0,205.23
