DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,NUMERO_CONEXIONES,PORCENTAJE_USO
2,1,0,0,84.0,438.22
3,1,0,0,108.0,270.28
4,1,0,0,87.0,341.04
5,0,1,0,33.0,141.3
6,0,1,0,47.0,418.99
0,1,0,0,14.0,19.8
1,1,0,0,36.0,44.67
