FECHA.CONEXION,AREA,NOMBRE.ZONA,COMUNA,MODEL,NUMERO.CONEXIONES,USAGE.KB,PORCENTAJE.USO,es_festivo,tipo_dia,dia_semana,LATITUD,LONGITUD
2024-01-01,URBANA,008_ZW Parque Alfonso Lopez,7,MR76,37,4416112,"505,2",True,Festivo,Lunes,346.258,-7.648.133
2024-01-02,URBANA,008_ZW Parque Alfonso Lopez,7,MR76,29,3511948,"417,2",False,Laboral,Martes,346.258,-7.648.133
2024-01-03,URBANA,008_ZW Parque Alfonso Lopez,7,MR76,49,8075677,"666,4",False,Laboral,Miércoles,346.258,-7.648.133
2024-01-04,URBANA,008_ZW Parque Alfonso Lopez,7,MR76,40,5532499,"523,7",False,Laboral,Jueves,346.258,-7.648.133
2024-01-05,URBANA,008_ZW Parque Alfonso Lopez,7,MR76,44,7647912,"705,5",False,Laboral,Viernes,346.258,-7.648.133
2024-01-06,URBANA,008_ZW Parque Alfonso Lopez,7,MR76,62,1397921,"182,3",False,Fin de Semana,Sábado,346.258,-7.648.133
2024-01-07,URBANA,008_ZW Parque Alfonso Lopez,7,MR76,50,11256,"1,1",False,Fin de Semana,Domingo,346.258,-7.648.133
2024-01-08,URBANA,008_ZW Parque Alfonso Lopez,7,MR76,37,13690,"0,9",True,Festivo,Lunes,346.258,-7.648.133
2024-01-09,URBANA,008_ZW Parque Alfonso Lopez,7,MR76,35,8384342,647,False,Laboral,Martes,346.258,-7.648.133
2024-01-10,URBANA,008_ZW Parque Alfonso Lopez,7,MR76,54,7802788,"646,8",False,Laboral,Miércoles,346.258,-7.648.133
2024-01-11,URBANA,008_ZW Parque Alfonso Lopez,7,MR76,52,4041977,"375,7",False,Laboral,Jueves,346.258,-7.648.133
2024-01-12,URBANA,008_ZW Parque Alfonso Lopez,7,MR76,49,193556,"16,7",False,Laboral,Viernes,346.258,-7.648.133
2024-01-13,URBANA,008_ZW Parque Alfonso Lopez,7,MR76,52,21537,"2,4",False,Fin de Semana,Sábado,346.258,-7.648.133
2024-01-14,URBANA,008_ZW Parque Alfonso Lopez,7,MR76,51,18620,"2,4",False,Fin de Semana,Domingo,346.258,-7.648.133
2024-01-15,URBANA,008_ZW Parque Alfonso Lopez,7,MR76,55,39111,"5,7",False,Laboral,Lunes,346.258,-7.648.133
2024-01-16,URBANA,008_ZW Parque Alfonso Lopez,7,MR76,40,16774,2,False,Laboral,Martes,346.258,-7.648.133
2024-01-17,URBANA,008_ZW Parque Alfonso Lopez,7,MR76,56,25772,"2,6",False,Laboral,Miércoles,346.258,-7.648.133
2024-01-18,URBANA,008_ZW Parque Alfonso Lopez,7,MR76,42,6795,"0,6",False,Laboral,Jueves,346.258,-7.648.133
2024-01-19,URBANA,008_ZW Parque Alfonso Lopez,7,MR76,43,9761,"0,6",False,Laboral,Viernes,346.258,-7.648.133
2024-01-20,URBANA,008_ZW Parque Alfonso Lopez,7,MR76,58,17799,"1,4",False,Fin de Semana,Sábado,346.258,-7.648.133
2024-01-21,URBANA,008_ZW Parque Alfonso Lopez,7,MR76,49,21492,"1,7",False,Fin de Semana,Domingo,346.258,-7.648.133
2024-01-22,URBANA,008_ZW Parque Alfonso Lopez,7,MR76,60,24093,"2,3",False,Laboral,Lunes,346.258,-7.648.133
2024-01-23,URBANA,008_ZW Parque Alfonso Lopez,7,MR76,48,6118,"0,6",False,Laboral,Martes,346.258,-7.648.133
2024-01-24,URBANA,008_ZW Parque Alfonso Lopez,7,MR76,48,4154,"0,3",False,Laboral,Miércoles,346.258,-7.648.133
2024-01-25,URBANA,008_ZW Parque Alfonso Lopez,7,MR76,42,5246,"0,4",False,Laboral,Jueves,346.258,-7.648.133
