FECHA.CONEXION,AREA,NOMBRE.ZONA,COMUNA,MODEL,NUMERO.CONEXIONES,USAGE.KB,PORCENTAJE.USO,es_festivo,tipo_dia,dia_semana,LATITUD,LONGITUD
2024-01-01,URBANA,024_ZW Museo La Tertualia,2,MR76,17,5642341,"645,5",True,Festivo,Lunes,345.044,-7.654.515
2024-01-02,URBANA,024_ZW Museo La Tertualia,2,MR76,24,922926,"109,6",False,Laboral,Martes,345.044,-7.654.515
2024-01-03,URBANA,024_ZW Museo La Tertualia,2,MR76,27,519882,"42,9",False,Laboral,Miércoles,345.044,-7.654.515
2024-01-04,URBANA,024_ZW Museo La Tertualia,2,MR76,25,702790,"66,5",False,Laboral,Jueves,345.044,-7.654.515
2024-01-05,URBANA,024_ZW Museo La Tertualia,2,MR76,32,752182,"69,4",False,Laboral,Viernes,345.044,-7.654.515
2024-01-06,URBANA,024_ZW Museo La Tertualia,2,MR76,36,745096,"97,2",False,Fin de Semana,Sábado,345.044,-7.654.515
2024-01-07,URBANA,024_ZW Museo La Tertualia,2,MR76,67,1074891,"107,1",False,Fin de Semana,Domingo,345.044,-7.654.515
2024-01-08,URBANA,024_ZW Museo La Tertualia,2,MR76,34,1075361,"68,2",True,Festivo,Lunes,345.044,-7.654.515
2024-01-09,URBANA,024_ZW Museo La Tertualia,2,MR76,26,881802,68,False,Laboral,Martes,345.044,-7.654.515
2024-01-10,URBANA,024_ZW Museo La Tertualia,2,MR76,28,431266,"35,7",False,Laboral,Miércoles,345.044,-7.654.515
2024-01-11,URBANA,024_ZW Museo La Tertualia,2,MR76,27,315706,"29,3",False,Laboral,Jueves,345.044,-7.654.515
2024-01-12,URBANA,024_ZW Museo La Tertualia,2,MR76,42,5731,"0,5",False,Laboral,Viernes,345.044,-7.654.515
2024-01-13,URBANA,024_ZW Museo La Tertualia,2,MR76,75,9978,"1,1",False,Fin de Semana,Sábado,345.044,-7.654.515
2024-01-14,URBANA,024_ZW Museo La Tertualia,2,MR76,41,214419,"27,1",False,Fin de Semana,Domingo,345.044,-7.654.515
2024-01-15,URBANA,024_ZW Museo La Tertualia,2,MR76,24,7026,1,False,Laboral,Lunes,345.044,-7.654.515
2024-01-16,URBANA,024_ZW Museo La Tertualia,2,MR76,26,287397,"33,6",False,Laboral,Martes,345.044,-7.654.515
2024-01-17,URBANA,024_ZW Museo La Tertualia,2,MR76,25,666751,"66,7",False,Laboral,Miércoles,345.044,-7.654.515
2024-01-18,URBANA,024_ZW Museo La Tertualia,2,MR76,26,569975,"47,5",False,Laboral,Jueves,345.044,-7.654.515
2024-01-19,URBANA,024_ZW Museo La Tertualia,2,MR76,49,1574273,"102,6",False,Laboral,Viernes,345.044,-7.654.515
2024-01-20,URBANA,024_ZW Museo La Tertualia,2,MR76,40,620567,"47,9",False,Fin de Semana,Sábado,345.044,-7.654.515
2024-01-21,URBANA,024_ZW Museo La Tertualia,2,MR76,38,1238830,"95,7",False,Fin de Semana,Domingo,345.044,-7.654.515
2024-01-22,URBANA,024_ZW Museo La Tertualia,2,MR76,30,1221324,"116,5",False,Laboral,Lunes,345.044,-7.654.515
2024-01-23,URBANA,024_ZW Museo La Tertualia,2,MR76,33,2418521,"223,9",False,Laboral,Martes,345.044,-7.654.515
2024-01-24,URBANA,024_ZW Museo La Tertualia,2,MR76,44,548938,"43,9",False,Laboral,Miércoles,345.044,-7.654.515
2024-01-25,URBANA,024_ZW Museo La Tertualia,2,MR76,48,616818,"41,3",False,Laboral,Jueves,345.044,-7.654.515
2024-01-26,URBANA,024_ZW Museo La Tertualia,2,MR76,19,178706,13,False,Laboral,Viernes,345.044,-7.654.515
2024-01-27,URBANA,024_ZW Museo La Tertualia,2,MR76,53,3978068,"320,5",False,Fin de Semana,Sábado,345.044,-7.654.515
2024-01-28,URBANA,024_ZW Museo La Tertualia,2,MR76,37,1302436,"126,7",False,Fin de Semana,Domingo,345.044,-7.654.515
2024-01-29,URBANA,024_ZW Museo La Tertualia,2,MR76,29,2769419,"237,9",False,Laboral,Lunes,345.044,-7.654.515
2024-01-30,URBANA,024_ZW Museo La Tertualia,2,MR76,30,317553,"35,1",False,Laboral,Martes,345.044,-7.654.515
2024-01-31,URBANA,024_ZW Museo La Tertualia,2,MR76,56,1464733,"140,2",False,Laboral,Miércoles,345.044,-7.654.515
2024-02-01,URBANA,024_ZW Museo La Tertualia,2,MR76,39,257509,"18,5",False,Laboral,Jueves,345.044,-7.654.515
2024-02-02,URBANA,024_ZW Museo La Tertualia,2,MR76,23,612896,"64,2",False,Laboral,Viernes,345.044,-7.654.515
2024-02-03,URBANA,024_ZW Museo La Tertualia,2,MR76,60,2228092,"125,6",False,Fin de Semana,Sábado,345.044,-7.654.515
2024-02-04,URBANA,024_ZW Museo La Tertualia,2,MR76,39,576227,36,False,Fin de Semana,Domingo,345.044,-7.654.515
2024-02-05,URBANA,024_ZW Museo La Tertualia,2,MR76,16,89222,"5,9",False,Laboral,Lunes,345.044,-7.654.515
2024-02-06,URBANA,024_ZW Museo La Tertualia,2,MR76,46,2586433,"173,1",False,Laboral,Martes,345.044,-7.654.515
2024-02-07,URBANA,024_ZW Museo La Tertualia,2,MR76,42,2488809,"150,8",False,Laboral,Miércoles,345.044,-7.654.515
2024-02-08,URBANA,024_ZW Museo La Tertualia,2,MR76,42,4179,"0,3",False,Laboral,Jueves,345.044,-7.654.515
2024-02-09,URBANA,024_ZW Museo La Tertualia,2,MR76,48,469083,39,False,Laboral,Viernes,345.044,-7.654.515
2024-02-10,URBANA,024_ZW Museo La Tertualia,2,MR76,50,5723,"0,4",False,Fin de Semana,Sábado,345.044,-7.654.515
2024-02-11,URBANA,024_ZW Museo La Tertualia,2,MR76,37,6849,"0,5",False,Fin de Semana,Domingo,345.044,-7.654.515
2024-02-12,URBANA,024_ZW Museo La Tertualia,2,MR76,35,1897,"0,2",False,Laboral,Lunes,345.044,-7.654.515
2024-02-13,URBANA,024_ZW Museo La Tertualia,2,MR76,23,3017,"0,3",False,Laboral,Martes,345.044,-7.654.515
2024-02-14,URBANA,024_ZW Museo La Tertualia,2,MR76,37,2794465,370,False,Laboral,Miércoles,345.044,-7.654.515
2024-02-15,URBANA,024_ZW Museo La Tertualia,2,MR76,46,2239317,"191,8",False,Laboral,Jueves,345.044,-7.654.515
2024-02-16,URBANA,024_ZW Museo La Tertualia,2,MR76,41,3025129,"286,9",False,Laboral,Viernes,345.044,-7.654.515
2024-02-17,URBANA,024_ZW Museo La Tertualia,2,MR76,47,1808791,"171,1",False,Fin de Semana,Sábado,345.044,-7.654.515
2024-02-18,URBANA,024_ZW Museo La Tertualia,2,MR76,40,4880578,"377,1",False,Fin de Semana,Domingo,345.044,-7.654.515
2024-02-19,URBANA,024_ZW Museo La Tertualia,2,MR76,36,2026220,"138,3",False,Laboral,Lunes,345.044,-7.654.515
2024-02-20,URBANA,024_ZW Museo La Tertualia,2,MR76,32,976666,80,False,Laboral,Martes,345.044,-7.654.515
2024-02-21,URBANA,024_ZW Museo La Tertualia,2,MR76,25,147606,"12,8",False,Laboral,Miércoles,345.044,-7.654.515
2024-02-22,URBANA,024_ZW Museo La Tertualia,2,MR76,36,2278619,"148,9",False,Laboral,Jueves,345.044,-7.654.515
2024-02-23,URBANA,024_ZW Museo La Tertualia,2,MR76,40,681485,"47,9",False,Laboral,Viernes,345.044,-7.654.515
2024-02-24,URBANA,024_ZW Museo La Tertualia,2,MR76,56,4829,"0,4",False,Fin de Semana,Sábado,345.044,-7.654.515
2024-02-25,URBANA,024_ZW Museo La Tertualia,2,MR76,65,7457,"0,4",False,Fin de Semana,Domingo,345.044,-7.654.515
2024-02-26,URBANA,024_ZW Museo La Tertualia,2,MR76,25,3144,"0,3",False,Laboral,Lunes,345.044,-7.654.515
2024-02-27,URBANA,024_ZW Museo La Tertualia,2,MR76,39,5753,"0,5",False,Laboral,Martes,345.044,-7.654.515
2024-02-28,URBANA,024_ZW Museo La Tertualia,2,MR76,33,4458,"0,3",False,Laboral,Miércoles,345.044,-7.654.515
2024-02-29,URBANA,024_ZW Museo La Tertualia,2,MR76,35,5672,"0,7",False,Laboral,Jueves,345.044,-7.654.515
2024-03-01,URBANA,024_ZW Museo La Tertualia,2,MR76,52,30601,"2,6",False,Laboral,Viernes,345.044,-7.654.515
2024-03-02,URBANA,024_ZW Museo La Tertualia,2,MR76,80,6882,"0,7",False,Fin de Semana,Sábado,345.044,-7.654.515
2024-03-03,URBANA,024_ZW Museo La Tertualia,2,MR76,38,3801,"0,3",False,Fin de Semana,Domingo,345.044,-7.654.515
2024-03-04,URBANA,024_ZW Museo La Tertualia,2,MR76,34,48080,"3,4",False,Laboral,Lunes,345.044,-7.654.515
2024-03-05,URBANA,024_ZW Museo La Tertualia,2,MR76,34,7935,"0,6",False,Laboral,Martes,345.044,-7.654.515
2024-03-06,URBANA,024_ZW Museo La Tertualia,2,MR76,51,8407,"0,7",False,Laboral,Miércoles,345.044,-7.654.515
2024-03-07,URBANA,024_ZW Museo La Tertualia,2,MR76,39,765,"0,1",False,Laboral,Jueves,345.044,-7.654.515
