es_festivo,tipo_dia,dia_semana,NUMERO.CONEXIONES,USAGE.KB,PORCENTAJE.USO
False,Laboral,Viernes,105,14083,"5,74"
False,Fin de Semana,Sábado,118,22335,"15,14"
False,Fin de Semana,Domingo,191,22761,"21,78"
False,Laboral,Lunes,1,3,"0,0"
False,Laboral,Viernes,39,4433029,"990,27"
False,Fin de Semana,Sábado,51,2765579,"358,13"
False,Fin de Semana,Domingo,139,6078099,"610,5699999999999"
False,Laboral,Lunes,33,3375,"0,56"
False,Laboral,Martes,63,10677,"1,6800000000000002"
False,Laboral,Miércoles,22,8694,"1,78"
False,Laboral,Jueves,45,172530,"36,78"
False,Laboral,Viernes,34,2758282,"498,78999999999996"
False,Fin de Semana,Sábado,79,4218035,"678,8299999999999"
False,Fin de Semana,Domingo,112,8089887,"1375,23"
True,Festivo,Lunes,69,5657192,"852,78"
False,Laboral,Martes,49,897658,"122,93"
False,Laboral,Miércoles,44,47184,"7,54"
False,Laboral,Jueves,57,2544533,"286,12"
False,Laboral,Viernes,51,1695914,"137,14"
False,Fin de Semana,Sábado,72,4415034,"265,15"
False,Fin de Semana,Domingo,189,8589616,"443,41"
True,Festivo,Lunes,133,3494321,"198,97"
False,Laboral,Martes,74,3065896,"160,39000000000001"
False,Laboral,Miércoles,79,7714490,"476,16999999999996"
False,Laboral,Jueves,65,3774710,"196,63"
False,Laboral,Viernes,69,4446993,"244,12"
False,Fin de Semana,Sábado,91,2523876,"137,07"
False,Fin de Semana,Domingo,182,5051333,"294,03"
False,Laboral,Lunes,61,700147,"43,56"
False,Laboral,Martes,40,538608,"33,72"
False,Laboral,Miércoles,84,3672354,"192,44"
False,Laboral,Jueves,73,2371447,"131,34"
False,Laboral,Viernes,79,6964297,"344,98"
False,Fin de Semana,Sábado,86,5947005,"310,32"
False,Fin de Semana,Domingo,202,1326152,"179,12"
False,Laboral,Lunes,47,733185,"178,28"
False,Laboral,Martes,77,421786,"53,56"
False,Laboral,Miércoles,73,1622418,"83,53999999999999"
False,Laboral,Jueves,101,953349,"45,28"
False,Laboral,Viernes,78,2211205,"99,49000000000001"
False,Fin de Semana,Sábado,113,1952113,"85,65"
False,Fin de Semana,Domingo,185,7830893,"324,03999999999996"
False,Laboral,Lunes,83,3145736,"150,76"
False,Laboral,Martes,79,1734331,"92,89"
False,Laboral,Miércoles,65,1760174,"76,21000000000001"
False,Laboral,Jueves,99,4130714,"180,04999999999998"
False,Laboral,Viernes,64,3505259,"155,9"
False,Fin de Semana,Sábado,83,1801845,"87,83"
True,Festivo,Domingo,137,4799586,"180,73000000000002"
False,Laboral,Lunes,74,837440,"31,049999999999997"
False,Laboral,Martes,68,765591,"25,28"
False,Laboral,Miércoles,87,1745346,"57,89"
False,Laboral,Jueves,91,1654355,"48,22"
False,Laboral,Viernes,95,2222373,"65,51"
False,Fin de Semana,Sábado,77,4765598,"156,89"
False,Fin de Semana,Domingo,157,3262273,"110,12"
False,Laboral,Lunes,73,1552081,"46,67"
False,Laboral,Martes,74,2358150,"76,8"
False,Laboral,Miércoles,70,2432943,"77,1"
False,Laboral,Jueves,80,2429261,"85,39999999999999"
False,Laboral,Viernes,97,4802096,"158,1"
False,Fin de Semana,Sábado,60,4315133,"165,3"
False,Fin de Semana,Domingo,108,5553572,"172,9"
False,Laboral,Lunes,79,3191240,"127,3"
False,Laboral,Martes,34,900672,"37,6"
True,Festivo,Miércoles,98,6351354,"224,7"
False,Laboral,Jueves,53,4639334,"170,0"
False,Laboral,Viernes,73,3293071,"101,0"
False,Fin de Semana,Sábado,32,1383520,"58,8"
False,Fin de Semana,Domingo,71,20340536,"629,3"
False,Laboral,Lunes,35,553153,"22,6"
False,Laboral,Martes,35,1917921,"103,3"
True,Festivo,Miércoles,21,492033,"33,0"
False,Laboral,Jueves,77,2519146,"90,0"
False,Laboral,Viernes,56,15614079,"583,0"
False,Fin de Semana,Sábado,63,3860769,"144,0"
False,Fin de Semana,Domingo,124,13748835,"420,0"
True,Festivo,Lunes,124,9388497,"251,0"
False,Laboral,Martes,62,2756986,"83,0"
False,Laboral,Miércoles,62,2776069,"81,0"
False,Laboral,Jueves,75,4195880,"120,0"
False,Laboral,Viernes,87,5584255,"154,0"
False,Fin de Semana,Sábado,104,5004754,"147,0"
False,Fin de Semana,Domingo,178,23444076,"626,0"
False,Laboral,Lunes,76,11187388,"372,0"
False,Laboral,Martes,70,8255888,"273,0"
False,Laboral,Miércoles,78,6368255,"220,0"
False,Laboral,Jueves,82,3322425,"106,0"
False,Laboral,Viernes,90,8689857,"285,0"
False,Fin de Semana,Sábado,101,6245480,"206,0"
False,Fin de Semana,Domingo,175,11144711,"344,0"
False,Laboral,Lunes,71,3501359,"108,0"
False,Laboral,Martes,71,4452482,"124,0"
False,Laboral,Miércoles,89,2649934,"79,0"
False,Laboral,Jueves,78,4725209,"118,0"
False,Laboral,Viernes,75,5387995,"161,0"
False,Fin de Semana,Sábado,105,6607077,"178,0"
False,Fin de Semana,Domingo,165,23096812,"587,0"
False,Laboral,Lunes,58,4304972,"114,0"
False,Laboral,Martes,76,3047762,"92,0"
False,Laboral,Miércoles,74,4412098,"122,0"
False,Laboral,Jueves,71,2977908,"109,0"
False,Laboral,Viernes,84,5275537,"286,0"
False,Fin de Semana,Sábado,109,8765331,"309,0"
False,Fin de Semana,Domingo,147,8298766,"245,0"
False,Laboral,Lunes,52,2928451,"113,0"
False,Laboral,Martes,55,5414450,"192,0"
False,Laboral,Miércoles,38,1824035,"75,0"
False,Laboral,Jueves,35,2937550,"108,0"
False,Laboral,Viernes,25,942178,"32,0"
False,Fin de Semana,Sábado,43,4387557,"164,0"
False,Fin de Semana,Domingo,58,6230720,"196,0"
False,Laboral,Lunes,39,3176998,"121,0"
False,Laboral,Martes,26,2099948,"71,0"
False,Laboral,Miércoles,37,2670688,"81,0"
False,Laboral,Jueves,19,1060495,"50,0"
False,Laboral,Viernes,42,4782864,"143,0"
False,Fin de Semana,Sábado,39,3223064,"116,0"
False,Fin de Semana,Domingo,75,9219447,"304,0"
False,Laboral,Lunes,25,2608034,"93,0"
False,Laboral,Martes,21,2254409,"80,0"
False,Laboral,Miércoles,35,1567471,"50,0"
False,Laboral,Jueves,34,3165363,"90,0"
False,Laboral,Viernes,33,3171790,"109,0"
False,Fin de Semana,Sábado,39,6017300,"212,0"
False,Fin de Semana,Domingo,60,7930728,"231,0"
False,Laboral,Lunes,26,879736,"36,0"
False,Laboral,Martes,33,2827149,"91,0"
False,Laboral,Miércoles,31,2658594,"96,0"
False,Laboral,Jueves,27,1880405,"66,0"
False,Laboral,Viernes,27,2803121,"99,0"
False,Fin de Semana,Sábado,17,1424643,"54,0"
False,Fin de Semana,Domingo,71,9021568,"266,0"
False,Laboral,Lunes,24,763453,"29,0"
False,Laboral,Martes,22,2872183,"130,0"
False,Laboral,Miércoles,23,1441124,"51,0"
False,Laboral,Jueves,21,910670,"29,0"
False,Laboral,Viernes,38,3566415,"128,0"
False,Fin de Semana,Sábado,34,2577970,"75,0"
False,Fin de Semana,Domingo,74,22395493,"699,0"
False,Laboral,Lunes,36,2668422,"77,0"
False,Laboral,Martes,22,1134323,"51,0"
False,Laboral,Miércoles,33,2107154,"71,0"
False,Laboral,Jueves,31,5282756,"218,0"
False,Laboral,Viernes,37,1381080,"47,0"
False,Fin de Semana,Sábado,44,5924014,"190,0"
False,Fin de Semana,Domingo,66,11858832,"383,0"
False,Laboral,Lunes,24,978726,"34,0"
False,Laboral,Martes,24,2115872,"64,0"
False,Laboral,Miércoles,24,4354488,"157,0"
False,Laboral,Jueves,22,1266308,"41,0"
False,Laboral,Viernes,29,2470118,"67,0"
False,Fin de Semana,Sábado,53,6528267,"215,0"
False,Fin de Semana,Domingo,103,12741332,"395,0"
True,Festivo,Lunes,81,9676563,"239,0"
False,Laboral,Martes,26,2779402,"81,0"
False,Laboral,Miércoles,30,2395738,"77,0"
False,Laboral,Jueves,35,1535923,"42,0"
False,Laboral,Viernes,25,2514551,"104,0"
False,Fin de Semana,Sábado,53,7752711,"242,0"
False,Fin de Semana,Domingo,75,9439251,"270,0"
False,Laboral,Lunes,38,7671458,"255,0"
